,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.192544301979295,0.16833429627805607,0.14425993409751392,7,13.0,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.831626631715288
1,2,-15.265835554994826,0.07329125301553141,0.07096868108198251,10,39.0,99,17,21,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",-0.24803186810017677
2,2,-15.265835554994826,0.07329125301553141,0.07096868108198251,10,39.0,99,17,21,"d_q_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",-0.2320282042458343
3,3,-15.278207406203043,0.012371851208216711,0.0585968298737658,8,52.0,132,22,22,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.1287292681014662
4,4,-15.283866289049659,0.005658882846615754,0.052937947027150045,9,65.0,165,33,33,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.023814070404575293
5,5,-15.28898474987343,0.005118460823771542,0.0478194862033785,48,78.0,198,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.17872634487646274
6,6,-15.303141913334585,0.01415716346115481,0.033662322742223694,9,84.0,212,47,48,s_q_exc_2_6,"[[2], [6]]",-0.25139811327921974
7,6,-15.303141913334585,0.01415716346115481,0.033662322742223694,9,84.0,212,47,48,s_q_exc_3_7,"[[3], [7]]",0.2509542516236386
8,7,-15.305304207798727,0.002162294464142178,0.031500028278081516,15,110.0,278,58,59,"d_q_exc_[3, 6]_[8, 9]","[[3, 6], [8, 9]]",-0.0611975032783286
9,7,-15.305304207798727,0.002162294464142178,0.031500028278081516,15,110.0,278,58,59,"d_q_exc_[2, 7]_[8, 9]","[[2, 7], [8, 9]]",0.06195510452488802
10,8,-15.307549812118971,0.002245604320243899,0.029254423957837616,16,136.0,344,69,70,"d_q_exc_[2, 7]_[10, 11]","[[2, 7], [10, 11]]",0.038168564559211124
11,8,-15.307549812118971,0.002245604320243899,0.029254423957837616,16,136.0,344,69,70,"d_q_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",-0.03899301043621777
12,9,-15.308182674842751,0.0006328627237799367,0.02862156123405768,17,149.0,377,69,70,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.1743164107450036
13,10,-15.309099806436652,0.000917131593901388,0.02770442964015629,16,162.0,410,80,81,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.04051880043021417
14,11,-15.310230999197286,0.0011311927606332262,0.026573236879523066,20,175.0,443,80,81,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.49308764336232563
15,12,-15.313231899907185,0.0030009007098996676,0.023572336169623398,22,201.0,509,80,81,"d_q_exc_[5, 12]_[6, 7]","[[5, 12], [6, 7]]",0.006768057332981892
16,12,-15.313231899907185,0.0030009007098996676,0.023572336169623398,22,201.0,509,80,81,"d_q_exc_[4, 13]_[6, 7]","[[4, 13], [6, 7]]",-0.0521813864165311
17,13,-15.316720306241411,0.0034884063342257576,0.02008392983539764,72,227.0,575,91,92,"d_q_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",-0.18115492047708867
18,13,-15.316720306241411,0.0034884063342257576,0.02008392983539764,72,227.0,575,91,92,"d_q_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.19973156398855868
19,14,-15.320085536526296,0.0033652302848850013,0.01671869955051264,26,240.0,608,91,96,"d_q_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",-0.13861614979970047
