,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.566756541415842,0.005934828817093063,0.02849004430482438,5,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.0684853449914545
1,2,-15.57093520347372,0.004178662057878313,0.024311382246946067,7,26.0,66,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.4826487953661645
2,3,-15.575216182049337,0.004280978575616601,0.020030403671329466,9,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.044411047331033265
3,4,-15.578093027055376,0.0028768450060390194,0.017153558665290447,9,52.0,132,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.046668440635165453
4,5,-15.582317535773266,0.004224508717889819,0.012929049947400628,10,65.0,165,28,32,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.06536258181931542
5,6,-15.584867337223743,0.0025498014504776734,0.010379248496922955,16,78.0,198,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04864926410944023
6,7,-15.587653234867313,0.0027858976435695126,0.007593350853353442,19,91.0,231,34,42,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.04871370468288159
7,8,-15.589389210918673,0.001735976051360666,0.005857374801992776,48,104.0,264,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.034248603456766946
8,9,-15.591896270201472,0.002507059282798707,0.0033503155191940692,20,117.0,297,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.04869872971687534
9,10,-15.594261365359559,0.002365095158086916,0.000985220361107153,19,130.0,330,66,66,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.04832276544813413
10,11,-15.594303340082396,4.197472283706816e-05,0.0009432456382700849,17,143.0,363,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0008676775469697591
11,12,-15.594339012528199,3.567244580260365e-05,0.0009075731924674812,16,156.0,396,66,66,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0010962191966730058
12,13,-15.594359494161022,2.0481632823532436e-05,0.0008870915596439488,63,169.0,429,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.00012369141512025172
13,14,-15.594379775284892,2.0281123870091733e-05,0.0008668104357738571,20,182.0,462,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.00014020920162025144
14,15,-15.594423864252358,4.4088967465327755e-05,0.0008227214683085293,60,195.0,495,72,76,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003007294761582222
15,16,-15.594467484062472,4.361981011413718e-05,0.0007791016581943921,96,208.0,528,78,86,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003349548221813934
16,17,-15.594509965976274,4.2481913801850624e-05,0.0007366197443925415,30,221.0,561,78,86,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0019522059010668197
17,18,-15.594551999146908,4.203317063478096e-05,0.0006945865737577606,28,234.0,594,78,86,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0018536786096122766
18,19,-15.594600276307222,4.827716031385876e-05,0.0006463094134439018,72,247.0,627,78,93,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.44824206313776815
19,20,-15.594652145295347,5.186898812503671e-05,0.0005944404253188651,102,260.0,660,89,97,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.007361038984811949
20,21,-15.59466113240379,8.98710844232653e-06,0.0005854533168765386,59,273.0,693,89,103,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.00549634868018332
21,22,-15.59467004204248,8.90963869082384e-06,0.0005765436781857147,69,286.0,726,95,107,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.008859628942520025
22,23,-15.59474710473727,7.706269478902072e-05,0.000499480983396694,65,289.0,733,98,111,s_q_exc_2_10,"[[2], [10]]",-0.02586903845525505
23,24,-15.594822913630157,7.580889288760773e-05,0.0004236720905090863,33,292.0,740,98,111,s_q_exc_3_11,"[[3], [11]]",0.014945926779105266
24,25,-15.594825888831712,2.9752015553441424e-06,0.00042069688895374213,78,305.0,773,98,117,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.02826923261713214
25,26,-15.59482883713923,2.948307518124693e-06,0.00041774858143561744,30,318.0,806,104,121,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.01672015412540797
26,27,-15.594842545004179,1.3707864948031556e-05,0.0004040407164875859,65,321.0,813,104,121,s_q_exc_5_13,"[[5], [13]]",0.0036092284522657105
27,28,-15.594856149991836,1.3604987657345191e-05,0.0003904357288302407,98,324.0,820,104,121,s_q_exc_4_12,"[[4], [12]]",-0.00635121548182786
28,29,-15.594857523734804,1.3737429682691982e-06,0.0003890619858619715,26,337.0,853,104,121,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",0.014014496330431525
29,30,-15.594858712985602,1.1892507973954025e-06,0.0003878727350645761,72,350.0,886,110,121,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.009017968421742573
30,31,-15.594859860151233,1.1471656318207124e-06,0.0003867255694327554,70,363.0,919,110,121,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.026715846355062932
31,32,-15.59486087525311,1.0151018763338016e-06,0.0003857104675564216,121,376.0,952,110,121,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.0019517760316224327
