,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.464184077800262,0.01172653825345904,0.05130260676240539,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.14045058612637157
1,2,-15.484374555147324,0.020190477347062696,0.031112129415342693,8,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.08948184290230919
2,2,-15.484374555147324,0.020190477347062696,0.031112129415342693,8,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.0911021167437535
3,3,-15.490764905131348,0.006390349984023658,0.024721779431319035,11,52.0,132,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.09984330958363194
4,4,-15.499376429186995,0.008611524055647024,0.01611025537567201,13,65.0,165,26,29,"d_q_exc_[10, 11]_[12, 13]","[[10, 11], [12, 13]]",0.031061155124533397
5,5,-15.508833792596066,0.009457363409071107,0.0066528919666009045,15,91.0,231,33,35,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.0749536427545485
6,5,-15.508833792596066,0.009457363409071107,0.0066528919666009045,15,91.0,231,33,35,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.07493819741706663
7,6,-15.51096371367966,0.0021299210835934446,0.00452297088300746,17,104.0,264,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.09076923445219118
8,7,-15.512967949582483,0.0020042359028238366,0.0025187349801836234,17,117.0,297,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.09662967273469726
9,8,-15.513269201116975,0.00030125153449134245,0.002217483445692281,15,143.0,363,66,66,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.11745285484655944
10,8,-15.513269201116975,0.00030125153449134245,0.002217483445692281,15,143.0,363,66,66,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.6693715655088851
11,9,-15.51331871500397,4.951388699581116e-05,0.00216796955869647,17,156.0,396,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.000628472479694014
12,10,-15.513551225287873,0.00023251028390269823,0.0019354592747937716,74,162.0,410,69,70,s_q_exc_3_11,"[[3], [11]]",0.03915678484589774
13,10,-15.513551225287873,0.00023251028390269823,0.0019354592747937716,74,162.0,410,69,70,s_q_exc_2_10,"[[2], [10]]",-0.07770934920389796
14,11,-15.513617060648576,6.583536070259299e-05,0.0018696239140911786,92,175.0,443,80,81,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.061698559112215855
15,12,-15.513696561069588,7.950042101256827e-05,0.0017901234930786103,23,201.0,509,86,91,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.005892066818877779
16,12,-15.513696561069588,7.950042101256827e-05,0.0017901234930786103,23,201.0,509,86,91,"d_q_exc_[0, 3]_[7, 6]","[[0, 3], [7, 6]]",0.0008424581925118802
17,13,-15.513997246948596,0.00030068587900800026,0.00148943761407061,31,214.0,542,86,91,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.08771010044584611
18,14,-15.514075848510624,7.8601562027103e-05,0.001410836052043507,73,240.0,608,92,101,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.006233917089414327
19,14,-15.514075848510624,7.8601562027103e-05,0.001410836052043507,73,240.0,608,92,101,"d_q_exc_[0, 3]_[9, 8]","[[0, 3], [9, 8]]",0.000850437591665469
20,15,-15.514099660903954,2.3812393330047144e-05,0.00138702365871346,120,253.0,641,92,101,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0016193037217993756
21,16,-15.514123244348134,2.358344418063041e-05,0.0013634402145328295,42,266.0,674,92,101,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0016867766636525525
22,17,-15.514143713668092,2.04693199581385e-05,0.001342970894574691,119,279.0,707,92,101,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.09754749397382419
23,18,-15.514162956841957,1.92431738650356e-05,0.0013237277207096554,34,292.0,740,92,101,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.11368013181311136
24,19,-15.514181304218113,1.834737615524773e-05,0.0013053803445544077,76,305.0,773,92,101,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",3.376422321976866e-05
25,20,-15.51421573834207,3.443412395753853e-05,0.0012709462205968691,41,311.0,787,92,101,s_q_exc_5_13,"[[5], [13]]",0.026163385942971372
26,20,-15.51421573834207,3.443412395753853e-05,0.0012709462205968691,41,311.0,787,92,101,s_q_exc_4_12,"[[4], [12]]",-0.05798230362090942
27,21,-15.514370846193847,0.0001551078517767479,0.0011158383688201212,47,337.0,853,103,112,"d_q_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.11523005013084041
