,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.122499910227541,0.02395397339762617,0.04388753829994396,6,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.1930508563265387
2,2,-2.133071367902094,0.010571457674553031,0.03331608062539093,7,26.0,66,17,21,"eff_d_f_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",0.07154756675775792
3,3,-2.1441833250571602,0.01111195715506641,0.02220412347032452,10,47.0,101,21,21,"eff_d_f_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",0.08312897101282814
4,4,-2.1510972475018795,0.006913922444719223,0.015290201025605299,10,60.0,134,24,22,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.04977938351361596
5,5,-2.155537046891006,0.004439799389126531,0.010850401636478768,12,73.0,167,35,33,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.06754961594530627
6,6,-2.158649552973307,0.0031125060823011808,0.007737895554177587,14,86.0,200,35,33,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.04399044979358573
7,7,-2.1610688028377103,0.002419249864403117,0.0053186456897744705,18,103.0,235,38,42,"eff_d_f_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",-0.05109788147762349
8,8,-2.163918729006312,0.002849926168601691,0.0024687195211727797,20,120.0,270,48,44,"eff_d_f_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",-0.0510978807676728
9,9,-2.1649684387389723,0.0010497097326602756,0.0014190097885125041,21,137.0,305,53,53,"eff_d_f_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.031974672517488076
10,10,-2.166211084079528,0.001242645340555626,0.00017636444795687822,23,154.0,340,61,55,"eff_d_f_exc_[0, 2]_[4, 6]","[[0, 2], [4, 6]]",0.031974661372957076
11,11,-2.166229221932533,1.813785300530668e-05,0.00015822659495157154,22,163.0,351,61,58,eff_s_f_exc_7_3,"[[3], [7]]",-0.004318949163811945
12,12,-2.1662678720844033,3.865015187010101e-05,0.00011957644308147053,27,172.0,362,66,63,eff_s_f_exc_4_0,"[[0], [4]]",0.005159396243744951
13,13,-2.1662803650915907,1.2493007187419636e-05,0.0001070834358940509,23,181.0,373,66,63,eff_s_f_exc_6_2,"[[2], [6]]",-0.004269326076530458
14,14,-2.1663021761326107,2.1811041019947908e-05,8.527239487410299e-05,24,190.0,384,66,63,eff_s_f_exc_5_1,"[[1], [5]]",0.0051175311760276974
15,15,-2.166331714778589,2.9538645978544054e-05,5.573374889555893e-05,86,207.0,419,75,72,"eff_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.018838192569029542
16,16,-2.1663579468577114,2.6232079122223695e-05,2.9501669773335237e-05,26,228.0,454,79,74,"eff_d_f_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",0.018602723276286606
17,17,-2.1663720731662357,1.4126308524264886e-05,1.5375361249070352e-05,29,245.0,489,92,85,"eff_d_f_exc_[0, 1]_[3, 6]","[[0, 1], [3, 6]]",-0.012969686658672082
18,18,-2.166384087511346,1.2014345110333835e-05,3.3610161387365167e-06,30,266.0,524,105,96,"eff_d_f_exc_[0, 1]_[2, 7]","[[0, 1], [2, 7]]",0.012686695739577482
19,19,-2.166387448527481,3.361016135183803e-06,3.552713678800501e-15,30,283.0,559,105,103,"eff_d_f_exc_[1, 4]_[3, 6]","[[1, 4], [3, 6]]",0.04742990975835329
