,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.122499910227541,0.02395397339762617,0.04388753829994396,6,13.0,33,11,11,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.19304211082671896
2,2,-2.133071367902094,0.010571457674553031,0.03331608062539093,7,26.0,66,17,21,"d_q_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",-0.0716102072236385
3,3,-2.1441833250571602,0.01111195715506641,0.02220412347032452,10,39.0,99,17,21,"d_q_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",-0.08316369841988923
4,4,-2.1510972475018795,0.006913922444719223,0.015290201025605299,10,52.0,132,22,22,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.049773002512665095
5,5,-2.155537046891006,0.004439799389126531,0.010850401636478768,12,65.0,165,33,33,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.06749819570057361
6,6,-2.158649552973307,0.0031125060823011808,0.007737895554177587,14,78.0,198,33,33,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.04395846912166205
7,7,-2.1610688028377103,0.002419249864403117,0.0053186456897744705,18,91.0,231,34,42,"d_q_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",0.05109799922656847
8,8,-2.163918729006312,0.002849926168601691,0.0024687195211727797,20,104.0,264,44,44,"d_q_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",0.051097998672354726
9,9,-2.1649684387389723,0.0010497097326602756,0.0014190097885125041,21,117.0,297,45,53,"d_q_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.03201618243760484
10,10,-2.166211084079528,0.001242645340555626,0.00017636444795687822,23,130.0,330,55,55,"d_q_exc_[0, 2]_[4, 6]","[[0, 2], [4, 6]]",0.032016201140620364
11,11,-2.1662378531221664,2.6769042638541407e-05,0.00014959540531833682,26,133.0,337,55,55,s_q_exc_3_7,"[[3], [7]]",0.0035413035167418056
12,12,-2.166263972208532,2.6119086365739008e-05,0.0001234763189525978,27,136.0,344,55,56,s_q_exc_2_6,"[[2], [6]]",-0.003612014837537604
13,13,-2.1662891609588,2.5188750267801652e-05,9.828756868479616e-05,124,139.0,351,58,59,s_q_exc_0_4,"[[0], [4]]",0.0049724955192046675
14,14,-2.1663133982352116,2.4237276411653852e-05,7.40502922731423e-05,59,142.0,358,58,59,s_q_exc_1_5,"[[1], [5]]",-0.005021656448651421
15,15,-2.166339490461332,2.6092226120155715e-05,4.795806615298659e-05,70,155.0,391,59,68,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.01805726981002107
16,16,-2.1663626174827977,2.312702146589629e-05,2.4831044687090298e-05,131,168.0,424,69,70,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.017815578230585168
17,17,-2.166374212253769,1.159477097134598e-05,1.3236273715744318e-05,28,181.0,457,80,81,"d_q_exc_[0, 1]_[3, 6]","[[0, 1], [3, 6]]",0.011937372015156789
18,18,-2.166384104477588,9.892223818752655e-06,3.3440498969916632e-06,34,194.0,490,91,92,"d_q_exc_[0, 1]_[2, 7]","[[0, 1], [2, 7]]",-0.01159849211802921
19,19,-2.166387448527481,3.3440498934389495e-06,3.552713678800501e-15,61,207.0,523,91,99,"d_q_exc_[1, 4]_[3, 6]","[[1, 4], [3, 6]]",0.04731628753068063
