,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-1.849405076790277,0.04673660248085021,0.13301838496866014,6,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.23157015784460577
1,2,-1.9306365540335657,0.08123147724328872,0.05178690772537142,8,47.0,101,21,21,"eff_d_f_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",0.19795240977428943
2,2,-1.9306365540335657,0.08123147724328872,0.05178690772537142,8,47.0,101,21,21,"eff_d_f_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",0.19795240977429424
3,3,-1.9599999194758755,0.029363365442309775,0.022423542283061648,10,60.0,134,24,22,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.23157015486378804
4,4,-1.9631484985855534,0.003148579109677918,0.01927496317338373,13,94.0,204,37,33,"eff_d_f_exc_[0, 5]_[2, 7]","[[0, 5], [2, 7]]",-0.10946745530407603
5,4,-1.9631484985855534,0.003148579109677918,0.01927496317338373,13,94.0,204,37,33,"eff_d_f_exc_[1, 4]_[3, 6]","[[1, 4], [3, 6]]",-0.10946745530408472
6,5,-1.9647264045699717,0.0015779059844183152,0.017697057188965415,13,107.0,237,48,44,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.2837751219674371
7,6,-1.9675297908997451,0.002803386329773394,0.01489367085919202,22,120.0,270,59,55,"eff_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.5502998119805314
8,7,-1.9777828194579548,0.010253028558209643,0.004640642300982378,26,154.0,340,72,66,"eff_d_f_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",-0.15839700297417045
9,7,-1.9777828194579548,0.010253028558209643,0.004640642300982378,26,154.0,340,72,66,"eff_d_f_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",-0.15839700297417034
10,8,-1.9810751758671352,0.0032923564091804636,0.0013482858918019147,30,188.0,410,85,77,"eff_d_f_exc_[0, 2]_[4, 6]","[[0, 2], [4, 6]]",0.08232972394751885
11,8,-1.9810751758671352,0.0032923564091804636,0.0013482858918019147,30,188.0,410,85,77,"eff_d_f_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.08232972394751878
