,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-2.111666620404035,0.01671246057413356,0.023867978227587905,6,13.0,33,11,11,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.1528901108974644
1,2,-2.1246851896815775,0.013018569277542635,0.01084940895004527,11,39.0,99,16,17,"d_q_exc_[0, 5]_[2, 7]","[[0, 5], [2, 7]]",0.056107599079888555
2,2,-2.1246851896815775,0.013018569277542635,0.01084940895004527,11,39.0,99,16,17,"d_q_exc_[1, 4]_[3, 6]","[[1, 4], [3, 6]]",0.05611780371730406
3,3,-2.1288902771472826,0.004205087465705137,0.006644321484340132,12,52.0,132,22,22,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.11134240081935994
4,4,-2.131120613247142,0.0022303360998594535,0.004413985384480679,45,65.0,165,27,28,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.027575674829003145
5,5,-2.133002370716402,0.0018817574692597816,0.002532227915220897,15,91.0,231,33,38,"d_q_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",0.022920062374495852
6,5,-2.133002370716402,0.0018817574692597816,0.002532227915220897,15,91.0,231,33,38,"d_q_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",0.022920061731720655
7,6,-2.1349881848679964,0.0019858141515944894,0.0005464137636264077,16,117.0,297,44,48,"d_q_exc_[0, 2]_[4, 6]","[[0, 2], [4, 6]]",0.022440829399839372
8,6,-2.1349881848679964,0.0019858141515944894,0.0005464137636264077,16,117.0,297,44,48,"d_q_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.02244082927252884
9,7,-2.1353599628138213,0.00037177794582499146,0.00017463581780141624,20,130.0,330,55,55,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.027480900196280557
10,8,-2.135429462116018,6.949930219679601e-05,0.00010513651560462023,38,156.0,396,66,66,"d_q_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",-0.03696631846711542
11,8,-2.135429462116018,6.949930219679601e-05,0.00010513651560462023,38,156.0,396,66,66,"d_q_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",-0.03696789973114765
12,9,-2.135504877889907,7.541577388892051e-05,2.9720741715699717e-05,47,182.0,462,77,77,"d_q_exc_[0, 5]_[2, 3]","[[0, 5], [2, 3]]",-0.03937158226202416
13,9,-2.135504877889907,7.541577388892051e-05,2.9720741715699717e-05,47,182.0,462,77,77,"d_q_exc_[1, 4]_[2, 3]","[[1, 4], [2, 3]]",0.03940210421528706
14,10,-2.1355320761135785,2.7198223671476285e-05,2.522518044223432e-06,54,208.0,528,77,81,"d_q_exc_[2, 7]_[4, 5]","[[2, 7], [4, 5]]",0.019639033336660228
15,10,-2.1355320761135785,2.7198223671476285e-05,2.522518044223432e-06,54,208.0,528,77,81,"d_q_exc_[3, 6]_[4, 5]","[[3, 6], [4, 5]]",-0.019642825888113183
16,11,-2.135534236159017,2.1600454385151124e-06,3.624726057083194e-07,68,221.0,561,88,88,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.15991299606883955
17,12,-2.135534598631676,3.624726589990246e-07,-5.3290705182007514e-14,82,234.0,594,88,92,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.027047421494650413
