,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-1.6476408311911555,0.07202435492422676,0.2501398147042626,7,13.0,33,11,11,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-1.8005174669047121
1,2,-1.8458952989366926,0.19825446774553712,0.05188534695872549,12,39.0,99,16,17,"d_q_exc_[0, 5]_[2, 7]","[[0, 5], [2, 7]]",0.6019916515262805
2,2,-1.8458952989366926,0.19825446774553712,0.05188534695872549,12,39.0,99,16,17,"d_q_exc_[1, 4]_[3, 6]","[[1, 4], [3, 6]]",0.1446616580666693
3,3,-1.8688747731623714,0.02297947422567881,0.028905872733046678,11,52.0,132,22,22,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",1.28723866826438
4,4,-1.8888389541128183,0.01996418095044694,0.008941691782599737,12,78.0,198,33,33,"d_q_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",0.20227363384838418
5,4,-1.8888389541128183,0.01996418095044694,0.008941691782599737,12,78.0,198,33,33,"d_q_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",-0.3327758440272853
6,5,-1.8903289914602701,0.0014900373474517892,0.0074516544351479475,12,84.0,212,33,33,s_q_exc_3_7,"[[3], [7]]",-0.30524309465879973
7,5,-1.8903289914602701,0.0014900373474517892,0.0074516544351479475,12,84.0,212,33,33,s_q_exc_2_6,"[[2], [6]]",-0.3859017465299708
8,6,-1.8909483339543094,0.0006193424940392767,0.006832311941108671,13,110.0,278,44,44,"d_q_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",0.3209448057964553
9,6,-1.8909483339543094,0.0006193424940392767,0.006832311941108671,13,110.0,278,44,44,"d_q_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",0.3084810066068436
10,7,-1.8911715441318222,0.00022321017751281147,0.006609101763595859,16,123.0,311,55,55,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-1.2005670225443659
11,8,-1.8932814061752632,0.002109862043440991,0.004499239720154868,26,149.0,377,66,66,"d_q_exc_[1, 7]_[5, 3]","[[1, 7], [5, 3]]",-1.724070915308558
12,8,-1.8932814061752632,0.002109862043440991,0.004499239720154868,26,149.0,377,66,66,"d_q_exc_[0, 6]_[4, 2]","[[0, 6], [4, 2]]",1.4371373499801947
13,9,-1.8956613255841201,0.0023799194088569564,0.002119320311297912,99,175.0,443,77,77,"d_q_exc_[0, 5]_[3, 2]","[[0, 5], [3, 2]]",-0.9851090767064713
14,9,-1.8956613255841201,0.0023799194088569564,0.002119320311297912,99,175.0,443,77,77,"d_q_exc_[1, 4]_[2, 3]","[[1, 4], [2, 3]]",0.9206260534591655
15,10,-1.8966582864536714,0.0009969608695512555,0.0011223594417466565,93,188.0,476,88,88,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-1.9554774682115437
16,11,-1.8975189111649202,0.0008606247112488141,0.00026173473049784235,201,194.0,490,88,88,s_q_exc_2_6,"[[2], [6]]",0.27805418257387254
17,11,-1.8975189111649202,0.0008606247112488141,0.00026173473049784235,201,194.0,490,88,88,s_q_exc_3_7,"[[3], [7]]",-0.30579935901845356
18,12,-1.8977806458954138,0.0002617347304936235,4.218847493575595e-15,210,220.0,556,99,99,"d_q_exc_[0, 7]_[6, 5]","[[0, 7], [6, 5]]",-0.2565924206515865
19,12,-1.8977806458954138,0.0002617347304936235,4.218847493575595e-15,210,220.0,556,99,99,"d_q_exc_[1, 6]_[7, 4]","[[1, 6], [7, 4]]",0.040676328749434436
