,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-2.0086399886288966,0.03293931617643464,0.07529564679464817,6,13.0,33,11,11,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.27046312349257096
1,2,-2.061436288830198,0.05279630020130144,0.022499346593346736,11,39.0,99,16,17,"d_q_exc_[0, 5]_[2, 7]","[[0, 5], [2, 7]]",0.15978532278550966
2,2,-2.061436288830198,0.05279630020130144,0.022499346593346736,11,39.0,99,16,17,"d_q_exc_[1, 4]_[3, 6]","[[1, 4], [3, 6]]",0.15978534989229068
3,3,-2.0652473466459784,0.0038110578157803943,0.018688288777566342,10,52.0,132,22,22,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.05004809859814349
4,4,-2.0686897492591148,0.0034424026131363306,0.015245886164430011,11,65.0,165,27,28,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.09666292718950907
5,5,-2.0782226963614594,0.009532947102344647,0.005712939062085365,15,91.0,231,33,38,"d_q_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",0.08741787778787052
6,5,-2.0782226963614594,0.009532947102344647,0.005712939062085365,15,91.0,231,33,38,"d_q_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",0.08741787805795455
7,6,-2.0791550935141307,0.0009323971526713493,0.004780541909414016,14,104.0,264,44,44,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0864275346933546
8,7,-2.0808979224459105,0.001742828931779794,0.0030377129776342215,22,130.0,330,55,55,"d_q_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",-0.08849325169517187
9,7,-2.0808979224459105,0.001742828931779794,0.0030377129776342215,22,130.0,330,55,55,"d_q_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",-0.08849327710109509
10,8,-2.0834846985066022,0.0025867760606916868,0.0004509369169425348,77,156.0,396,66,66,"d_q_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.04569177399259115
11,8,-2.0834846985066022,0.0025867760606916868,0.0004509369169425348,77,156.0,396,66,66,"d_q_exc_[0, 2]_[4, 6]","[[0, 2], [4, 6]]",0.04569177566722451
12,9,-2.0837193675344516,0.00023466902784941013,0.00021626788909312467,54,182.0,462,77,77,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.030382926304872673
13,9,-2.0837193675344516,0.00023466902784941013,0.00021626788909312467,54,182.0,462,77,77,"d_q_exc_[0, 5]_[7, 6]","[[0, 5], [7, 6]]",-0.030396958184718867
14,10,-2.08393415681694,0.00021478928248841456,1.4786066047101087e-06,33,208.0,528,94,98,"d_q_exc_[0, 1]_[2, 7]","[[0, 1], [2, 7]]",-0.03477158951159247
15,10,-2.08393415681694,0.00021478928248841456,1.4786066047101087e-06,33,208.0,528,94,98,"d_q_exc_[1, 0]_[3, 6]","[[1, 0], [3, 6]]",0.0347926098793659
16,11,-2.083935623527561,1.4667106209564906e-06,1.1895983753618111e-08,47,234.0,594,105,109,"d_q_exc_[0, 6]_[4, 2]","[[0, 6], [4, 2]]",0.13449293445766744
17,11,-2.083935623527561,1.4667106209564906e-06,1.1895983753618111e-08,47,234.0,594,105,109,"d_q_exc_[1, 7]_[5, 3]","[[1, 7], [5, 3]]",0.1344927008815315
