,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.77976354819969,0.029613504628705,0.215801877304939,6,13,33,11,11,"eff_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.387463663994391
2,2,-2.79577671132555,0.016013163125856,0.199788714179083,7,34,68,17,21,"eff_d_f_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",0.134950986926784
3,3,-2.82434090283252,0.02856419150697,0.171224522672114,9,47,101,23,31,"eff_d_f_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",0.185243245314626
4,4,-2.84369030760504,0.019349404772522,0.151875117899592,10,60,134,23,31,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.025018658112109
5,5,-2.87244438372255,0.02875407611751,0.123121041782082,11,81,169,27,31,"eff_d_f_exc_[2, 5]_[6, 9]","[[2, 5], [6, 9]]",0.216589177982789
6,6,-2.90246009567091,0.030015711948355,0.093105329833727,12,110,204,31,31,"eff_d_f_exc_[0, 5]_[6, 11]","[[0, 5], [6, 11]]",0.128811856903277
7,7,-2.91365239822814,0.011192302557231,0.081913027276496,12,123,237,31,31,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.046909686978838
8,8,-2.92833809395565,0.014685695727508,0.067227331548988,57,136,270,36,32,"eff_d_f_exc_[1, 2]_[9, 10]","[[1, 2], [9, 10]]",0.074519794963354
9,9,-2.94414982731572,0.015811733360071,0.051415598188917,15,157,305,40,33,"eff_d_f_exc_[0, 3]_[8, 11]","[[0, 3], [8, 11]]",0.072524891086259
10,10,-2.9449095532595,0.000759725943784,0.050655872245133,15,170,338,48,44,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.028946546624519
11,11,-2.94574288505368,0.000833331794177,0.049822540450956,22,183,371,51,44,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.025811278415579
12,12,-2.94679725577668,0.001054370723006,0.04876816972795,18,200,406,57,53,"eff_d_f_exc_[1, 2]_[8, 11]","[[1, 2], [8, 11]]",-0.059458309160882
13,13,-2.94819001074273,0.001392754966049,0.047375414761901,17,217,441,61,55,"eff_d_f_exc_[0, 3]_[9, 10]","[[0, 3], [9, 10]]",-0.033229045659587
14,14,-2.94947588523243,0.001285874489697,0.046089540272204,51,242,476,74,66,"eff_d_f_exc_[0, 5]_[7, 10]","[[0, 5], [7, 10]]",-0.078601389385388
15,15,-2.95138579286182,0.001909907629392,0.044179632642813,18,267,511,74,66,"eff_d_f_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",-0.111606682305364
16,16,-2.95261752916826,0.00123173630644,0.042947896336373,17,280,544,74,66,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.014033783824317
17,17,-2.95505324340234,0.002435714234077,0.040512182102297,17,293,577,85,77,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.02410092195836
18,18,-2.95621651459578,0.001163271193446,0.03934891090885,18,306,610,87,85,"eff_d_f_exc_[1, 2]_[7, 8]","[[1, 2], [7, 8]]",0.062300499164491
19,19,-2.95763303406451,0.001416519468728,0.037932391440122,19,319,643,87,85,"eff_d_f_exc_[3, 4]_[9, 10]","[[3, 4], [9, 10]]",0.056617156801399
20,20,-2.9589632819973,0.001330247932788,0.036602143507334,18,340,678,98,88,"eff_d_f_exc_[0, 3]_[6, 9]","[[0, 3], [6, 9]]",0.06166208117544
21,21,-2.96058650071388,0.001623218716584,0.03497892479075,19,361,713,98,88,"eff_d_f_exc_[2, 5]_[8, 11]","[[2, 5], [8, 11]]",0.056017012869751
22,22,-2.9619627245534,0.001376223839515,0.033602700951236,18,378,748,98,88,"eff_d_f_exc_[3, 4]_[6, 9]","[[3, 4], [6, 9]]",-0.106187116549954
23,23,-2.96446473598322,0.002502011429826,0.031100689521409,22,395,783,103,88,"eff_d_f_exc_[2, 5]_[7, 8]","[[2, 5], [7, 8]]",-0.11345341801154
24,24,-2.96615004642542,0.001685310442195,0.029415379079215,19,408,816,103,88,"eff_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.094072994928751
25,25,-2.96949785996681,0.003347813541388,0.026067565537826,19,421,849,114,98,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.104108478965725
26,26,-2.97115188604973,0.001654026082921,0.024413539454905,50,442,884,127,109,"eff_d_f_exc_[2, 3]_[6, 11]","[[2, 3], [6, 11]]",0.067012464157579
27,27,-2.97351011032309,0.002358224273361,0.022055315181544,20,463,919,131,109,"eff_d_f_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.064123731241641
28,28,-2.97517601072508,0.001665900401992,0.020389414779552,21,480,954,144,120,"eff_d_f_exc_[2, 3]_[7, 10]","[[2, 3], [7, 10]]",-0.066389756597462
29,29,-2.97748861325705,0.002312602531969,0.018076812247583,21,497,989,146,120,"eff_d_f_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.064078887811406
30,30,-2.97846421687202,0.000975603614966,0.017101208632617,21,514,1024,146,120,"eff_d_f_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",0.017665681358648
31,31,-2.97945559396782,0.000991377095804,0.016109831536813,22,531,1059,148,120,"eff_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.028160808776645
32,32,-2.98027258307111,0.000816989103289,0.015292842433524,23,552,1094,148,127,"eff_d_f_exc_[0, 1]_[6, 11]","[[0, 1], [6, 11]]",0.003408305414881
33,33,-2.98113104707013,0.000858463999016,0.014434378434509,22,573,1129,152,132,"eff_d_f_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-0.027397083058006
34,34,-2.98191420776641,0.000783160696281,0.013651217738228,21,590,1164,152,132,"eff_d_f_exc_[3, 5]_[7, 9]","[[3, 5], [7, 9]]",0.065912259800893
35,35,-2.98347365343136,0.001559445664958,0.01209177207327,22,607,1199,165,132,"eff_d_f_exc_[2, 4]_[6, 8]","[[2, 4], [6, 8]]",0.06794628796866
36,36,-2.98445634340276,0.000982689971393,0.011109082101877,22,632,1234,169,143,"eff_d_f_exc_[0, 4]_[6, 10]","[[0, 4], [6, 10]]",0.077879379124898
37,37,-2.98605753596173,0.001601192558971,0.009507889542905,22,657,1269,171,143,"eff_d_f_exc_[1, 5]_[7, 11]","[[1, 5], [7, 11]]",0.101733510068525
38,38,-2.98668278911239,0.00062525315066,0.008882636392245,22,674,1304,173,149,"eff_d_f_exc_[1, 3]_[9, 11]","[[1, 3], [9, 11]]",0.011049353762859
39,39,-2.98751257060388,0.00082978149149,0.008052854900756,23,691,1339,179,154,"eff_d_f_exc_[0, 2]_[8, 10]","[[0, 2], [8, 10]]",0.013193966046322
40,40,-2.98781858716431,0.000306016560436,0.00774683834032,23,708,1374,192,154,"eff_d_f_exc_[2, 5]_[9, 10]","[[2, 5], [9, 10]]",-0.038666662371945
41,41,-2.98828790325588,0.000469316091564,0.007277522248756,22,725,1409,198,162,"eff_d_f_exc_[1, 2]_[6, 9]","[[1, 2], [6, 9]]",-0.04458815325781
42,42,-2.98870439307723,0.000416489821352,0.006861032427404,82,742,1444,198,162,"eff_d_f_exc_[3, 4]_[8, 11]","[[3, 4], [8, 11]]",-0.030867507867413
43,43,-2.98936838687063,0.000663993793398,0.006197038634006,73,759,1479,202,165,"eff_d_f_exc_[0, 3]_[7, 8]","[[0, 3], [7, 8]]",-0.041116965563375
44,44,-2.98960905800578,0.000240671135152,0.005956367498854,24,780,1514,206,176,"eff_d_f_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.018334600846579
45,45,-2.98985014694703,0.000241088941251,0.005715278557603,24,801,1549,206,176,"eff_d_f_exc_[4, 5]_[6, 11]","[[4, 5], [6, 11]]",-0.016741146815887
46,46,-2.99002532536662,0.000175178419587,0.005540100138016,59,818,1584,208,176,"eff_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.017709084230042
47,47,-2.99020737979402,0.000182054427407,0.00535804571061,23,835,1619,208,176,"eff_d_f_exc_[4, 5]_[7, 10]","[[4, 5], [7, 10]]",0.010608774197455
48,48,-2.99031067155786,0.000103291763838,0.005254753946772,80,852,1654,208,176,"eff_d_f_exc_[3, 5]_[9, 11]","[[3, 5], [9, 11]]",0.023238138930204
49,49,-2.99047006815152,0.00015939659366,0.005095357353111,56,869,1689,215,187,"eff_d_f_exc_[0, 2]_[6, 8]","[[0, 2], [6, 8]]",0.021674482990428
50,50,-2.99061975714409,0.000149688992565,0.004945668360547,38,886,1724,227,187,"eff_d_f_exc_[2, 4]_[8, 10]","[[2, 4], [8, 10]]",0.019153420369423
51,51,-2.99086452538435,0.000244768240266,0.004700900120281,84,903,1759,229,187,"eff_d_f_exc_[1, 3]_[7, 9]","[[1, 3], [7, 9]]",0.07035612775931
52,52,-2.99110965921308,0.000245133828729,0.004455766291552,85,924,1794,242,196,"eff_d_f_exc_[2, 7]_[8, 9]","[[2, 7], [8, 9]]",0.073928455012235
53,53,-2.99146351240803,0.000353853194948,0.004101913096604,25,945,1829,255,207,"eff_d_f_exc_[2, 3]_[4, 9]","[[2, 3], [4, 9]]",0.062699653904712
54,54,-2.99164350667613,0.000179994268098,0.003921918828506,25,962,1864,255,207,"eff_d_f_exc_[3, 6]_[8, 9]","[[3, 6], [8, 9]]",-0.078909832416365
55,55,-2.99190205090819,0.000258544232057,0.003663374596449,75,979,1899,268,218,"eff_d_f_exc_[2, 3]_[5, 8]","[[2, 3], [5, 8]]",-0.058257730220742
56,56,-2.99199711775676,9.50668485755202E-05,0.003568307747873,59,988,1910,273,226,eff_s_f_exc_6_2,"[[2], [6]]",-0.008893009090229
57,57,-2.99220740693664,0.000210289179876,0.003358018567997,27,997,1921,273,226,eff_s_f_exc_9_5,"[[5], [9]]",0.010271091343523
58,58,-2.99239668797584,0.000189281039201,0.003168737528796,57,1026,1956,277,226,"eff_d_f_exc_[0, 9]_[10, 11]","[[0, 9], [10, 11]]",0.028323734138146
59,59,-2.99262815191042,0.000231463934578,0.002937273594219,28,1055,1991,282,232,"eff_d_f_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.021740544820449
60,60,-2.9926787660067,5.0614096285706E-05,0.002886659497933,26,1064,2002,282,232,eff_s_f_exc_7_3,"[[3], [7]]",-0.028504298258493
61,61,-2.99279076412616,0.000111998119456,0.002774661378477,28,1073,2013,282,232,eff_s_f_exc_8_4,"[[4], [8]]",0.019440610359942
62,62,-2.99294385129539,0.000153087169235,0.002621574209241,65,1098,2048,284,232,"eff_d_f_exc_[1, 8]_[10, 11]","[[1, 8], [10, 11]]",-0.064270470998431
63,63,-2.9931271721451,0.000183320849712,0.00243825335953,81,1123,2083,284,232,"eff_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.049472889273592
64,64,-2.99316053963894,3.33674938377548E-05,0.002404885865692,75,1140,2094,286,232,eff_s_f_exc_9_1,"[[1], [9]]",-0.039976062948648
65,65,-2.9932345540758,7.40144368598372E-05,0.002330871428832,66,1157,2105,291,240,eff_s_f_exc_10_2,"[[2], [10]]",0.034326695552128
66,66,-2.99334056579396,0.000106011718159,0.002224859710673,30,1178,2140,293,240,"eff_d_f_exc_[1, 6]_[9, 10]","[[1, 6], [9, 10]]",0.013452599430239
