,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.0996957829558243,0.12909353722804107,0.7012631166907526,7,50.0,70,15,11,"spin_d_f_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",0.4845993701975276
2,2,-2.276170213349506,0.17647443039368182,0.5247886862970708,10,84.0,138,21,20,"spin_d_f_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",0.4042486855021926
3,3,-2.412635007672358,0.13646479432285208,0.3883238919742187,12,118.0,206,29,22,"spin_d_f_exc_[1, 2]_[9, 10]","[[1, 2], [9, 10]]",0.032049456312471594
4,4,-2.523912840124868,0.11127783245250988,0.2770460595217088,34,131.0,239,31,31,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.9614738854701561
5,5,-2.586337860144135,0.062425020019266864,0.21462103950244193,19,144.0,272,40,32,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.5680042864458145
6,6,-2.707987348956315,0.12164948881218018,0.09297155069026175,18,157.0,305,40,33,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",1.2847465278917456
7,7,-2.717164531397051,0.009177182440736065,0.08379436824952569,19,207.0,375,50,44,"spin_d_f_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",-0.5928125956227889
8,8,-2.7179161287207725,0.0007515973237213203,0.08304277092580437,17,241.0,445,59,53,"spin_d_f_exc_[3, 4]_[8, 11]","[[3, 4], [8, 11]]",-0.10946335221814328
9,9,-2.7197066188475287,0.00179049012675625,0.08125228079904812,20,275.0,515,69,55,"spin_d_f_exc_[1, 2]_[6, 9]","[[1, 2], [6, 9]]",-0.4841625569737563
10,10,-2.7217577784009697,0.002051159553440929,0.07920112124560719,20,313.0,585,89,77,"spin_d_f_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",-0.12312217994833664
11,11,-2.740193683820341,0.018435905419371235,0.06076521582623595,82,351.0,655,102,88,"spin_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.05717300783392905
12,12,-2.7582830979149433,0.018089414094602407,0.042675801731633545,45,401.0,725,115,99,"spin_d_f_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",-1.2999585391261594
13,13,-2.7734676649935794,0.015184567078636135,0.02749123465299741,25,451.0,795,128,110,"spin_d_f_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",-0.8458480921250463
14,14,-2.7788922744915148,0.005424609497935329,0.02206662515506208,25,485.0,863,141,121,"spin_d_f_exc_[1, 2]_[9, 10]","[[1, 2], [9, 10]]",0.23466014063529547
15,15,-2.7802076704720298,0.0013153959805149995,0.02075122917454708,28,523.0,933,154,132,"spin_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.04687006337761947
