,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.09969578295582,0.129093537228041,0.701263116690869,7,50,70,15,11,"spin_d_f_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",0.447829002037232
2,2,-2.2761702133495,0.176474430393681,0.524788686297188,10,84,138,21,20,"spin_d_f_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",0.31262966387815
3,3,-2.41263500767235,0.136464794322852,0.388323891974335,12,118,206,29,22,"spin_d_f_exc_[1, 2]_[9, 10]","[[1, 2], [9, 10]]",0.04538390584516
4,4,-2.52391284012486,0.11127783245251,0.277046059521825,58,131,239,31,31,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.826738530216134
5,5,-2.58633786014413,0.062425020019267,0.214621039502559,19,144,272,40,32,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.226634014203017
6,6,-2.70798734895631,0.12164948881218,0.092971550690379,59,157,305,40,33,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",1.28579647859554
7,7,-2.71716453139704,0.009177182440734,0.083794368249645,19,207,375,50,44,"spin_d_f_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",-0.408204002737252
8,8,-2.71791612872077,0.000751597323725,0.08304277092592,17,241,445,59,53,"spin_d_f_exc_[3, 4]_[8, 11]","[[3, 4], [8, 11]]",-0.0684602313033
9,9,-2.71970661884752,0.001790490126756,0.081252280799164,19,275,515,69,55,"spin_d_f_exc_[1, 2]_[6, 9]","[[1, 2], [6, 9]]",-0.286875961850368
10,10,-2.72175777840097,0.00205115955344,0.079201121245724,65,313,585,89,77,"spin_d_f_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",-0.117902235031065
11,11,-2.74019368382033,0.01843590541937,0.060765215826354,21,351,655,102,88,"spin_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.052672543176502
12,12,-2.75828309791494,0.018089414094605,0.04267580173175,22,401,725,115,99,"spin_d_f_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",-1.23191108472616
