,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.0525278256972643,0.08192557996948757,0.7484310739494422,7,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.23317611766436677
2,2,-2.1189060591460613,0.06637823344879701,0.6820528405006452,9,26.0,66,11,11,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",1.0558010352090084
3,3,-2.212817495475459,0.0939114363293978,0.5881414041712474,10,51.0,101,17,21,"eff_d_f_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",0.07349161985635763
4,4,-2.3334506375327533,0.12063314205729414,0.46750826211395324,12,64.0,134,19,21,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.3909618451310683
5,5,-2.403386969092741,0.06993633155998769,0.39757193055396556,14,89.0,169,24,22,"eff_d_f_exc_[0, 5]_[7, 10]","[[0, 5], [7, 10]]",-1.2336475130884046
6,6,-2.4420211109902343,0.03863414189749337,0.3589377886564722,18,106.0,204,27,31,"eff_d_f_exc_[3, 4]_[8, 11]","[[3, 4], [8, 11]]",-0.24863670685026598
7,7,-2.542674747809245,0.10065363681901074,0.25828415183746145,15,123.0,239,31,33,"eff_d_f_exc_[2, 5]_[9, 10]","[[2, 5], [9, 10]]",-0.8380098669082161
8,8,-2.6331468590231752,0.09047211121393017,0.16781204062353128,18,140.0,274,42,36,"eff_d_f_exc_[3, 10]_[5, 8]","[[3, 10], [5, 8]]",1.0715555564193073
9,9,-2.6863567869533043,0.05320992793012902,0.11460211269340226,19,157.0,309,42,36,"eff_d_f_exc_[1, 2]_[6, 9]","[[1, 2], [6, 9]]",-0.16188875134235
10,10,-2.693773882835964,0.007417095882659819,0.10718501681074244,17,166.0,320,44,40,eff_s_f_exc_6_2,"[[2], [6]]",-0.09725309235757727
