,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-2.197669109148939,0.010875687376557863,0.027437078647966295,6,13.0,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.08720288904652052
1,2,-2.2007571641859083,0.003088055036969184,0.02434902361099711,8,26.0,66,11,12,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.03513007704230577
2,3,-2.206756727618785,0.0059995634328768865,0.018349460178120225,10,52.0,132,22,22,"d_q_exc_[2, 5]_[6, 9]","[[2, 5], [6, 9]]",-0.04083536772453962
3,3,-2.206756727618785,0.0059995634328768865,0.018349460178120225,10,52.0,132,22,22,"d_q_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",-0.03322434600560881
4,4,-2.2086160131574823,0.0018592855386971863,0.01649017463942304,13,65.0,165,28,32,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.02052659733636672
5,5,-2.209982909720295,0.0013668965628128582,0.01512327807661018,14,78.0,198,33,33,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.011258198390186954
6,6,-2.212653088127949,0.0026701784076537116,0.012453099668956469,16,104.0,264,44,44,"d_q_exc_[3, 5]_[7, 9]","[[3, 5], [7, 9]]",0.032511265260080406
7,6,-2.212653088127949,0.0026701784076537116,0.012453099668956469,16,104.0,264,44,44,"d_q_exc_[2, 4]_[6, 8]","[[2, 4], [6, 8]]",0.02528814170254024
8,7,-2.2139203924322124,0.0012673043042634724,0.011185795364692996,20,117.0,297,44,44,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.02015746851054929
9,8,-2.2161321897007245,0.0022117972685120613,0.008973998096180935,78,143.0,363,44,52,"d_q_exc_[0, 5]_[6, 11]","[[0, 5], [6, 11]]",0.0015618035312806016
10,8,-2.2161321897007245,0.0022117972685120613,0.008973998096180935,78,143.0,363,44,52,"d_q_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",-0.011620421391879887
11,9,-2.2178505626521248,0.0017183729514003154,0.00725562514478062,24,169.0,429,50,54,"d_q_exc_[0, 3]_[6, 9]","[[0, 3], [6, 9]]",0.004169186031376843
12,9,-2.2178505626521248,0.0017183729514003154,0.00725562514478062,24,169.0,429,50,54,"d_q_exc_[1, 2]_[7, 8]","[[1, 2], [7, 8]]",-0.01678432479516758
13,10,-2.218428936606824,0.000578373954699174,0.006677251190081446,25,182.0,462,50,54,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.01082677834970829
14,11,-2.2188597516177073,0.0004308150108833786,0.006246436179198067,29,195.0,495,51,63,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.007160357380031252
15,12,-2.2196639348251783,0.0008041832074709987,0.0054422529717270685,30,221.0,561,56,64,"d_q_exc_[0, 3]_[8, 11]","[[0, 3], [8, 11]]",-0.0072575004242606865
16,12,-2.2196639348251783,0.0008041832074709987,0.0054422529717270685,30,221.0,561,56,64,"d_q_exc_[1, 2]_[9, 10]","[[1, 2], [9, 10]]",-0.0072995988247874025
17,13,-2.220074898741089,0.00041096391591066705,0.005031289055816401,126,234.0,594,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.006861179684704311
18,14,-2.2207907573780354,0.0007158586369464537,0.004315430418869948,89,260.0,660,67,75,"d_q_exc_[3, 4]_[9, 10]","[[3, 4], [9, 10]]",-0.014539110364254293
19,14,-2.2207907573780354,0.0007158586369464537,0.004315430418869948,89,260.0,660,67,75,"d_q_exc_[2, 5]_[8, 11]","[[2, 5], [8, 11]]",-0.0009594284545399439
20,15,-2.22139511792756,0.0006043605495245075,0.0037110698693454403,35,286.0,726,77,83,"d_q_exc_[1, 5]_[7, 11]","[[1, 5], [7, 11]]",-0.005130321841600219
21,15,-2.22139511792756,0.0006043605495245075,0.0037110698693454403,35,286.0,726,77,83,"d_q_exc_[0, 4]_[6, 10]","[[0, 4], [6, 10]]",-0.007130777997366691
22,16,-2.221947865953439,0.0005527480258789019,0.0031583218434665383,78,312.0,792,88,88,"d_q_exc_[1, 3]_[7, 9]","[[1, 3], [7, 9]]",-0.0024225573924864913
23,16,-2.221947865953439,0.0005527480258789019,0.0031583218434665383,78,312.0,792,88,88,"d_q_exc_[0, 2]_[6, 8]","[[0, 2], [6, 8]]",0.0011892802171735836
24,17,-2.222158364926792,0.00021049897335334578,0.0029478228701131926,35,325.0,825,88,96,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.005097040108170459
25,18,-2.2225625198913206,0.0004041549645283915,0.002543667905584801,71,351.0,891,95,107,"d_q_exc_[2, 4]_[8, 10]","[[2, 4], [8, 10]]",-0.0033273633421870043
26,18,-2.2225625198913206,0.0004041549645283915,0.002543667905584801,71,351.0,891,95,107,"d_q_exc_[3, 5]_[9, 11]","[[3, 5], [9, 11]]",-0.0064190641718231516
27,19,-2.2229676011365833,0.0004050812452627284,0.0021385866603220727,119,377.0,957,106,118,"d_q_exc_[2, 5]_[7, 8]","[[2, 5], [7, 8]]",0.005270754872321585
28,19,-2.2229676011365833,0.0004050812452627284,0.0021385866603220727,119,377.0,957,106,118,"d_q_exc_[3, 4]_[6, 9]","[[3, 4], [6, 9]]",4.205383224319727e-05
29,20,-2.2233476703982387,0.00038006926165534693,0.0017585173986667257,36,403.0,1023,106,118,"d_q_exc_[0, 5]_[7, 10]","[[0, 5], [7, 10]]",0.01479260879250271
30,20,-2.2233476703982387,0.00038006926165534693,0.0017585173986667257,36,403.0,1023,106,118,"d_q_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",-0.00709434969797299
31,21,-2.2236643934496745,0.0003167230514358188,0.001441794347230907,85,429.0,1089,121,121,"d_q_exc_[0, 1]_[6, 11]","[[0, 1], [6, 11]]",0.005125457160762388
32,21,-2.2236643934496745,0.0003167230514358188,0.001441794347230907,85,429.0,1089,121,121,"d_q_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",-0.005015670205913593
33,22,-2.2239041128978347,0.00023971944816025825,0.0012020748990706487,38,455.0,1155,132,132,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",0.003636822195945838
34,22,-2.2239041128978347,0.00023971944816025825,0.0012020748990706487,38,455.0,1155,132,132,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.00363023427298457
35,23,-2.224089016444718,0.00018490354688305288,0.0010171713521875958,89,481.0,1221,143,143,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",0.006284675855929181
