,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-2.2780605419570343,0.05124507584339133,0.5424538268978729,7,13.0,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.11641057701241467
1,2,-2.4024888513047182,0.1244283093476839,0.418025517550189,9,39.0,99,17,21,"d_q_exc_[2, 5]_[6, 9]","[[2, 5], [6, 9]]",0.3045792690917993
2,2,-2.4024888513047182,0.1244283093476839,0.418025517550189,9,39.0,99,17,21,"d_q_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",-0.07157360903906224
3,3,-2.606842952581977,0.20435410127725895,0.21367141627293007,12,65.0,165,22,27,"d_q_exc_[0, 7]_[4, 11]","[[0, 7], [4, 11]]",1.3390314257206695
4,3,-2.606842952581977,0.20435410127725895,0.21367141627293007,12,65.0,165,22,27,"d_q_exc_[1, 6]_[5, 10]","[[1, 6], [5, 10]]",-0.22330761165772312
5,4,-2.6594932082637492,0.05265025568177206,0.161021160591158,11,78.0,198,22,27,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-7.800262811063931
6,5,-2.7052670309851745,0.04577382272142527,0.11524733786973274,12,91.0,231,33,38,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-2.356568886679398
7,6,-2.755992921512323,0.050725890527148376,0.06452144734258436,14,117.0,297,39,48,"d_q_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",-0.3355501324583242
8,6,-2.755992921512323,0.050725890527148376,0.06452144734258436,14,117.0,297,39,48,"d_q_exc_[0, 5]_[6, 11]","[[0, 5], [6, 11]]",0.22948187753243054
9,7,-2.783487004798703,0.027494083286379922,0.03702736405620444,24,143.0,363,44,54,"d_q_exc_[3, 6]_[5, 8]","[[3, 6], [5, 8]]",3.9563883512184153
10,7,-2.783487004798703,0.027494083286379922,0.03702736405620444,24,143.0,363,44,54,"d_q_exc_[2, 7]_[4, 9]","[[2, 7], [4, 9]]",1.9916963748053536
11,8,-2.805260879286599,0.02177387448789636,0.015253489568308076,37,156.0,396,44,54,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-3.5901163648882535
12,9,-2.8079312235010803,0.0026703442144810907,0.012583145353826986,54,169.0,429,44,54,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.9643603645634432
13,10,-2.80860697711656,0.0006757536154795574,0.011907391738347428,31,175.0,443,47,58,s_q_exc_4_8,"[[4], [8]]",0.11114513968477507
14,10,-2.80860697711656,0.0006757536154795574,0.011907391738347428,31,175.0,443,47,58,s_q_exc_5_9,"[[5], [9]]",0.012609961363905403
15,11,-2.8093565580383744,0.0007495809218145411,0.011157810816532887,31,181.0,457,47,58,s_q_exc_2_10,"[[2], [10]]",-0.05397573945075462
16,11,-2.8093565580383744,0.0007495809218145411,0.011157810816532887,31,181.0,457,47,58,s_q_exc_3_11,"[[3], [11]]",-0.017135129201118794
17,12,-2.8127077649545758,0.003351206916201388,0.007806603900331499,62,207.0,523,58,64,"d_q_exc_[3, 6]_[5, 8]","[[3, 6], [5, 8]]",2.193909902556299
18,12,-2.8127077649545758,0.003351206916201388,0.007806603900331499,62,207.0,523,58,64,"d_q_exc_[2, 7]_[4, 9]","[[2, 7], [4, 9]]",1.5493284940931988
19,13,-2.81298312785972,0.0002753629051444051,0.007531240995187094,159,213.0,537,58,68,s_q_exc_4_8,"[[4], [8]]",-0.014221871134773507
20,13,-2.81298312785972,0.0002753629051444051,0.007531240995187094,159,213.0,537,58,68,s_q_exc_5_9,"[[5], [9]]",-0.10934200594129924
21,14,-2.8130172134206988,3.408556097861393e-05,0.00749715543420848,93,219.0,551,58,68,s_q_exc_1_9,"[[1], [9]]",0.19479102338411203
22,14,-2.8130172134206988,3.408556097861393e-05,0.00749715543420848,93,219.0,551,58,68,s_q_exc_0_8,"[[0], [8]]",-0.07597477022264601
23,15,-2.81307046809514,5.32546744413942e-05,0.007443900759767086,76,245.0,617,64,69,"d_q_exc_[1, 2]_[8, 11]","[[1, 2], [8, 11]]",0.29564982594963407
24,15,-2.81307046809514,5.32546744413942e-05,0.007443900759767086,76,245.0,617,64,69,"d_q_exc_[0, 3]_[9, 10]","[[0, 3], [9, 10]]",0.6368200289581133
25,16,-2.8130791748063837,8.706711243533505e-06,0.007435194048523552,75,258.0,650,64,69,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.018233042164984177
26,17,-2.8131356679335457,5.649312716204946e-05,0.007378700921361503,98,271.0,683,69,75,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.1855717789116172
27,18,-2.8131425151792406,6.847245694885373e-06,0.0073718536756666175,65,297.0,749,77,90,"d_q_exc_[4, 5]_[6, 11]","[[4, 5], [6, 11]]",0.11506256509567328
28,18,-2.8131425151792406,6.847245694885373e-06,0.0073718536756666175,65,297.0,749,77,90,"d_q_exc_[4, 5]_[7, 10]","[[4, 5], [7, 10]]",0.027778954485199507
29,19,-2.813155528585639,1.3013406398254546e-05,0.007358840269268363,87,303.0,763,77,90,s_q_exc_7_11,"[[7], [11]]",0.5499597792367175
