,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-2.0525278256972643,0.08192557997869443,0.7484310739493125,7,13.0,33,11,11,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.06593556690665466
1,2,-2.1308041049179245,0.07827627922066016,0.6701547947286524,9,26.0,66,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-1.2116772771815063
2,3,-2.363411620683545,0.23260751576562066,0.4375472789630317,12,52.0,132,16,17,"d_q_exc_[0, 7]_[4, 11]","[[0, 7], [4, 11]]",0.5896130182080972
3,3,-2.363411620683545,0.23260751576562066,0.4375472789630317,12,52.0,132,16,17,"d_q_exc_[1, 6]_[5, 10]","[[1, 6], [5, 10]]",1.7777753865931525
4,4,-2.518647727779407,0.15523610709586189,0.2823111718671698,14,78.0,198,22,27,"d_q_exc_[2, 5]_[6, 9]","[[2, 5], [6, 9]]",0.20709095207968295
5,4,-2.518647727779407,0.15523610709586189,0.2823111718671698,14,78.0,198,22,27,"d_q_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",-1.024631121821664
6,5,-2.629171648932947,0.11052392115353982,0.17178725071363,17,91.0,231,33,33,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.6716897063043756
7,6,-2.701348418956364,0.07217677002341727,0.09961048069021272,17,104.0,264,33,38,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.31448896786068004
8,7,-2.742938184531557,0.04158976557519267,0.05802071511502005,17,130.0,330,39,48,"d_q_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",0.04188350492843626
9,7,-2.742938184531557,0.04158976557519267,0.05802071511502005,17,130.0,330,39,48,"d_q_exc_[0, 5]_[6, 11]","[[0, 5], [6, 11]]",-0.3817002321341934
10,8,-2.7871064545079647,0.04416826997640788,0.013852445138612168,31,156.0,396,44,54,"d_q_exc_[2, 7]_[4, 9]","[[2, 7], [4, 9]]",0.7784150073727476
