,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.77976354819969,0.029613504628706,0.215801877304951,6,13,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.385197443514166
2,2,-2.79577671132554,0.016013163125857,0.199788714179094,7,26,66,17,21,"d_q_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",-0.16150788074647
3,3,-2.82434090283251,0.028564191506969,0.171224522672125,49,39,99,23,31,"d_q_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",-0.244661335893033
4,4,-2.84369030760503,0.019349404772523,0.151875117899603,10,52,132,23,31,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.100038692806033
5,5,-2.87244438372254,0.028754076117508,0.123121041782094,11,65,165,23,31,"d_q_exc_[2, 5]_[6, 9]","[[2, 5], [6, 9]]",-0.154708163282831
6,6,-2.9024600956709,0.030015711948356,0.093105329833739,12,78,198,23,31,"d_q_exc_[0, 5]_[6, 11]","[[0, 5], [6, 11]]",-0.215417862727191
7,7,-2.91365239822813,0.01119230255723,0.081913027276508,12,91,231,23,31,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.244127998950764
8,8,-2.92833809395564,0.01468569572751,0.067227331548998,52,104,264,28,32,"d_q_exc_[1, 2]_[9, 10]","[[1, 2], [9, 10]]",0.377899078128263
9,9,-2.94414982731571,0.015811733360071,0.051415598188928,15,117,297,33,33,"d_q_exc_[0, 3]_[8, 11]","[[0, 3], [8, 11]]",-0.072941324780525
10,10,-2.94490955325949,0.000759725943784,0.050655872245144,62,130,330,44,44,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.044037626495844
11,11,-2.94574288505367,0.000833331794176,0.049822540450967,16,143,363,44,44,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.06617417206256
12,12,-2.94679725577668,0.001054370723007,0.048768169727961,17,156,396,55,55,"d_q_exc_[0, 3]_[9, 10]","[[0, 3], [9, 10]]",0.1573325377767
13,13,-2.94819001074272,0.001392754966049,0.047375414761912,42,169,429,55,55,"d_q_exc_[1, 2]_[8, 11]","[[1, 2], [8, 11]]",0.161642013108688
14,14,-2.94951070370967,0.001320692966949,0.046054721794962,18,182,462,56,64,"d_q_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",0.067210829175623
15,15,-2.95147940088696,0.001968697177289,0.044086024617673,18,195,495,66,66,"d_q_exc_[0, 5]_[7, 10]","[[0, 5], [7, 10]]",-0.117559676025857
16,16,-2.95270809856353,0.001228697676567,0.042857326941106,17,208,528,66,66,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.055504703165299
17,17,-2.95513222553533,0.002424126971797,0.040433199969309,17,221,561,77,77,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.031625213115439
18,18,-2.95629825775346,0.001166032218131,0.039267167751178,18,234,594,77,85,"d_q_exc_[1, 2]_[7, 8]","[[1, 2], [7, 8]]",-0.070911759934822
19,19,-2.95771822124018,0.001419963486724,0.037847204264454,18,247,627,77,85,"d_q_exc_[3, 4]_[9, 10]","[[3, 4], [9, 10]]",-0.049026909518104
20,20,-2.95902245479865,0.001304233558472,0.036542970705982,18,260,660,88,88,"d_q_exc_[0, 3]_[6, 9]","[[0, 3], [6, 9]]",-0.078588755150169
21,21,-2.96061109227093,0.001588637472276,0.034954333233706,19,273,693,88,88,"d_q_exc_[2, 5]_[8, 11]","[[2, 5], [8, 11]]",-0.066679906786388
22,22,-2.96183243826604,0.001221345995112,0.033732987238593,19,286,726,88,88,"d_q_exc_[3, 4]_[6, 9]","[[3, 4], [6, 9]]",0.121880971265586
23,23,-2.96393319934541,0.002100761079366,0.031632226159228,19,299,759,88,88,"d_q_exc_[2, 5]_[7, 8]","[[2, 5], [7, 8]]",0.114794946634413
