,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.0525278256972643,0.08192557996948757,0.7484310739494866,7,13.0,33,11,11,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-2.4714185338381442
2,2,-2.1189060591460613,0.06637823344879701,0.6820528405006896,9,26.0,66,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",1.271859623614341
3,3,-2.212817495475459,0.0939114363293978,0.5881414041712918,10,39.0,99,17,21,"d_q_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",2.0580965332996732
4,4,-2.3823153640006467,0.16949786852518756,0.41864353564610424,11,52.0,132,22,22,"d_q_exc_[1, 2]_[6, 9]","[[1, 2], [6, 9]]",3.756701512110405
5,5,-2.5239684050178584,0.14165304101721166,0.2769904946288926,11,65.0,165,28,32,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.5358425156697539
6,6,-2.5632461775310666,0.0392777725132083,0.23771272211568428,13,78.0,198,28,32,"d_q_exc_[3, 10]_[5, 8]","[[3, 10], [5, 8]]",2.6172110703053004
7,7,-2.6059173990968687,0.04267122156580205,0.19504150054988223,16,91.0,231,28,32,"d_q_exc_[2, 5]_[9, 10]","[[2, 5], [9, 10]]",1.1705348008497019
8,8,-2.6209938735019103,0.015076474405041562,0.17996502614484067,16,104.0,264,39,43,"d_q_exc_[2, 11]_[4, 9]","[[2, 11], [4, 9]]",2.4134438053481566
9,9,-2.636957356872197,0.015963483370286635,0.16400154277455403,17,117.0,297,39,43,"d_q_exc_[0, 5]_[7, 10]","[[0, 5], [7, 10]]",0.12506322066387496
10,10,-2.654849817221947,0.017892460349750117,0.14610908242480392,19,130.0,330,39,43,"d_q_exc_[1, 10]_[5, 6]","[[1, 10], [5, 6]]",-7.947738496475318
11,11,-2.6740513809684296,0.01920156374648263,0.12690751867832128,60,143.0,363,39,43,"d_q_exc_[0, 3]_[7, 8]","[[0, 3], [7, 8]]",-3.349100465249628
12,12,-2.681499160378479,0.007447779410049371,0.11945973926827191,25,156.0,396,44,49,"d_q_exc_[0, 9]_[2, 7]","[[0, 9], [2, 7]]",-1.0670097702848675
13,13,-2.6846196638688262,0.003120503490347204,0.11633923577792471,27,169.0,429,44,49,"d_q_exc_[3, 10]_[5, 8]","[[3, 10], [5, 8]]",-3.2055166567947335
