,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-2.779763548199685,0.029613504632397092,0.21580187730496858,6,13.0,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.10993541941718639
1,2,-2.8247187457191303,0.0449551975194451,0.17084667978552348,8,39.0,99,17,21,"d_q_exc_[2, 5]_[6, 9]","[[2, 5], [6, 9]]",-0.4349248620593273
2,2,-2.8247187457191303,0.0449551975194451,0.17084667978552348,8,39.0,99,17,21,"d_q_exc_[3, 4]_[7, 8]","[[3, 4], [7, 8]]",-0.060246151933454804
3,3,-2.8998885274446162,0.07516978172548594,0.09567689806003754,13,65.0,165,22,27,"d_q_exc_[1, 6]_[5, 10]","[[1, 6], [5, 10]]",-0.07193190010360775
4,3,-2.8998885274446162,0.07516978172548594,0.09567689806003754,13,65.0,165,22,27,"d_q_exc_[0, 7]_[4, 11]","[[0, 7], [4, 11]]",0.6303110757123205
5,4,-2.925460768021274,0.025572240576657634,0.0701046574833799,11,78.0,198,22,27,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.12256062529379211
6,5,-2.9306744493975003,0.0052136813762264644,0.06489097610715344,14,91.0,231,33,38,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.8568127314595242
7,6,-2.940196968701934,0.009522519304433708,0.055368456802719734,15,117.0,297,39,48,"d_q_exc_[0, 5]_[6, 11]","[[0, 5], [6, 11]]",-0.29925221806575586
8,6,-2.940196968701934,0.009522519304433708,0.055368456802719734,15,117.0,297,39,48,"d_q_exc_[1, 4]_[7, 10]","[[1, 4], [7, 10]]",-0.19942395842107927
9,7,-2.9461618985944926,0.00596492989255859,0.049403526910161144,18,130.0,330,39,48,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.7829186001935213
10,8,-2.9484728498702246,0.0023109512757319983,0.047092575634429146,50,136.0,344,39,48,s_q_exc_3_7,"[[3], [7]]",0.10331321493645478
11,8,-2.9484728498702246,0.0023109512757319983,0.047092575634429146,50,136.0,344,39,48,s_q_exc_2_6,"[[2], [6]]",0.16273122392462186
12,9,-2.9507293301615976,0.002256480291372931,0.044836095343056215,23,162.0,410,45,58,"d_q_exc_[1, 4]_[6, 11]","[[1, 4], [6, 11]]",0.06788954842145954
13,9,-2.9507293301615976,0.002256480291372931,0.044836095343056215,23,162.0,410,45,58,"d_q_exc_[0, 5]_[7, 10]","[[0, 5], [7, 10]]",-0.0824740479821927
14,10,-2.951859311278222,0.0011299811166245455,0.04370611422643167,20,175.0,443,55,58,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.06837286830517648
15,11,-2.9535456067785777,0.0016862955003555946,0.042019818726076075,67,188.0,476,56,69,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.07072426542977475
16,12,-2.95582903091925,0.0022834241406721745,0.0397363945854039,25,214.0,542,66,69,"d_q_exc_[0, 3]_[9, 10]","[[0, 3], [9, 10]]",0.18765815569083188
17,12,-2.95582903091925,0.0022834241406721745,0.0397363945854039,25,214.0,542,66,69,"d_q_exc_[1, 2]_[8, 11]","[[1, 2], [8, 11]]",-0.4409082022671934
18,13,-2.9584363693787292,0.002607338459479358,0.03712905612592454,24,240.0,608,66,79,"d_q_exc_[2, 5]_[7, 8]","[[2, 5], [7, 8]]",0.25660609310653937
19,13,-2.9584363693787292,0.002607338459479358,0.03712905612592454,24,240.0,608,66,79,"d_q_exc_[3, 4]_[6, 9]","[[3, 4], [6, 9]]",0.31483844686924506
20,14,-2.9622524100467036,0.003816040667974363,0.03331301545795018,59,266.0,674,68,89,"d_q_exc_[3, 5]_[7, 9]","[[3, 5], [7, 9]]",0.07303524049586929
21,14,-2.9622524100467036,0.003816040667974363,0.03331301545795018,59,266.0,674,68,89,"d_q_exc_[2, 4]_[6, 8]","[[2, 4], [6, 8]]",0.11781375737753436
22,15,-2.9641116414213164,0.0018592313746128575,0.03145378408333732,23,292.0,740,77,89,"d_q_exc_[1, 2]_[7, 8]","[[1, 2], [7, 8]]",-0.13889733137327856
23,15,-2.9641116414213164,0.0018592313746128575,0.03145378408333732,23,292.0,740,77,89,"d_q_exc_[0, 3]_[6, 9]","[[0, 3], [6, 9]]",0.06258456827431666
24,16,-2.966625295457212,0.0025136540358956516,0.02894013004744167,31,318.0,806,77,89,"d_q_exc_[7, 8]_[9, 10]","[[7, 8], [9, 10]]",0.008815467030527815
25,16,-2.966625295457212,0.0025136540358956516,0.02894013004744167,31,318.0,806,77,89,"d_q_exc_[6, 9]_[8, 11]","[[6, 9], [8, 11]]",0.21582540846631312
26,17,-2.967820871400778,0.0011955759435657853,0.027744554103875885,114,331.0,839,88,89,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.12505722691854518
27,18,-2.9699367012490248,0.002115829848246875,0.02562872425562901,87,344.0,872,99,99,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.07033751102450762
28,19,-2.9708780039971323,0.0009413027481075531,0.024687421507521456,34,357.0,905,99,100,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.14651049676558017
29,20,-2.9724255980251777,0.0015475940280453848,0.02313982747947607,52,383.0,971,99,106,"d_q_exc_[3, 9]_[5, 7]","[[3, 9], [5, 7]]",0.5422712546013407
30,20,-2.9724255980251777,0.0015475940280453848,0.02313982747947607,52,383.0,971,99,106,"d_q_exc_[2, 8]_[4, 6]","[[2, 8], [4, 6]]",-0.06672819270319148
31,21,-2.976494160444347,0.004068562419169197,0.019071265060306875,70,409.0,1037,110,110,"d_q_exc_[0, 3]_[9, 10]","[[0, 3], [9, 10]]",-0.0246737876746248
32,21,-2.976494160444347,0.004068562419169197,0.019071265060306875,70,409.0,1037,110,110,"d_q_exc_[1, 2]_[8, 11]","[[1, 2], [8, 11]]",0.5533709236764286
33,22,-2.9783115906498043,0.0018174302054574376,0.017253834854849437,61,435.0,1103,121,121,"d_q_exc_[0, 4]_[6, 10]","[[0, 4], [6, 10]]",0.04507178469025198
34,22,-2.9783115906498043,0.0018174302054574376,0.017253834854849437,61,435.0,1103,121,121,"d_q_exc_[1, 5]_[7, 11]","[[1, 5], [7, 11]]",0.12952916578948961
35,23,-2.9791484387724654,0.0008368481226610491,0.016416986732188388,59,461.0,1169,143,143,"d_q_exc_[0, 1]_[6, 11]","[[0, 1], [6, 11]]",-0.043796357171817214
36,23,-2.9791484387724654,0.0008368481226610491,0.016416986732188388,59,461.0,1169,143,143,"d_q_exc_[0, 1]_[7, 10]","[[0, 1], [7, 10]]",-0.01153099756227097
37,24,-2.979759899505998,0.0006114607335327982,0.01580552599865559,62,474.0,1202,154,154,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.03154279713351404
38,25,-2.9807513711083686,0.0009914716023704528,0.014814054396285137,68,500.0,1268,154,154,"d_q_exc_[3, 4]_[6, 9]","[[3, 4], [6, 9]]",-0.10291051199238252
39,25,-2.9807513711083686,0.0009914716023704528,0.014814054396285137,68,500.0,1268,154,154,"d_q_exc_[2, 5]_[7, 8]","[[2, 5], [7, 8]]",0.0009075710436518648
40,26,-2.981642629234637,0.000891258126268557,0.01392279627001658,135,526.0,1334,165,165,"d_q_exc_[0, 2]_[8, 10]","[[0, 2], [8, 10]]",0.06305555955863366
41,26,-2.981642629234637,0.000891258126268557,0.01392279627001658,135,526.0,1334,165,165,"d_q_exc_[1, 3]_[9, 11]","[[1, 3], [9, 11]]",0.0340661081262505
42,27,-2.9822477524291493,0.0006051231945121138,0.013317673075504466,75,552.0,1400,176,176,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",0.028594629557788034
43,27,-2.9822477524291493,0.0006051231945121138,0.013317673075504466,75,552.0,1400,176,176,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.01846793390339096
44,28,-2.9837678464922472,0.0015200940630979431,0.011797579012406523,80,578.0,1466,187,187,"d_q_exc_[1, 7]_[5, 11]","[[1, 7], [5, 11]]",-0.17010651825381018
45,28,-2.9837678464922472,0.0015200940630979431,0.011797579012406523,80,578.0,1466,187,187,"d_q_exc_[0, 6]_[4, 10]","[[0, 6], [4, 10]]",-0.1770155041281143
