,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.77976354819969,0.029613504628706,0.215801877304993,6,6,9,4,3,1j [Y4 Y5 Y6 X7],[],-0.21353252064218
2,2,-2.79503760661185,0.015274058412164,0.200527818892829,42,12,18,6,5,1j [Y1 Y4 Y7 X10],[],-0.145595433264824
3,3,-2.82313711116509,0.02809950455324,0.172428314339589,9,18,27,10,7,1j [Y3 Y4 Y7 X8],[],-0.051103626333112
4,4,-2.84736585969784,0.024228748532746,0.148199565806843,10,24,36,10,7,1j [Y2 Y3 Y8 X9],[],0.032055694798008
5,5,-2.87849801545242,0.031132155754581,0.117067410052262,13,30,45,10,7,1j [Y0 Y5 Y6 X11],[],-0.15917786331594
6,6,-2.91254108693499,0.034043071482577,0.083024338569685,14,36,54,12,7,1j [Y2 Y5 Y6 X9],[],-0.224787207574305
7,7,-2.91980310631603,0.007262019381032,0.075762319188653,14,42,63,12,7,1j [Y0 Y1 Y10 X11],[],-0.112425332286026
8,8,-2.92891037268414,0.009107266368119,0.066655052820534,17,48,72,12,9,1j [Y0 X3 Y8 Y11],[],0.057719924933725
9,9,-2.93831952940811,0.009409156723962,0.057245896096571,17,54,81,12,9,1j [Y1 X2 Y9 Y10],[],0.027476313586125
10,10,-2.93917067975703,0.000851150348927,0.056394745747644,18,60,90,16,12,1j [Y1 X4 Y6 Y11],[],-0.03793583232337
11,11,-2.94147786041501,0.002307180657979,0.054087565089665,20,66,99,16,12,1j [Y0 Y5 X7 Y10],[],0.070306703546466
12,12,-2.94231912060869,0.000841260193678,0.053246304895987,20,72,108,20,15,1j [Y4 Y5 Y10 X11],[],-0.058116982045808
13,13,-2.94428422525938,0.00196510465069,0.051281200245297,67,78,117,20,15,1j [X0 Y1 Y6 Y7],[],0.00201849459185
14,14,-2.94519307621835,0.000908850958964,0.050372349286334,23,84,126,20,18,1j [X1 Y2 X8 X11],[],0.095514890835374
15,15,-2.94679097276912,0.001597896550775,0.048774452735558,24,90,135,20,18,1j [X0 X3 Y9 X10],[],-0.089133922061864
16,16,-2.94760517269653,0.00081419992741,0.047960252808149,23,96,144,20,21,1j [X2 X3 X10 Y11],[],0.079172639726543
17,17,-2.94917622922287,0.001571056526343,0.046389196281806,26,102,153,20,21,1j [Y0 X1 X8 X9],[],-0.00269092019578
18,18,-2.95028740726974,0.00111117804687,0.045278018234936,75,108,162,24,21,1j [Y2 Y5 X7 Y8],[],0.056101702738751
19,19,-2.95454714695022,0.004259739680476,0.04101827855446,28,114,171,24,21,1j [Y3 X4 Y6 Y9],[],-0.207128988619203
20,20,-2.95539338834287,0.000846241392654,0.040172037161806,53,120,180,24,21,1j [Y3 Y4 X9 Y10],[],0.027864390394387
21,21,-2.95706968776833,0.001676299425462,0.038495737736345,111,126,189,24,21,1j [Y1 X2 Y7 Y8],[],0.016967496890278
