,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.9950861178252515,0.24493607425427522,0.00047930767942716557,231,2080.0,3136,402,369,1j [X1 Y3 X8 X10],[],0.06272047441105395
2,2,-2.995094002586228,7.88476097657309e-06,0.0004714229184505925,197,2086.0,3145,402,372,1j [X1 Y6 Y8 Y11],[],-0.00522870925789847
3,3,-2.9951073532042547,1.3350618026652938e-05,0.00045807230042393954,193,2092.0,3154,402,375,1j [X0 X1 Y10 X11],[],0.0076521594280448265
4,4,-2.995115445585075,8.092380820112766e-06,0.00044997991960382677,180,2098.0,3163,402,378,1j [Y2 Y4 Y9 X11],[],0.006071719680460404
5,5,-2.995120443946398,4.9983613230608626e-06,0.0004449815582807659,167,2104.0,3172,402,378,1j [Y1 Y7 X8 Y10],[],-0.002841949948167459
6,6,-2.9951316664983363,1.1222551938416814e-05,0.0004337590063423491,129,2110.0,3181,402,381,1j [X1 Y2 Y4 Y11],[],0.014987108900536594
7,7,-2.9951491678548154,1.750135647915485e-05,0.00041625764986319425,192,2116.0,3190,402,381,1j [X1 X2 Y9 X10],[],0.022406454612887778
8,8,-2.9951663015071417,1.713365232625108e-05,0.00039912399753694316,246,2122.0,3199,402,384,1j [X5 Y8 Y10 Y11],[],0.03026617109383028
9,9,-2.9951831178004706,1.6816293328947296e-05,0.00038230770420799587,175,2128.0,3208,406,384,1j [X1 X3 Y7 X9],[],0.03733774725880813
10,10,-2.9951937671112088,1.0649310738131135e-05,0.00037165839346986473,172,2134.0,3217,408,384,1j [X3 Y6 X7 X10],[],-0.010116342838564968
11,11,-2.9951995649583285,5.797847119737298e-06,0.00036586054635012744,196,2140.0,3226,408,387,1j [Y1 X6 X8 X11],[],0.0017713215266664621
12,12,-2.9952122795230793,1.271456475082644e-05,0.000353145981599301,189,2146.0,3235,410,390,1j [X3 Y6 X10 X11],[],-0.011568048846429436
13,13,-2.9952191794928265,6.899969747120593e-06,0.0003462460118521804,212,2152.0,3244,410,390,1j [X0 X2 X4 Y6],[],-0.0013101868922847045
14,14,-2.9952275483819957,8.368889169219074e-06,0.00033787712268296133,201,2158.0,3253,410,393,1j [Y1 X4 X10 X11],[],0.0234750973477324
15,15,-2.9952345284388335,6.980056837857518e-06,0.0003308970658451038,160,2164.0,3262,410,393,1j [Y0 X6 Y8 Y10],[],0.021529141364065536
16,16,-2.9952480358106444,1.3507371810828062e-05,0.00031738969403427575,191,2170.0,3271,410,393,1j [Y0 X1 Y7 Y10],[],-0.016568455429108595
17,17,-2.9952698957821053,2.1859971460980177e-05,0.00029552972257329557,206,2176.0,3280,414,393,1j [Y1 X3 X7 X9],[],0.030833990452380004
18,18,-2.995280465433602,1.0569651496705745e-05,0.0002849600710765898,163,2182.0,3289,418,393,1j [X2 X3 X5 Y8],[],0.020541648078230425
19,19,-2.995287221162537,6.755728934937366e-06,0.00027820434214165246,213,2188.0,3298,422,393,1j [Y0 X1 X3 X10],[],-0.019441234357420865
20,20,-2.9952949876992276,7.766536690656523e-06,0.00027043780545099594,211,2194.0,3307,422,393,1j [X1 Y2 Y6 Y9],[],-0.021309249620227583
21,21,-2.9953033614128866,8.373713658915705e-06,0.00026206409179208023,140,2200.0,3316,426,393,1j [X0 X3 X7 Y8],[],0.013022553801248027
22,22,-2.995310247932925,6.886520038662525e-06,0.0002551775717534177,204,2206.0,3325,426,393,1j [X5 X6 X7 Y8],[],-0.010604872028317334
23,23,-2.9953180185200434,7.770587118205441e-06,0.00024740698463521227,134,2212.0,3334,426,396,1j [X6 Y8 X9 X11],[],0.02874229066342001
24,24,-2.99532523492466,7.216404616539052e-06,0.00024019058001867322,166,2218.0,3343,426,399,1j [X4 Y6 X9 X11],[],-0.016494704745484954
25,25,-2.995331197292812,5.9623681520903915e-06,0.00023422821186658282,288,2224.0,3352,430,399,1j [Y0 Y2 X3 Y9],[],0.023428789354791542
26,26,-2.9953386399932524,7.442700440396521e-06,0.0002267855114261863,188,2230.0,3361,434,399,1j [X0 Y1 Y3 Y10],[],0.028262461386576045
27,27,-2.9953466670177105,8.027024458012733e-06,0.00021875848696817357,205,2236.0,3370,438,399,1j [X0 X3 Y5 X6],[],-0.025034352743097354
28,28,-2.9953535464291816,6.879411471150121e-06,0.00021187907549702345,227,2242.0,3379,442,399,1j [Y1 X3 Y4 Y6],[],-0.027451946246533424
29,29,-2.9953630661364983,9.519707316663073e-06,0.00020235936818036038,204,2248.0,3388,442,399,1j [X0 X1 Y4 X5],[],-0.0365580305756844
30,30,-2.9953735843730382,1.0518236539969195e-05,0.00019184113164039118,191,2254.0,3397,442,402,1j [X1 Y7 X9 X11],[],0.03002479861062968
31,31,-2.995380502104539,6.9177315009660845e-06,0.0001849234001394251,177,2260.0,3406,442,405,1j [X2 Y8 X9 X11],[],-0.0013214616793540883
32,32,-2.9953854465597467,4.94445520748954e-06,0.00017997894493193556,190,2266.0,3415,446,408,1j [X1 Y3 Y5 Y11],[],0.011808080115966442
33,33,-2.9953919759599557,6.529400208954428e-06,0.00017344954472298113,167,2272.0,3424,446,411,1j [X2 X6 Y7 X11],[],-0.023873840887042808
34,34,-2.99539752074953,5.544789574152276e-06,0.00016790475514882885,180,2274.0,3429,446,414,1j [Y7 X11],[],-0.02285976913466931
35,35,-2.9954045287645483,7.008015018517e-06,0.00016089674013031185,187,2280.0,3438,446,414,1j [X2 X5 Y7 X8],[],0.03183966935287111
36,36,-2.9954123218648263,7.793100277986298e-06,0.00015310363985232556,261,2286.0,3447,446,414,1j [Y4 X5 Y7 Y10],[],-0.024308606712217597
37,37,-2.99542007887051,7.757005683561857e-06,0.0001453466341687637,170,2292.0,3456,446,414,1j [Y0 Y2 X8 Y10],[],0.019137660281550846
38,38,-2.9954264397169315,6.360846421582522e-06,0.00013898578774718118,185,2298.0,3465,446,414,1j [Y1 Y2 Y4 X7],[],-0.021043974777445962
39,39,-2.995433181696257,6.741979325486369e-06,0.0001322438084216948,274,2304.0,3474,446,414,1j [X0 Y1 Y4 Y9],[],-0.012868810359801194
40,40,-2.995440661287274,7.479591017212073e-06,0.00012476421740448274,249,2310.0,3483,446,417,1j [X1 X6 Y8 X11],[],0.007509155780928187
41,41,-2.9954453709109017,4.709623627530135e-06,0.0001200545937769526,220,2316.0,3492,446,417,1j [X5 Y7 X8 X10],[],0.00591874311821859
42,42,-2.995453091731645,7.720820743184476e-06,0.00011233377303376813,183,2322.0,3501,448,417,1j [Y0 X1 X2 X3],[],0.011804020055599345
43,43,-2.9954553084291975,2.2166975526261012e-06,0.00011011707548114202,171,2328.0,3510,448,420,1j [X5 X6 X8 Y11],[],-0.0033938429424624854
44,44,-2.9954593283942113,4.019965013757343e-06,0.00010609711046738468,205,2334.0,3519,452,420,1j [Y0 Y3 X9 Y10],[],-0.00951688830906419
45,45,-2.9954648481798998,5.519785688523626e-06,0.00010057732477886105,170,2340.0,3528,454,420,1j [X3 Y4 Y5 Y10],[],0.021319982238112475
46,46,-2.995471926887161,7.078707261243267e-06,9.349861751761779e-05,230,2346.0,3537,454,423,1j [Y6 X7 Y10 Y11],[],0.012583053194959852
47,47,-2.995474431501506,2.5046143448115288e-06,9.099400317280626e-05,180,2352.0,3546,454,423,1j [X0 X2 Y5 X7],[],-0.02381506255384539
48,48,-2.995478420722642,3.989221136091459e-06,8.70047820367148e-05,201,2358.0,3555,454,426,1j [Y6 Y7 Y10 X11],[],-0.014318216509701883
49,49,-2.995485767669544,7.3469469019649125e-06,7.965783513474989e-05,248,2364.0,3564,454,429,1j [Y1 Y2 X8 Y11],[],0.01135713347904311
50,50,-2.9954903848513923,4.617181848409757e-06,7.504065328634013e-05,207,2370.0,3573,454,429,1j [X4 X6 Y8 X10],[],0.009835579012516213
51,51,-2.995493891056051,3.506204658609846e-06,7.153444862773028e-05,224,2376.0,3582,454,432,1j [Y0 Y1 X6 Y11],[],0.0029661517266822155
52,52,-2.9954981411044415,4.250048390552763e-06,6.728440023717752e-05,202,2382.0,3591,458,435,1j [Y2 Y3 X10 Y11],[],0.0013099794133601935
