,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.779763548199685,0.029613504628705822,0.21580187730499345,6,6.0,9,4,3,1j [Y4 Y5 Y6 X7],[],-0.21353252064217976
2,2,-2.7950376066118494,0.015274058412164226,0.20052781889282922,42,12.0,18,6,5,1j [Y1 Y4 Y7 X10],[],-0.1455954332648238
3,3,-2.8231371111650896,0.028099504553240173,0.17242831433958905,9,18.0,27,10,7,1j [Y3 Y4 Y7 X8],[],-0.05110362633311217
4,4,-2.847365859697836,0.02422874853274637,0.14819956580684268,10,24.0,36,10,7,1j [Y2 Y3 Y8 X9],[],0.032055694798007475
5,5,-2.8784980154524167,0.031132155754580726,0.11706741005226196,13,30.0,45,10,7,1j [Y0 Y5 Y6 X11],[],-0.15917786331594042
6,6,-2.9125410869349935,0.03404307148257679,0.08302433856968516,14,36.0,54,12,7,1j [Y2 Y5 Y6 X9],[],-0.22478720757430504
7,7,-2.9198031063160257,0.007262019381032214,0.07576231918865295,14,42.0,63,12,7,1j [Y0 Y1 Y10 X11],[],-0.11242533228602634
8,8,-2.928910372684145,0.009107266368119316,0.06665505282053363,17,48.0,72,12,9,1j [Y0 X3 Y8 Y11],[],0.05771992493372495
9,9,-2.9383195294081075,0.009409156723962475,0.05724589609657116,17,54.0,81,12,9,1j [Y1 X2 Y9 Y10],[],0.027476313586124925
10,10,-2.9391706797570345,0.0008511503489270211,0.05639474574764414,18,60.0,90,16,12,1j [Y1 X4 Y6 Y11],[],-0.03793583232337028
11,11,-2.9414778604150134,0.002307180657978858,0.05408756508966528,20,66.0,99,16,12,1j [Y0 Y5 X7 Y10],[],0.07030670354646637
12,12,-2.9423191206086914,0.0008412601936780284,0.05324630489598725,20,72.0,108,20,15,1j [Y4 Y5 Y10 X11],[],-0.05811698204580788
13,13,-2.9442842252593815,0.001965104650690108,0.05128120024529714,67,78.0,117,20,15,1j [X0 Y1 Y6 Y7],[],0.002018494591850143
14,14,-2.945193076218345,0.0009088509589636473,0.050372349286333495,23,84.0,126,20,18,1j [X1 Y2 X8 X11],[],0.09551489083537389
15,15,-2.9467909727691204,0.0015978965507752463,0.04877445273555825,24,90.0,135,20,18,1j [X0 X3 Y9 X10],[],-0.08913392206186396
16,16,-2.94760517269653,0.000814199927409831,0.04796025280814842,23,96.0,144,20,21,1j [X2 X3 X10 Y11],[],0.07917263972654323
17,17,-2.949176229222873,0.0015710565263429288,0.04638919628180549,26,102.0,153,20,21,1j [Y0 X1 X8 X9],[],-0.002690920195779602
18,18,-2.9502874072697427,0.0011111780468695542,0.045278018234935935,75,108.0,162,24,21,1j [Y2 Y5 X7 Y8],[],0.056101702738750876
19,19,-2.954547146950219,0.0042597396804762155,0.04101827855445972,28,114.0,171,24,21,1j [Y3 X4 Y6 Y9],[],-0.20712898861920276
20,20,-2.9553933883428725,0.0008462413926535461,0.04017203716180617,53,120.0,180,24,21,1j [Y3 Y4 X9 Y10],[],0.027864390394386658
21,21,-2.957069687768334,0.001676299425461547,0.038495737736344626,111,126.0,189,24,21,1j [Y1 X2 Y7 Y8],[],0.016967496890277572
