,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.05252782569727,0.081925579969488,0.748431073949436,7,6,9,4,3,1j [Y2 Y3 Y8 X9],[],-0.654626783655457
2,2,-2.11890605914607,0.066378233448796,0.682052840500639,9,12,18,4,3,1j [Y4 Y5 Y10 X11],[],-1.56903367383524
3,3,-2.42890390511689,0.309997845970827,0.372054994529812,18,18,27,6,6,1j [Y1 Y4 Y6 X11],[],1.57465507962793
4,4,-2.46663153780351,0.037727632686616,0.334327361843196,9,24,36,8,6,1j [Y3 Y5 Y6 X8],[],0.811101773351144
5,5,-2.54473942432593,0.078107886522419,0.256219475320778,11,30,45,10,7,1j [Y1 X3 Y8 Y10],[],-0.808299786311541
6,6,-2.63078112347374,0.086041699147814,0.170177776172964,11,36,54,12,10,1j [Y3 X4 X7 X8],[],-0.728186731687085
7,7,-2.79982006555263,0.169038942078891,0.001138834094073,64,42,63,16,12,1j [X0 X3 Y8 X11],[],0.531154366556438
8,8,-2.79985223053922,3.21649865862028E-05,0.001106669107486,16,44,68,18,15,1j [X4 Y8],[],0.017753948477609
9,9,-2.79990902098011,5.67904408885767E-05,0.001049878666598,62,46,73,20,18,1j [Y4 X8],[],0.062203084861252
10,10,-2.79995741299376,4.83920136469251E-05,0.001001486652951,13,48,78,20,18,1j [X2 Y10],[],0.006517813228639
11,11,-2.80005303783709,9.56248433339191E-05,0.000905861809617,49,54,87,22,21,1j [Y1 Y2 X3 Y8],[],0.008958630944449
12,12,-2.80005353564715,4.97810058952553E-07,0.000905363999558,60,60,96,22,21,1j [Y4 X5 X6 X11],[],-0.002368291259917
13,13,-2.80005486760686,1.33195971141475E-06,0.000904032039847,98,66,105,22,21,1j [X4 Y5 Y6 Y11],[],0.006178976537722
14,14,-2.80006911349436,1.42458875047602E-05,0.000889786152342,20,72,114,22,21,1j [X0 Y5 Y6 Y7],[],-0.012188412026151
15,15,-2.80006916788699,5.43926215179624E-08,0.00088973175972,63,74,119,22,21,1j [Y6 X10],[],-0.006889536740979
16,16,-2.80007652064368,7.35275669150326E-06,0.000882379003029,28,80,128,26,21,1j [X0 Y1 Y6 Y11],[],-0.006836443548591
17,17,-2.80007689932659,3.78682910362471E-07,0.000882000320118,26,86,137,30,21,1j [Y0 X1 Y6 Y11],[],-0.001811470408497
18,18,-2.80007696212428,6.2797693711758E-08,0.000881937522425,73,92,146,30,24,1j [X4 Y5 X10 X11],[],0.00173349773127
19,19,-2.80007769865794,7.3653366117199E-07,0.000881200988764,33,98,155,30,27,1j [X0 Y5 X10 X11],[],0.004434477870262
20,20,-2.80007773319077,3.45328299289349E-08,0.000881166455934,87,104,164,32,27,1j [X4 Y5 Y7 Y10],[],-0.005739274798371
21,21,-2.80008435166868,6.61847790528469E-06,0.000874547978028,40,110,173,34,30,1j [X0 X1 X6 Y11],[],-0.004662558575832
22,22,-2.80008648586392,2.1341952418652E-06,0.000872413782786,49,116,182,36,30,1j [Y3 Y4 Y5 X6],[],-0.102678703644098
23,23,-2.80008780095212,1.31508820100379E-06,0.000871098694585,118,122,191,40,30,1j [Y0 X5 X6 X7],[],0.005055344837257
24,24,-2.80008781122401,1.02718855643502E-08,0.0008710884227,72,128,200,44,30,1j [X1 X4 Y6 X7],[],-0.001010985962613
25,25,-2.80008858961152,7.78387509559053E-07,0.00087031003519,97,134,209,48,30,1j [X1 Y2 X6 X9],[],-0.002979262573974
26,26,-2.80008859849046,8.87894069379058E-09,0.00087030115625,43,140,218,48,33,1j [X4 X5 Y10 X11],[],-0.006548123593968
27,27,-2.80008860641969,7.92923326997652E-09,0.000870293227016,28,146,227,52,33,1j [X1 X2 Y6 X9],[],-0.002660109078505
28,28,-2.80008861396541,7.54572093697448E-09,0.000870285681295,91,152,236,52,33,1j [X0 Y3 X7 X8],[],0.001820447971086
29,29,-2.80008862006802,6.10260864064571E-09,0.000870279578687,70,158,245,56,33,1j [Y0 X5 Y6 Y7],[],0.000132811158346
30,30,-2.80008862607765,6.00962790642257E-09,0.000870273569059,102,164,254,56,33,1j [X0 Y1 Y4 Y5],[],-0.000203596663894
31,31,-2.80008863161261,5.53496093402828E-09,0.000870268034098,30,170,263,56,36,1j [Y0 Y2 X5 Y11],[],0.002646856906729
32,32,-2.80008863743538,5.82277426275368E-09,0.000870262211324,51,176,272,58,39,1j [X0 X2 Y5 X11],[],-0.00319441348455
33,33,-2.80008864301418,5.57879431539732E-09,0.000870256632529,87,182,281,60,42,1j [X5 X6 Y8 X11],[],0.000211475123238
34,34,-2.80008950647751,8.63463328837355E-07,0.000869393169201,69,188,290,64,42,1j [X1 X2 X5 Y6],[],-0.000192305476395
35,35,-2.80008951475963,8.28212032288889E-09,0.00086938488708,96,194,299,66,42,1j [X1 Y6 X9 X10],[],-0.002410596084685
36,36,-2.80008971825263,2.03493003780864E-07,0.000869181394076,87,200,308,66,42,1j [X1 Y3 Y8 Y10],[],-0.075970682285227
37,37,-2.8000897229402,4.6875685555392E-09,0.000869176706508,86,206,317,68,42,1j [X1 X2 Y5 X10],[],-0.002057438215945
38,38,-2.80009193829884,2.21535863920153E-06,0.000866961347869,85,212,326,68,45,1j [X0 Y1 X10 X11],[],-0.204005869072621
39,39,-2.80009194725731,8.95847662718552E-09,0.000866952389392,84,218,335,72,45,1j [X0 Y3 Y5 Y6],[],-0.000334426087163
