,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.0525278256972643,0.08192557996948757,0.7484310739494866,7,6.0,9,4,3,1j [Y2 Y3 Y8 X9],[],-0.558743601296608
2,2,-2.1189060591460613,0.06637823344879701,0.6820528405006896,9,12.0,18,4,3,1j [Y4 Y5 Y10 X11],[],-1.5698709587163282
3,3,-2.428903905116888,0.3099978459708268,0.3720549945298628,18,18.0,27,6,6,1j [Y1 Y4 Y6 X11],[],1.5781725591568283
4,4,-2.466631537803503,0.03772763268661494,0.33432736184324785,9,24.0,36,8,6,1j [Y3 Y5 Y6 X8],[],0.8094882850110228
5,5,-2.544739424325922,0.07810788652241873,0.2562194753208291,11,30.0,45,10,7,1j [Y1 X3 Y8 Y10],[],-0.8408530071246337
6,6,-2.6307811234737364,0.08604169914781457,0.17017777617301455,11,36.0,54,12,10,1j [Y3 X4 X7 X8],[],-0.7288799323138426
7,7,-2.799820065552626,0.1690389420788896,0.001138834094124963,15,42.0,63,16,12,1j [X0 X3 Y8 X11],[],0.5546152884115613
8,8,-2.7998522305392126,3.2164986586646904e-05,0.0011066691075383162,47,44.0,68,18,15,1j [X4 Y8],[],0.038718284906353054
9,9,-2.7999090209801025,5.679044088990892e-05,0.0010498786666484072,13,46.0,73,20,18,1j [Y4 X8],[],0.07324746606775781
10,10,-2.7999574129937503,4.8392013647813314e-05,0.001001486653000594,13,48.0,78,20,18,1j [X2 Y10],[],-0.00995886175631568
11,11,-2.8000530378370803,9.562484332992227e-05,0.0009058618096706716,14,54.0,87,22,21,1j [Y1 Y2 X3 Y8],[],0.027121562266139983
12,12,-2.800053535647142,4.978100616170877e-07,0.0009053639996090546,78,60.0,96,22,21,1j [Y4 X5 X6 X11],[],-0.012166025515787958
13,13,-2.800054867606851,1.331959709194308e-06,0.0009040320398998603,14,66.0,105,22,21,1j [X4 Y5 Y6 Y11],[],0.0020714939306033108
14,14,-2.8000691134943607,1.4245887509645172e-05,0.0008897861523902151,64,72.0,114,22,21,1j [X0 Y5 Y6 Y7],[],-0.013779096171040152
15,15,-2.8000691678869756,5.439261485662428e-08,0.0008897317597753585,41,74.0,119,22,21,1j [Y6 X10],[],-0.008235013055372352
16,16,-2.8000765206436724,7.35275669683233e-06,0.0008823790030785261,80,80.0,128,26,21,1j [X0 Y1 Y6 Y11],[],-0.0013056332594069725
17,17,-2.8000768993266125,3.786829401164482e-07,0.0008820003201384097,88,86.0,137,30,21,1j [Y0 X1 Y6 Y11],[],-0.008840238536980405
18,18,-2.8000769621242734,6.27976608491565e-08,0.0008819375224775605,96,92.0,146,30,24,1j [X4 Y5 X10 X11],[],-0.0009070673551668333
19,19,-2.800077698657936,7.365336625042573e-07,0.0008812009888150563,33,98.0,155,30,27,1j [X0 Y5 X10 X11],[],0.008807032182730754
20,20,-2.800077733190809,3.453287300558827e-08,0.0008811664559420507,33,104.0,164,32,27,1j [X4 Y5 Y7 Y10],[],-0.004603283179374355
21,21,-2.800084351668674,6.618477865316663e-06,0.000874547978076734,40,110.0,173,34,30,1j [X0 X1 X6 Y11],[],-0.018082779450650933
22,22,-2.8000864858639183,2.134195244085646e-06,0.0008724137828326484,49,116.0,182,36,30,1j [Y3 Y4 Y5 X6],[],-0.15115694125625817
23,23,-2.8000878009521144,1.3150881961188077e-06,0.0008710986946365296,90,122.0,191,40,30,1j [Y0 X5 X6 X7],[],-0.002233890335209463
24,24,-2.800087811224002,1.0271887784796263e-08,0.0008710884227487448,126,128.0,200,44,30,1j [X1 X4 Y6 X7],[],-0.007193166071058797
25,25,-2.800088589611541,7.78387538868941e-07,0.0008703100352098758,62,134.0,209,48,30,1j [X1 Y2 X6 X9],[],-0.0010599869289199914
