,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.59606732551549,0.025095693591723034,0.007234268458887527,6,13.0,33,11,11,"spin_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.13537593837386513
2,2,-98.60010648657877,0.004039161063275287,0.00319510739561224,9,43.0,101,21,23,"spin_d_f_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",0.030220506209973134
3,3,-98.60216418361783,0.002057697039063555,0.0011374103565486848,10,56.0,134,24,24,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.0243043819434332
4,4,-98.60217776397911,1.358036128351614e-05,0.0011238299952651687,12,86.0,202,34,36,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0004807432329705423
5,5,-98.60246275621807,0.0002849922389600579,0.0008388377563051108,13,112.0,224,37,39,spin_s_f_exc_11_5,"[[5], [11]]",-0.012362893379817058
6,6,-98.60287889346004,0.00041613724197020474,0.0004227005143349061,16,125.0,257,42,45,"spin_d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.01780353171667552
7,7,-98.60326807004981,0.0003891765897634514,3.35239245714547e-05,65,138.0,290,47,51,"spin_d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.017806353345766652
8,8,-98.60327552787923,7.45782942601636e-06,2.606609514543834e-05,47,151.0,323,52,57,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0003680825879017202
9,9,-98.60330118598634,2.5658107105641648e-05,4.0798803979669174e-07,22,185.0,345,59,60,spin_s_f_exc_11_3,"[[3], [11]]",-0.0028863562392061884
10,10,-98.60330153403719,3.4805084681011067e-07,5.993719298658107e-08,54,223.0,415,69,72,"spin_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",8.10801670227707e-05
11,11,-98.6033015937836,5.974641226202948e-08,1.907807245515869e-10,61,265.0,437,76,75,spin_s_f_exc_11_1,"[[1], [11]]",-3.4487978349489086e-05
12,12,-98.60330159397448,1.9088020053459331e-10,-9.947598300641403e-14,27,278.0,470,76,75,"spin_d_f_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",-0.00022793060299333443
