,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.59606732551549,0.025095693591708823,0.007234268458972792,6,6.0,9,4,3,1j [Y4 Y5 Y10 X11],[],-0.13543294829992245
2,2,-98.59777353970365,0.0017062141881609705,0.005528054270811822,8,12.0,18,8,6,1j [Y2 Y3 Y10 X11],[],-0.016845386100138054
3,3,-98.6000279466592,0.0022544069555436863,0.0032736473152681356,10,18.0,27,12,9,1j [Y3 Y4 Y10 X11],[],-0.029666822182141953
4,4,-98.60205509825505,0.002027151595854093,0.0012464957194140425,12,24.0,36,16,12,1j [Y2 Y5 Y10 X11],[],0.029608098107513945
5,5,-98.60242834613075,0.0003732478757001445,0.000873247843713898,13,30.0,45,20,15,1j [Y6 X7 Y10 Y11],[],0.01747644945709074
6,6,-98.60277835909959,0.0003500129688376319,0.0005232348748762661,14,36.0,54,24,18,1j [Y8 X9 Y10 Y11],[],0.010699026053853564
7,7,-98.60278531062903,6.951529442744686e-06,0.0005162833454335214,90,42.0,63,28,21,1j [Y0 X1 Y10 Y11],[],0.0003606498357024012
8,8,-98.60282258584255,3.727521351493124e-05,0.00047900813191859015,19,48.0,72,28,21,1j [Y2 X3 Y4 Y5],[],-0.002393781023113567
9,9,-98.60285551603606,3.2930193512470396e-05,0.00044607793840611976,23,54.0,81,28,21,1j [Y4 X5 Y8 Y9],[],0.0004903457363271546
10,10,-98.60288784612766,3.2330091599419575e-05,0.0004137478468067002,133,60.0,90,28,21,1j [X4 Y5 Y6 Y7],[],0.00236417959417665
11,11,-98.6028934318293,5.5857016434401885e-06,0.00040816214516326,24,66.0,99,32,24,1j [Y1 Y2 Y10 X11],[],-0.0004709819297000538
12,12,-98.6028989878473,5.55601799590022e-06,0.0004026061271673598,59,72.0,108,36,27,1j [Y0 X3 Y10 Y11],[],-0.0004717601248398741
13,13,-98.60305875118046,0.00015976333315848024,0.00024284279400887954,27,74.0,113,36,30,1j [Y5 X11],[],0.016102206352404332
14,14,-98.60320677619399,0.00014802501353017306,9.481778047870648e-05,156,76.0,118,38,30,1j [X4 Y10],[],0.016231364234255037
15,15,-98.60323560975456,2.883356057736819e-05,6.598421990133829e-05,79,78.0,123,38,30,1j [X2 Y4],[],0.00379808935520154
16,16,-98.6032636386287,2.802887414077304e-05,3.795534576056525e-05,35,80.0,128,38,30,1j [X3 Y5],[],-0.0036975197201436416
17,17,-98.60327774589636,1.4107267659824174e-05,2.3848078100741077e-05,77,82.0,133,38,33,1j [X3 Y11],[],-0.0030879695377827947
18,18,-98.6032799074472,2.1615508387640148e-06,2.1686527261977062e-05,27,88.0,142,38,33,1j [Y3 Y4 Y6 X7],[],0.000538347092726951
