,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-98.59606732551549,0.025095693621977944,0.007234268458887527,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.13827012218960183
1,2,-98.60010648674997,0.004039161234473454,0.0031951072244140732,10,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 11]","[[2, 5], [10, 11]]",0.030296661070461268
2,2,-98.60010648674997,0.004039161234473454,0.0031951072244140732,10,39.0,99,17,21,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",-0.030236608928805638
3,3,-98.60216418382689,0.002057697076921272,0.0011374101474928011,14,52.0,132,22,27,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.1753459568119287
4,4,-98.60257200133887,0.0004078175119843763,0.0007295926355084248,18,65.0,165,33,38,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.1301620849414093
5,5,-98.60295317479928,0.0003811734604113326,0.0003484191750970922,19,78.0,198,33,38,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.01780230073213331
6,6,-98.60326148358936,0.0003083087900819237,4.0110385015168504e-05,26,84.0,212,36,42,s_q_exc_5_11,"[[5], [11]]",0.01611097049705586
7,6,-98.60326148358936,0.0003083087900819237,4.0110385015168504e-05,26,84.0,212,36,42,s_q_exc_4_10,"[[4], [10]]",-0.016252163610842526
8,7,-98.60328168659736,2.020300799188135e-05,1.9907377023287154e-05,26,90.0,226,36,42,s_q_exc_3_11,"[[3], [11]]",0.003126915351460192
9,7,-98.60328168659736,2.020300799188135e-05,1.9907377023287154e-05,26,90.0,226,36,42,s_q_exc_2_10,"[[2], [10]]",-0.0021698280168792614
10,8,-98.60328871908693,7.032489577341039e-06,1.2874887445946115e-05,71,103.0,259,41,48,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.002695517646493979
11,9,-98.60330119105384,1.2471966911675736e-05,4.02920534270379e-07,25,129.0,325,41,48,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.0005528776278983772
12,9,-98.60330119105384,1.2471966911675736e-05,4.02920534270379e-07,25,129.0,325,41,48,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0005529221070216345
13,10,-98.60330153597369,3.449198402449838e-07,5.8000694025395205e-08,19,135.0,339,44,51,s_q_exc_1_5,"[[1], [5]]",0.002371837890450625
14,10,-98.60330153597369,3.449198402449838e-07,5.8000694025395205e-08,19,135.0,339,44,51,s_q_exc_0_4,"[[0], [4]]",0.0023700285009725717
15,11,-98.60330159397448,5.800079350137821e-08,-9.947598300641403e-14,49,161.0,405,50,61,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",0.0004036471068504896
16,11,-98.60330159397448,5.800079350137821e-08,-9.947598300641403e-14,49,161.0,405,50,61,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.00024078281960944475
17,12,-98.60330159397456,8.526512829121202e-14,-1.8474111129762605e-13,65,174.0,438,51,61,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-7.193498998731692e-08
