,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-98.59606732359657,0.025095691703100442,0.007234270378006613,9,6.0,9,4,3,1j [X4 X5 X10 Y11],[],0.13426161514213925
2,2,-98.59776963509894,0.001702311502370435,0.005531958875636178,13,12.0,18,8,6,1j [X2 X3 X10 Y11],[],0.021825474236762857
3,3,-98.60002675143569,0.0022571163367501867,0.0032748425388859914,17,18.0,27,12,9,1j [Y3 Y4 X10 Y11],[],-0.027884412140060485
4,4,-98.6020548292149,0.0020280777792009985,0.001246764759684993,26,24.0,36,16,12,1j [Y2 Y5 X10 Y11],[],0.029845627456087827
5,5,-98.60242825019041,0.00037342097552084397,0.0008733437841641489,31,30.0,45,20,15,1j [X8 Y9 X10 X11],[],-0.014074161186483792
6,6,-98.60277816198285,0.00034991179244059367,0.0005234319917235553,36,36.0,54,24,18,1j [X6 Y7 X10 X11],[],-0.014343909419328508
7,7,-98.60278499106542,6.829082565218414e-06,0.0005166029091583368,25,42.0,63,28,21,1j [X0 Y1 X10 X11],[],-0.0022851249832939835
8,8,-98.60279066215713,5.6710917135660566e-06,0.0005109318174447708,28,48.0,72,32,24,1j [Y1 Y2 X10 Y11],[],-0.0005273530206359583
9,9,-98.60279629991274,5.637755606358041e-06,0.0005052940618384127,31,54.0,81,36,27,1j [X0 X3 X10 Y11],[],-0.0002885752368979918
10,10,-98.60293763036692,0.00014133045418418533,0.0003639636076542274,45,56.0,86,36,30,1j [Y5 X11],1j [Y5 X11],0.015907989276399453
11,11,-98.60308710108961,0.00014947072268967077,0.00021449288496455665,97,58.0,91,38,30,1j [X4 Y10],1j [X4 Y10],0.015162383105130652
12,12,-98.60310041448906,1.3313399449543795e-05,0.00020117948551501286,66,64.0,100,42,33,1j [X3 X4 X10 Y11],[],0.0023700286352507207
13,13,-98.60310150761167,1.093122605766439e-06,0.00020008636290924642,43,70.0,109,46,36,1j [Y2 X3 X10 X11],[],-0.003953879374549736
14,14,-98.60310349110222,1.983490548695954e-06,0.00019810287236055046,46,76.0,118,50,39,1j [Y0 X1 Y10 Y11],[],-0.0069484997869681125
15,15,-98.60310582944338,2.3383411615895966e-06,0.00019576453119896087,49,78.0,123,50,42,1j [X3 Y11],1j [X3 Y11],-0.002926620959529104
16,16,-98.60310929263552,3.463192143726701e-06,0.00019230133905523417,52,84.0,132,54,45,1j [Y0 X1 X10 X11],[],-0.0014025692258998646
17,17,-98.60311123775111,1.945115585044732e-06,0.00019035622347018943,55,90.0,141,58,48,1j [X6 X7 X10 Y11],[],0.0035884677393841495
18,18,-98.60311582484609,4.587094977637207e-06,0.00018576912849255223,58,96.0,150,62,51,1j [Y0 X1 X10 X11],[],-0.0012423871266326817
19,19,-98.60311799537229,2.1705262014393156e-06,0.0001835986022911129,61,102.0,159,66,54,1j [X8 X9 X10 Y11],[],0.0025855874405076654
20,20,-98.60312366917212,5.6737998335165685e-06,0.00017792480245759634,64,108.0,168,70,57,1j [Y0 X1 X10 X11],[],-0.0011256977618896485
21,21,-98.6031262905581,2.6213859740664702e-06,0.00017530341648352987,67,114.0,177,74,60,1j [X8 X9 X10 Y11],[],0.002287150460279526
22,22,-98.60313301027745,6.719719351622189e-06,0.00016858369713190768,70,120.0,186,78,63,1j [Y0 X1 X10 X11],[],-0.0010232665979925718
23,23,-98.60313789199411,4.88171666290782e-06,0.00016370198046899986,73,122.0,191,80,63,1j [Y2 X10],1j [Y2 X10],-0.002202037967015096
24,24,-98.60314896461499,1.1072620878849193e-05,0.00015262935959015067,126,128.0,200,84,66,1j [Y0 X1 X10 X11],[],-0.000878544310040993
25,25,-98.6031491303631,1.6574810501879256e-07,0.00015246361148513188,105,134.0,209,88,69,1j [X2 X3 Y10 X11],[],-0.0018578534934204742
26,26,-98.6031500865256,9.561625091691894e-07,0.0001515074489759627,82,140.0,218,92,72,1j [X2 X3 Y10 X11],[],-0.0018521291289521583
27,27,-98.6031548221752,4.735649596909752e-06,0.00014677179937905294,85,146.0,227,96,75,1j [Y0 X1 X10 X11],[],-0.0008437725290095448
28,28,-98.60315697541714,2.1532419367531475e-06,0.0001446185574422998,88,152.0,236,100,78,1j [Y2 X3 X10 X11],[],-0.00228397956053128
29,29,-98.60316498052585,8.005108711017783e-06,0.000136613448731282,91,158.0,245,104,81,1j [Y0 X1 X10 X11],[],-0.0007605756518652732
30,30,-98.60317325624412,8.275718272443555e-06,0.00012833773045883845,94,164.0,254,108,84,1j [Y0 X1 X10 X11],[],-0.0007965387658751556
31,31,-98.60318227121452,9.014970402176914e-06,0.00011932276005666154,97,170.0,263,112,87,1j [X0 Y1 Y10 Y11],[],-0.0031256741422379555
32,32,-98.60318233296371,6.174919064960704e-08,0.00011926101086601193,133,176.0,272,116,90,1j [X8 Y9 Y10 Y11],[],-0.001412307655423636
33,33,-98.60320405066575,2.1717702040291442e-05,9.754330882572049e-05,171,182.0,281,120,93,1j [X8 Y9 Y10 Y11],[],-0.0014086688152769662
34,34,-98.60320642591458,2.3752488260697646e-06,9.516805999965072e-05,106,188.0,290,124,96,1j [Y0 X3 X10 X11],[],-1.05573087889555e-05
35,35,-98.60320750712387,1.0812092909873172e-06,9.40868507086634e-05,109,194.0,299,128,99,1j [Y0 X3 Y10 Y11],[],-0.00015561518846852739
36,36,-98.60320915952052,1.6523966479553565e-06,9.243445406070805e-05,112,200.0,308,132,102,1j [Y0 X1 X10 X11],[],-4.0561331134663635e-05
37,37,-98.60320947771923,3.181987153766386e-07,9.211625534533141e-05,115,206.0,317,136,105,1j [Y0 X3 Y10 Y11],[],-0.00010358447855204469
38,38,-98.6032105322692,1.0545499691261284e-06,9.106170537620528e-05,118,212.0,326,140,108,1j [Y0 X1 X10 X11],[],-3.6919782880008085e-05
39,39,-98.60321068996087,1.5769167305279552e-07,9.090401370315249e-05,161,218.0,335,144,111,1j [X8 X9 X10 Y11],[],0.00018695551965280786
40,40,-98.60321119093126,5.009703869518489e-07,9.040304331620064e-05,124,224.0,344,148,114,1j [X8 X9 X10 Y11],[],0.0001830268241715444
41,41,-98.60321376553836,2.574607094629755e-06,8.782843622157088e-05,127,230.0,353,152,117,1j [Y0 X1 X10 X11],[],-8.948164910896596e-06
42,42,-98.60321414372137,3.7818301734660054e-07,8.745025320422428e-05,130,236.0,362,156,120,1j [X0 Y3 Y10 Y11],[],4.5795616225559036e-06
43,43,-98.60321533662125,1.19289987310367e-06,8.625735333112061e-05,133,242.0,371,160,123,1j [Y0 X1 X10 X11],[],-6.637712334109807e-06
44,44,-98.60321540673478,7.011352920471836e-08,8.61872398019159e-05,181,248.0,380,164,126,1j [X8 X9 X10 Y11],[],5.897546652222569e-05
45,45,-98.60321613500389,7.28269114347313e-07,8.545897068756858e-05,139,254.0,389,168,129,1j [Y0 X1 X10 X11],[],-1.0737023647007665e-05
46,46,-98.60321709571367,9.60709783726088e-07,8.449826090384249e-05,142,260.0,398,172,132,1j [Y0 Y1 X10 Y11],[],-1.2060817823499361e-05
