,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.744257957956817,0.033428057898082564,0.05458520149836321,7,13.0,33,11,11,"spin_d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.08529707395639377
2,2,-7.748942187176431,0.004684229219614089,0.04990097227874912,8,26.0,66,22,22,"spin_d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.1247938703247594
3,3,-7.774123002934263,0.02518081575783171,0.024720156520917413,11,52.0,132,39,43,"spin_d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.25982616217766835
4,4,-7.793054039678708,0.018931036744445073,0.00578911977647234,12,78.0,198,56,64,"spin_d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.24577573759933088
5,5,-7.793112902385603,5.886270689536843e-05,0.005730257069576972,73,91.0,231,56,64,"spin_d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",5.5185388887425315e-05
6,6,-7.793130037816166,1.7135430562476017e-05,0.005713121639014496,57,104.0,264,56,64,"spin_d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0009629486060981838
7,7,-7.793147068844323,1.7031028157532546e-05,0.005696090610856963,16,117.0,297,56,64,"spin_d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0009629272015578218
8,8,-7.7945519454177425,0.0014048765734191448,0.004291214037437818,20,123.0,311,59,68,spin_s_q_exc_5_3,"[[3], [5]]",0.28641164887440657
9,9,-7.794611420938772,5.9475521029028755e-05,0.0042317385164087895,21,136.0,344,70,79,"spin_d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.0061012218838855815
10,10,-7.797813788649585,0.003202367710813725,0.0010293708055950646,25,142.0,358,73,83,spin_s_q_exc_4_2,"[[2], [4]]",-0.261133631679825
11,11,-7.797821868605507,8.079955922113413e-06,0.0010212908496729511,23,155.0,391,73,83,"spin_d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0011289571512899145
12,12,-7.797895465900332,7.359729482470101e-05,0.0009476935548482501,30,168.0,424,84,94,"spin_d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.006183458354657223
13,13,-7.797932150674235,3.6684773903061796e-05,0.0009110087809451883,26,194.0,490,90,104,"spin_d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.005508707961883417
14,14,-7.797968385593795,3.623491955995206e-05,0.0008747738613852363,29,220.0,556,96,114,"spin_d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.005509159259512737
15,15,-7.797994972055783,2.658646198749892e-05,0.0008481873993977374,79,246.0,622,102,124,"spin_d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.00842936800005784
16,16,-7.798017158805514,2.218674973164525e-05,0.0008260006496660921,32,272.0,688,108,134,"spin_d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.005079078128884781
17,17,-7.798039049035664,2.1890230149423928e-05,0.0008041104195166682,33,298.0,754,114,144,"spin_d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.005078998761258438
18,18,-7.79870258774695,0.0006635387112865487,0.00014057170823011944,76,304.0,768,117,148,spin_s_q_exc_10_2,"[[2], [10]]",0.12557092267214548
19,19,-7.798725685266688,2.309751973772478e-05,0.00011747418849239466,35,330.0,834,123,158,"spin_d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0035341161743093173
20,20,-7.7987374640910705,1.1778824382524533e-05,0.00010569536410987013,125,356.0,900,129,168,"spin_d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.0027552582769277438
21,21,-7.7987470992090655,9.63511799501049e-06,9.606024611485964e-05,69,382.0,966,135,178,"spin_d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.00022697957911155746
22,22,-7.798755698695745,8.599486679194968e-06,8.746075943566467e-05,77,408.0,1032,143,188,"spin_d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.003092072632180385
23,23,-7.798762861013174,7.162317428921483e-06,8.029844200674319e-05,75,414.0,1046,146,188,spin_s_q_exc_10_0,"[[0], [10]]",0.001485349011208343
24,24,-7.798771613239975,8.752226801078677e-06,7.154621520566451e-05,37,440.0,1112,157,198,"spin_d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.0024512596999785
25,25,-7.798776984738983,5.371499008255398e-06,6.617471619740911e-05,117,446.0,1126,160,198,spin_s_q_exc_11_1,"[[1], [11]]",-0.0014969723638475773
26,26,-7.798791978196649,1.4993457665646304e-05,5.118125853176281e-05,102,472.0,1192,171,198,"spin_d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.0066925403659076075
27,27,-7.798806770034146,1.479183749708568e-05,3.638942103467713e-05,116,498.0,1258,182,198,"spin_d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.006692539548074657
28,28,-7.798807457514466,6.874803206713409e-07,3.5701940714005787e-05,43,524.0,1324,199,205,"spin_d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.0006474251115871838
29,29,-7.798809272218998,1.8147045315330956e-06,3.388723618247269e-05,114,550.0,1390,210,216,"spin_d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0008632040899477273
30,30,-7.798810806364,1.5341450021466585e-06,3.235309118032603e-05,81,576.0,1456,221,227,"spin_d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.00907807077758594
31,31,-7.798812029718118,1.2233541175632467e-06,3.1129737062762786e-05,83,582.0,1470,224,231,spin_s_q_exc_5_1,"[[1], [5]]",-0.00010237127293558461
32,32,-7.798812504589259,4.748711415203388e-07,3.065486592124245e-05,78,608.0,1536,241,252,"spin_d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",0.0008473730986516265
33,33,-7.798813564572637,1.059983377516005e-06,2.9594882543726442e-05,98,634.0,1602,252,263,"spin_d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.0007550988556207488
34,34,-7.79882011760159,6.5530289532489405e-06,2.30418535904775e-05,45,660.0,1668,263,274,"spin_d_q_exc_[0, 11]_[7, 6]","[[0, 11], [7, 6]]",0.00626887588626869
35,35,-7.798826638564891,6.5209633008933565e-06,1.6520890289584145e-05,103,686.0,1734,274,285,"spin_d_q_exc_[0, 11]_[9, 8]","[[0, 11], [9, 8]]",0.0062689103848448625
36,36,-7.798829800048537,3.1614836464299856e-06,1.335940664315416e-05,46,712.0,1800,285,296,"spin_d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.0031970194436422234
37,37,-7.79883292913121,3.129082672970185e-06,1.0230323970183974e-05,64,738.0,1866,296,307,"spin_d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.003196966350325755
38,38,-7.79883348875739,5.596261800633329e-07,9.670697790120641e-06,83,764.0,1932,307,318,"spin_d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.001073935175733197
39,39,-7.798836666447655,3.1776902646996064e-06,6.493007525421035e-06,82,790.0,1998,318,329,"spin_d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.00447098795647606
40,40,-7.798839200316493,2.533868838305864e-06,3.959138687115171e-06,85,816.0,2064,329,340,"spin_d_q_exc_[0, 11]_[10, 5]","[[0, 11], [10, 5]]",0.004490308156780451
41,41,-7.798841074356407,1.8740399134742347e-06,2.0850987736409365e-06,157,842.0,2130,340,351,"spin_d_q_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",-0.0017650278946338784
42,42,-7.7988416784603585,6.041039517512559e-07,1.4809948218896807e-06,107,868.0,2196,351,362,"spin_d_q_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",0.0017236689951639118
43,43,-7.79884227557141,5.971110512703603e-07,8.838837706193203e-07,78,894.0,2262,362,373,"spin_d_q_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",0.0017233893789979113
44,44,-7.798842424083637,1.4851222740475123e-07,7.353715432145691e-07,46,920.0,2328,379,394,"spin_d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.00015165010941127727
45,45,-7.798842514112563,9.00289256478004e-08,6.453426175667687e-07,46,946.0,2394,396,415,"spin_d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.00024549697743860363
46,46,-7.798842788622425,2.745098619527653e-07,3.708327556140034e-07,103,952.0,2408,396,415,spin_s_q_exc_11_3,"[[3], [11]]",-0.0014870663947067386
47,47,-7.798842807309088,1.868666288373788e-08,3.5214609273026554e-07,102,958.0,2422,399,419,spin_s_q_exc_4_0,"[[0], [4]]",0.00015443727395758085
48,48,-7.798842999164541,1.9185545330202558e-07,1.6029063942823996e-07,89,984.0,2488,410,430,"spin_d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-0.0011430103684333802
49,49,-7.7988430644679205,6.530337959276267e-08,9.498725983547729e-08,102,997.0,2521,421,441,"spin_d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.002031484966362452
