,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.851587165689306,0.02068158115355523,0.009500606721794647,6,48.0,72,32,24,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1540154291373898
2,2,-7.8549802619164195,0.003393096227113368,0.006107510494681279,53,192.0,144,64,48,"spin_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.09249923929461182
3,3,-7.85802061408364,0.003040352167220206,0.0030671583274610725,9,304.0,216,96,48,"spin_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.09275822615513005
4,4,-7.8593887511407186,0.0013681370570788332,0.0016990212703822394,10,352.0,288,128,64,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.06425760670734357
5,5,-7.859473743827649,8.499268693018536e-05,0.001614028583452054,9,400.0,360,128,64,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.004055858794447281
6,6,-7.859776335185768,0.0003025913581193862,0.0013114372253326678,34,448.0,432,160,80,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.022882708699386894
7,7,-7.8600677394088985,0.00029140422313034264,0.0010200330022023252,12,496.0,504,192,96,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.022888793674281926
8,8,-7.860084250327894,1.6510918995571444e-05,0.0010035220832067537,60,544.0,576,192,96,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0018822960905947458
9,9,-7.860100649370022,1.6399042127801522e-05,0.0009871230410789522,13,592.0,648,192,96,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001882101289347505
10,10,-7.860112757451693,1.210808167151356e-05,0.0009750149594074387,55,640.0,720,192,96,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0019412430977954124
11,11,-7.860531664409216,0.00041890695752222484,0.0005561080018852138,39,648.0,730,200,100,spin_s_f_exc_5_3,"[[3], [5]]",-0.05738940362970624
