,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119620709842,0.013985932025567749,0.00564222803603176,8,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.11031118679938547
2,2,-7.878914929345969,0.0017953086361268689,0.003846919399904891,12,34.0,68,24,22,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.05682215953178146
3,3,-7.880581498306204,0.001666568960234649,0.0021803504396702422,16,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.05699059246065879
4,4,-7.881164242269649,0.0005827439634451537,0.0015976064762250886,20,72.0,136,48,44,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.027928303047307725
5,5,-7.881719754412156,0.000555512142507375,0.0010420943337177135,24,85.0,169,59,55,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.027939160645434086
6,6,-7.882133578952734,0.00041382454057803386,0.0006282697931396797,28,98.0,202,70,66,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.03398221725421912
7,7,-7.882336952449543,0.00020337349680854544,0.00042489629633113424,48,103.0,213,75,74,eff_s_f_exc_4_2,"[2, 4]",-0.03656783735335932
8,8,-7.882501278159387,0.00016432570984381556,0.0002605705864873187,63,108.0,224,75,74,eff_s_f_exc_5_3,"[3, 5]",-0.035706829742583816
9,9,-7.88257862443235,7.734627296329677e-05,0.0001832243135240219,40,121.0,257,75,74,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0037515340846632312
10,10,-7.8826039997962605,2.53753639105625e-05,0.0001578489496134594,55,138.0,268,75,76,eff_s_f_exc_11_3,"[3, 11]",0.004973377376114764
11,11,-7.882625805206296,2.180541003582448e-05,0.00013604353957763493,60,151.0,301,81,84,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0030478144411962317
12,12,-7.8826473073371535,2.1502130857165014e-05,0.00011454140872046992,52,164.0,334,87,94,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003047798364546043
13,13,-7.882668457382692,2.1150045538931295e-05,9.339136318153862e-05,56,181.0,369,91,96,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0031413415012795697
14,14,-7.882689288607281,2.0831224588846453e-05,7.256013859269217e-05,60,198.0,404,95,98,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.003141355970186662
15,15,-7.882707364922964,1.8076315682513666e-05,5.44838229101785e-05,64,211.0,437,95,98,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0017676608083823852
16,16,-7.882725324265787,1.7959342823559155e-05,3.652448008661935e-05,68,224.0,470,95,98,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0017676630041261437
17,17,-7.8827347526304266,9.428364639241238e-06,2.709611544737811e-05,72,241.0,481,100,106,eff_s_f_exc_10_2,"[2, 10]",0.004682884927424864
18,18,-7.882740752208285,5.9995778585175685e-06,2.1096537588860542e-05,76,254.0,514,100,106,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0009156669903159278
19,19,-7.88274299475812,2.242549834718943e-06,1.88539877541416e-05,80,279.0,549,106,116,"eff_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.0009704420488373495
20,20,-7.882745153867193,2.15910907286343e-06,1.669487868127817e-05,84,304.0,584,110,116,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.0009603323742675214
21,21,-7.882746876939877,1.7230726845340882e-06,1.4971805996744081e-05,88,329.0,619,116,126,"eff_d_f_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.000847793123745804
22,22,-7.882748536642433,1.6597025558340306e-06,1.331210344091005e-05,92,354.0,654,118,126,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008402276126702542
23,23,-7.882749246284114,7.096416814178497e-07,1.26024617594922e-05,72,375.0,665,122,126,eff_s_f_exc_10_0,"[0, 10]",0.0005102914380943878
24,24,-7.882750262254229,1.015970114259801e-06,1.15864916452324e-05,100,396.0,676,124,126,eff_s_f_exc_11_1,"[1, 11]",0.0005100313418250353
25,25,-7.882750641223714,3.789694851263903e-07,1.120752216010601e-05,78,409.0,709,130,136,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0002679215586048018
26,26,-7.882750900177336,2.5895362210093253e-07,1.0948568538005077e-05,81,426.0,744,134,138,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.00036621822193136296
27,27,-7.8827510417530435,1.4157570760175986e-07,1.0806992830403317e-05,84,443.0,779,138,140,"eff_d_f_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.00025908637771574324
28,28,-7.8827510849016615,4.3148618011912276e-08,1.0763844212391405e-05,87,452.0,790,142,140,eff_s_f_exc_4_0,"[0, 4]",0.00018091048669778456
29,29,-7.882751280779156,1.9587749466865034e-07,1.0567966717722754e-05,90,465.0,823,148,150,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.00016891249018399372
30,30,-7.882751319043476,3.826431971276634e-08,1.0529702398009988e-05,93,486.0,858,148,150,"eff_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.00013907156448803197
31,31,-7.882751378202515,5.9159039444978134e-08,1.047054335856501e-05,96,495.0,869,150,150,eff_s_f_exc_5_1,"[1, 5]",0.00018354877489384043
32,32,-7.882751469446007,9.124349187317193e-08,1.0379299866691838e-05,132,524.0,904,158,150,"eff_d_f_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",7.242710379766173e-05
33,33,-7.882751495329579,2.5883571730389576e-08,1.0353416294961448e-05,102,549.0,939,171,159,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",3.372079377591456e-05
34,34,-7.882751543632908,4.8303329336363277e-08,1.0305112965625085e-05,105,570.0,974,171,160,"eff_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",9.84489884857276e-05
35,35,-7.882751565489258,2.1856349619042703e-08,1.0283256616006042e-05,108,595.0,1009,184,170,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",2.3675601255813264e-05
36,36,-7.882751565489279,2.1316282072803006e-14,1.028325659468976e-05,296,620.0,1044,197,181,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0
