,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119620507102,0.013985931822827702,0.005642228238800229,8,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11037909429639414
2,2,-7.878914974443716,0.001795353936613786,0.0038468743021864427,12,26.0,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057303521691878
3,3,-7.880581539610428,0.0016665651667118198,0.002180309135474623,16,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05678365393356975
4,4,-7.881164195722715,0.0005826561122876939,0.001597653023186929,20,52.0,132,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.02800940171425098
5,5,-7.881719720163549,0.0005555244408332882,0.0010421285823536408,24,65.0,165,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.028020254193798135
6,6,-7.882133546912941,0.00041382674939249853,0.0006283018329611423,28,78.0,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.031323153936767906
7,7,-7.882337575978834,0.0002040290658928967,0.00042427276706824557,48,81.0,205,69,70,s_q_exc_2_4,"[2, 4]",0.038684895139218134
8,8,-7.88252014078404,0.00018256480520584262,0.00024170796186240295,54,84.0,212,69,70,s_q_exc_3_5,"[3, 5]",-0.0381436371530241
9,9,-7.882597242471847,7.710168780672433e-05,0.00016460627405567863,170,97.0,245,69,70,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003853904782244433
10,10,-7.882619029424419,2.1786952572711016e-05,0.0001428193214829676,44,110.0,278,75,80,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.003150955764127832
11,11,-7.882640538423608,2.150899918884619e-05,0.00012131032229412142,60,123.0,311,75,80,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.003052819901479798
12,12,-7.8826617648543476,2.1226430739318403e-05,0.00010008389155480302,52,136.0,344,81,90,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.00315101410664376
13,13,-7.88268274693541,2.098208106282584e-05,7.910181049197718e-05,56,149.0,377,81,90,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0030528809076753
14,14,-7.882700809397331,1.8062461920820283e-05,6.103934857115689e-05,60,162.0,410,81,90,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0018664485910266971
15,15,-7.882718752925386,1.7943528054509272e-05,4.309582051664762e-05,64,175.0,443,81,90,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0018664517325216786
16,16,-7.882732934032291,1.4181106905652996e-05,2.8914713610994625e-05,68,178.0,450,84,94,s_q_exc_2_10,"[2, 10]",-0.005629882805325095
17,17,-7.882738748845633,5.8148133419422265e-06,2.3099900269052398e-05,72,191.0,483,84,94,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0010121663996102627
18,18,-7.882741269540284,2.5206946503431027e-06,2.0579205618709295e-05,76,204.0,516,90,104,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0009059677583809761
19,19,-7.882743618683332,2.3491430480859776e-06,1.8230062570623318e-05,80,217.0,549,90,104,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0009015554962968492
20,20,-7.882745525462842,1.9067795102856167e-06,1.63232830603377e-05,105,230.0,582,96,114,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0008761883257737113
21,21,-7.88274740595654,1.880493697647978e-06,1.4442789362689723e-05,88,233.0,589,96,114,s_q_exc_3_11,"[3, 11]",0.0017903615213058946
22,22,-7.882749256856347,1.8508998076427474e-06,1.2591889555046976e-05,92,246.0,622,96,114,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008736112166785651
23,23,-7.8827499283973825,6.715410352242657e-07,1.192034851982271e-05,72,249.0,629,96,114,s_q_exc_1_11,"[1, 11]",0.0005040578013879503
24,24,-7.882750869732659,9.413352763942839e-07,1.0979013243428426e-05,125,252.0,636,96,114,s_q_exc_0_10,"[0, 10]",-0.0005611638221213872
25,25,-7.8827511462619855,2.7652932654831375e-07,1.0702483916880112e-05,78,265.0,669,102,124,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0003704776174886838
26,26,-7.882751470529399,3.2426741380930935e-07,1.0378216503070803e-05,81,278.0,702,102,124,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.0002452475716895239
27,27,-7.882751558265813,8.773641368975404e-08,1.0290480089381049e-05,84,281.0,709,102,124,s_q_exc_1_5,"[1, 5]",0.0002583292562181245
