,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.877119623435897,0.01398593475160581,0,0.005642225310103832,35,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11035490456516019
1,2,-7.878915001650174,0.0017953782142772212,0,0.003846847095826611,5,26.0,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057223123552961185
2,3,-7.880581566203082,0.0016665645529077011,0,0.00218028254291891,7,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05726715933777262
3,4,-7.881164294635845,0.0005827284327626359,0,0.001597554110156274,9,52.0,132,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.027456714847348553
4,5,-7.88171977610426,0.0005554814684156639,0,0.00104207264174061,9,65.0,165,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.027472782801490236
5,6,-7.882133592810422,0.0004138167061613629,0,0.0006282559355792472,10,78.0,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.03147400770654998
6,7,-7.882337609897084,0.00020401708666195617,0,0.000424238848917291,52,81.0,205,69,70,s_q_exc_2_4,"[[2], [4]]",-0.03864580989633988
7,8,-7.882520162261171,0.00018255236408748488,0,0.00024168648482980615,13,84.0,212,69,70,s_q_exc_3_5,"[[3], [5]]",0.03953212022216842
8,9,-7.882597302358434,7.714009726278448e-05,0,0.00016454638756702167,13,97.0,245,69,70,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003891490579851724
9,10,-7.882619077995347,2.177563691319051e-05,0,0.00014277075065383116,17,110.0,278,75,80,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.003256674929174369
10,11,-7.882640586018524,2.150802317668621e-05,0,0.00012126272747714495,15,123.0,311,75,80,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0031721693579371745
11,12,-7.882661824999682,2.123898115780065e-05,0,0.0001000237463193443,19,136.0,344,81,90,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.003256019839296272
12,13,-7.882682802659589,2.0977659907828183e-05,0,7.904608641151611e-05,65,149.0,377,81,90,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0031722733221499853
