,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.737007162912969,0.026177262854227834,0.06183599654225436,6,256.0,144,64,32,"spin_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.232179261150868
2,2,-7.775439354216627,0.03843219130365849,0.023403805238595865,84,304.0,216,96,48,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1881873365656272
3,3,-7.793048793160608,0.017609438943980926,0.005794366294614939,80,352.0,288,128,64,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.3471256566969051
4,4,-7.7961178976351135,0.0030691044745054796,0.002725261820109459,82,368.0,308,140,68,spin_s_f_exc_5_3,"[[3], [5]]",-0.147119177051963
5,5,-7.798356788385047,0.002238890749933553,0.0004863710701759061,51,432.0,328,152,72,spin_s_f_exc_11_3,"[[3], [11]]",0.07413377545795323
6,6,-7.798404624823527,4.78364384797203e-05,0.0004385346316961858,53,560.0,472,184,88,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003556355284041968
7,7,-7.798451794884883,4.7170061356460735e-05,0.00039136457033972505,70,688.0,616,216,104,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003555873241352819
8,8,-7.798478686822991,2.689193810745394e-05,0.0003644726322322711,65,736.0,688,216,104,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0028047478971104296
9,9,-7.7984981493605625,1.9462537571790506e-05,0.0003450100946604806,66,784.0,760,216,104,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0019245842684005963
10,10,-7.798517491919105,1.934255854241229e-05,0.0003256675361180683,90,832.0,832,216,104,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001924709400987092
11,11,-7.798539092555332,2.160063622724806e-05,0.00030406689989082025,76,912.0,852,232,104,spin_s_f_exc_11_1,"[[1], [11]]",0.0015197107950284349
12,12,-7.798561963029237,2.2870473904923472e-05,0.0002811964259858968,94,1200.0,996,280,120,"spin_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0012478530758582471
13,13,-7.7985807014633926,1.8738434155451955e-05,0.0002624579918304448,73,1488.0,1140,344,136,"spin_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.0003015245207685772
14,14,-7.798594158019909,1.3456556516189266e-05,0.00024900143531425556,45,1616.0,1284,408,156,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0014314828184844133
15,15,-7.798604530242529,1.0372222620347316e-05,0.00023862921269390824,42,1664.0,1356,408,180,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.002530947317665693
16,16,-7.7986743827660945,6.985252356539462e-05,0.00016877668912851362,39,1712.0,1428,424,180,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.012347777957475334
17,17,-7.798742453050981,6.807028488609035e-05,0.00010070640424242328,115,1760.0,1500,440,184,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.012348719629561543
18,18,-7.798772588550202,3.0135499221373152e-05,7.057090502105012e-05,63,1952.0,1644,504,184,"spin_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.004213168301661952
19,19,-7.798802337215435,2.9748665233420013e-05,4.082223978763011e-05,99,2144.0,1788,568,184,"spin_d_f_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",0.004211405911228784
20,20,-7.798803049511481,7.122960452576876e-07,4.010994374237242e-05,36,2400.0,1932,568,212,"spin_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-4.696381015796912e-05
21,21,-7.798826067801711,2.3018290230325533e-05,1.709165351204689e-05,98,2592.0,2076,632,252,"spin_d_f_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",0.0007374274559839836
22,22,-7.798828109776922,2.041975211142244e-06,1.5049678300904645e-05,51,2880.0,2220,696,276,"spin_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008531369828120471
23,23,-7.798829834915017,1.7251380945992878e-06,1.3324540206305358e-05,93,3008.0,2364,760,276,"spin_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",3.541079314819725e-05
24,24,-7.798836393638954,6.558723937288846e-06,6.765816269016511e-06,41,3200.0,2508,824,324,"spin_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.0036902666904681594
25,25,-7.798842861685421,6.468046467311694e-06,2.9776980170481693e-07,110,3248.0,2580,824,348,"spin_d_f_exc_[4, 11]_[10, 5]","[[4, 11], [10, 5]]",0.012862235108776793
26,26,-7.798842923449828,6.176440692229335e-08,2.3600539478252358e-07,70,3280.0,2600,840,348,spin_s_f_exc_5_1,"[[1], [5]]",0.00013361111654039298
27,27,-7.798842995140741,7.169091276182371e-08,1.6431448202069987e-07,145,3600.0,2744,872,372,"spin_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.002456423279461929
28,28,-7.7988430614180215,6.627728055264015e-08,9.803720146805972e-08,63,3648.0,2816,904,372,"spin_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.004083546176736203
29,29,-7.798843065834028,4.416006227359048e-09,9.362119524070067e-08,80,3776.0,2960,936,372,"spin_d_f_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.00256832277548076
30,30,-7.798843082231233,1.639720537127687e-08,7.72239898694238e-08,60,4064.0,3104,1000,396,"spin_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.001524490933983363
31,31,-7.798843111193404,2.8962170439683632e-08,4.826181942974017e-08,74,4112.0,3176,1016,420,"spin_d_f_exc_[2, 11]_[10, 3]","[[2, 11], [10, 3]]",-0.010541220987773471
32,32,-7.798843125829534,1.4636130529765978e-08,3.362568889997419e-08,109,4400.0,3320,1080,444,"spin_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.004520861416730164
33,33,-7.798843132612174,6.782640227243064e-09,2.684304867273113e-08,139,4720.0,3464,1144,468,"spin_d_f_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.002827114389710825
34,34,-7.798843139899351,7.287177083981078e-09,1.955587158875005e-08,90,5040.0,3608,1208,492,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.002824921884352868
35,35,-7.798843141107411,1.2080594302688041e-09,1.8347812158481247e-08,137,5296.0,3752,1208,516,"spin_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.00046084711419294976
36,36,-7.798843142265558,1.158147355795336e-09,1.718966480268591e-08,103,5344.0,3824,1224,516,"spin_d_f_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",0.0014410307939829745
37,37,-7.798843144980266,2.714707569850816e-09,1.4474957232835095e-08,104,5632.0,3968,1288,540,"spin_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.005282095043122806
38,38,-7.798843152628939,7.648672806226386e-09,6.826284426608709e-09,147,5952.0,4112,1352,564,"spin_d_f_exc_[1, 10]_[5, 4]","[[1, 10], [5, 4]]",-0.014650986683740971
39,39,-7.798843154544913,1.9159740460850117e-09,4.910310380523697e-09,164,6272.0,4256,1416,588,"spin_d_f_exc_[1, 2]_[3, 10]","[[1, 2], [3, 10]]",0.005460180769350488
40,40,-7.798843157339927,2.7950139980248423e-09,2.1152963824988547e-09,139,6400.0,4400,1480,636,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.003431433004720642
41,41,-7.798843158177903,8.379767990618348e-10,1.27731958343702e-09,117,6448.0,4472,1480,660,"spin_d_f_exc_[0, 11]_[10, 1]","[[0, 11], [10, 1]]",0.003952212081415941
42,42,-7.798843158177909,5.329070518200751e-15,1.2773142543665017e-09,70,6528.0,4492,1496,666,spin_s_f_exc_11_1,"[[1], [11]]",8.013115598627632e-09
