,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119620709842,0.013985932025567749,0.005642228036060182,9,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1103508964251884
2,2,-7.878914926280911,0.0017953055710684396,0.003846922464991742,13,38.0,68,24,22,"eff_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.05649142326310888
3,3,-7.880581501812769,0.0016665755318587827,0.0021803469331329595,17,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.05705930245140817
4,4,-7.880668662103995,8.716029122535218e-05,0.0020931866419076073,21,72.0,136,37,33,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0037282022259881096
5,5,-7.881251327064196,0.0005826649602012068,0.0015105216817064004,25,85.0,169,48,44,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.027907254578726642
6,6,-7.881806909476601,0.0005555824124048314,0.000954939269301569,43,98.0,202,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.02791810449670743
7,7,-7.882217742544931,0.0004108330683303407,0.0005441062009712283,49,111.0,235,70,66,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.033805662850007225
8,8,-7.882233835305669,1.609276073821775e-05,0.0005280134402330106,37,124.0,268,70,66,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.001770569988314524
9,9,-7.882249775848505,1.5940542835934934e-05,0.0005120728973970756,41,137.0,301,70,66,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0017705727955245254
10,10,-7.882270555241462,2.0779392956526976e-05,0.0004912935044405486,45,154.0,336,74,70,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.003151533489869607
11,11,-7.882291283445158,2.0728203696585012e-05,0.00047056530074396363,61,167.0,369,80,78,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0030373516729740825
12,12,-7.882311530948893,2.0247503734971417e-05,0.0004503177970089922,66,180.0,402,86,88,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0030374124981698246
13,13,-7.882331781530933,2.0250582039693654e-05,0.00043006721496929856,57,197.0,437,90,90,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0031515911613769756
14,14,-7.882337563093435,5.7815625016388594e-06,0.0004242856524676597,256,210.0,470,90,90,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0004034139959079861
15,15,-7.882540763212022,0.00020320011858743214,0.00022108553388022756,145,215.0,481,90,90,eff_s_f_exc_5_3,"[3, 5]",-0.036809280036914284
16,16,-7.8827040488195275,0.00016328560750533683,5.779992637489073e-05,120,220.0,492,95,98,eff_s_f_exc_4_2,"[2, 4]",-0.03443289963733099
17,17,-7.882730914648074,2.6865828546718262e-05,3.093409782817247e-05,109,237.0,503,100,106,eff_s_f_exc_10_2,"[2, 10]",0.005419154846201064
18,18,-7.8827331434680055,2.228819931282544e-06,2.8705277896889925e-05,96,262.0,538,104,106,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.0009811856243848022
19,19,-7.88273522795992,2.084491914189357e-06,2.6620785982700568e-05,81,287.0,573,110,116,"eff_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.0009609357747099735
20,20,-7.882735842878952,6.149190321380615e-07,2.6005866950562506e-05,43,304.0,584,110,116,eff_s_f_exc_11_3,"[3, 11]",0.004174409626410212
21,21,-7.88274370378165,7.860902698553218e-06,1.8144964252009288e-05,111,317.0,617,110,116,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0004945337627532705
22,22,-7.8827458739842795,2.1702026291592347e-06,1.5974761622850053e-05,116,342.0,652,112,116,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008488260613538217
23,23,-7.882747854805463,1.9808211835226075e-06,1.3993940439327446e-05,97,367.0,687,118,126,"eff_d_f_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0008360757484515387
24,24,-7.882748260074143,4.0526867994827853e-07,1.3588671759379167e-05,76,388.0,698,120,126,eff_s_f_exc_11_1,"[1, 11]",0.0005098337710554144
25,25,-7.882749634322275,1.3742481321799005e-06,1.2214423627199267e-05,105,409.0,709,124,126,eff_s_f_exc_10_0,"[0, 10]",0.0005011433382327518
26,26,-7.882749879197351,2.448750757721996e-07,1.1969548551427067e-05,82,426.0,744,128,128,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.00036577723457832304
27,27,-7.882750285811646,4.0661429512311997e-07,1.1562934256303947e-05,85,439.0,777,134,138,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.00020009837812881413
28,28,-7.882750364927029,7.91153826895652e-08,1.1483818873614382e-05,88,452.0,810,140,148,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",7.047472913623543e-05
29,29,-7.8827505357178556,1.70790826814482e-07,1.13130280467999e-05,91,477.0,845,140,148,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",4.5378321568060996e-05
30,30,-7.882750553723405,1.8005549051736125e-08,1.1295022497748164e-05,94,498.0,880,151,148,"eff_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.0001336888479931967
31,31,-7.882750601299973,4.757656846265945e-08,1.1247445929285504e-05,97,511.0,913,162,154,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-7.865842180705599e-07
32,32,-7.882750602813423,1.5134498099200755e-09,1.1245932479475584e-05,100,520.0,924,167,159,eff_s_f_exc_4_0,"[0, 4]",3.542630390798422e-05
