,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435883,0.013985934751608475,0.0056422253100159026,21,6.0,9,4,3,1j [X2 X3 X10 Y11],[],0.07814088807204089
2,2,-7.878887998607639,0.001768375171756098,0.0038738501382598045,344,12.0,18,8,6,1j [X2 X3 X4 Y11],[],0.05691982838947924
3,3,-7.880525932752594,0.0016379341449548335,0.002235915993304971,61,18.0,27,12,6,1j [X2 Y3 X5 X10],[],0.0566812052924103
4,4,-7.880612764382957,8.683163036327102e-05,0.0021490843629417,73,24.0,36,12,6,1j [X0 Y1 X4 X5],[],-0.003788302433120837
5,5,-7.881177241373189,0.0005644769902319879,0.001584607372709712,134,30.0,45,16,8,1j [Y2 X3 X4 X5],[],-0.030924355810681484
6,6,-7.881650775418182,0.0004735340449926184,0.0011110733277170937,201,36.0,54,20,10,1j [X2 X3 X8 Y9],[],0.017053866587310555
7,7,-7.882107920745081,0.000457145326898889,0.0006539280008182047,406,42.0,63,24,12,1j [X2 Y3 X6 X7],[],-0.011044486949214912
8,8,-7.882124205760419,1.628501533801341e-05,0.0006376429854801913,161,48.0,72,24,12,1j [X0 X1 X6 Y7],[],0.0018167618900553231
9,9,-7.882140112036319,1.5906275899979505e-05,0.0006217367095802118,265,54.0,81,24,12,1j [X0 Y1 X8 X9],[],-0.001818434559290725
10,10,-7.882160615940288,2.050390396934887e-05,0.0006012328056108629,289,60.0,90,24,14,1j [X1 X2 X6 Y7],[],0.0016574205205276383
11,11,-7.882181115767587,2.0499827298792184e-05,0.0005807329783120707,1377,66.0,99,28,14,1j [X0 X3 X8 Y9],[],-0.0030423216753979088
12,12,-7.882201148373217,2.0032605630326827e-05,0.0005607003726817439,1895,72.0,108,32,16,1j [Y0 Y3 X6 Y7],[],0.001614461642339641
13,13,-7.882221178089175,2.0029715957825545e-05,0.0005406706567239183,661,78.0,117,32,16,1j [Y1 Y2 X8 Y9],[],-0.003037044297111856
14,14,-7.8822268652434815,5.687154306599496e-06,0.0005349835024173188,1500,84.0,126,32,16,1j [X0 X1 X10 Y11],[],0.0009642051725541256
15,15,-7.88240234639136,0.00017548114787846458,0.00035950235453885426,528,86.0,131,32,18,1j [Y2 X4],1j [Y2 X4],-0.026755172318816554
16,16,-7.88255789040731,0.00015554401594997103,0.00020395833858888324,901,88.0,136,34,18,1j [Y3 X5],1j [Y3 X5],0.014960334904033359
17,17,-7.882602217235882,4.4326828572138766e-05,0.00015963151001674447,780,94.0,145,38,20,1j [X2 X3 X6 Y7],[],0.01678276563148859
18,18,-7.88264468950811,4.2472272228089025e-05,0.00011715923778865545,1161,100.0,154,42,22,1j [X2 Y3 X8 X9],[],-0.010786605019586988
19,19,-7.882659657274736,1.496776662612831e-05,0.00010219147116252714,904,102.0,159,42,24,1j [Y2 X10],1j [Y2 X10],0.0053380521893976515
20,20,-7.882661972023509,2.3147487731023375e-06,9.98767223894248e-05,815,108.0,168,46,24,1j [X0 X3 X5 Y10],[],-0.0009309658945267357
21,21,-7.88266426947341,2.2974499005457005e-06,9.75792724888791e-05,576,114.0,177,46,26,1j [X1 X2 X4 Y11],[],-0.0009023053540921656
22,22,-7.882666019023111,1.7495497006692062e-06,9.582972278820989e-05,1153,120.0,186,46,28,1j [Y0 Y2 Y4 X10],[],-0.000827561942687477
23,23,-7.882667775537511,1.7565144005970978e-06,9.40732083876128e-05,1051,126.0,195,50,28,1j [Y1 Y3 Y5 X11],[],-0.0008369131003952651
24,24,-7.882671518165304,3.7426277925689533e-06,9.033058059504384e-05,833,128.0,200,52,28,1j [X3 Y11],1j [X3 Y11],0.0018075651516954586
25,25,-7.8826945174983845,2.299933308069768e-05,6.733124751434616e-05,3009,130.0,205,54,30,1j [X3 Y5],1j [X3 Y5],-0.023602250346418434
26,26,-7.882695235965642,7.184672572435602e-07,6.66127802571026e-05,925,132.0,210,54,30,1j [X1 Y11],1j [X1 Y11],0.0005448590224704248
27,27,-7.882695829186883,5.932212410186821e-07,6.601955901608392e-05,1161,134.0,215,54,30,1j [X0 Y10],1j [X0 Y10],-0.000502936777198123
28,28,-7.882713323539985,1.7494353102165405e-05,4.852520591391851e-05,2862,136.0,220,54,30,1j [X2 Y4],1j [X2 Y4],0.011461332914511483
29,29,-7.882742817269964,2.949372997917976e-05,1.903147593473875e-05,2078,142.0,229,58,32,1j [X2 Y3 Y10 Y11],[],0.03252932098500355
30,30,-7.882743073590469,2.5632050526525063e-07,1.87751554294735e-05,2017,148.0,238,58,34,1j [X1 Y2 X10 X11],[],-0.00028280226467992253
31,31,-7.88274319379083,1.2020036077586838e-07,1.8654955068697632e-05,2905,154.0,247,58,34,1j [Y0 Y1 Y4 X11],[],-0.0011449726091259484
32,32,-7.8827433929123,1.991214695351573e-07,1.8455833599162474e-05,2619,160.0,256,62,34,1j [Y0 X3 Y10 Y11],[],-0.0002464217850723794
33,33,-7.88274347412284,8.121054051457577e-08,1.83746230586479e-05,2451,166.0,265,62,34,1j [Y0 Y1 Y5 X10],[],9.998895815640076e-05
