,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435885,0.013985934751616469,0.005642225310017679,215,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11030714517849861
2,2,-7.8789150016501335,0.0017953782142487995,0.0038468470957688794,113,26.0,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057212072705879725
3,3,-7.880581566202965,0.0016665645528313178,0.0021802825429375616,411,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05701997826243542
4,4,-7.88116429463577,0.0005827284328052684,0.0015975541101322932,527,52.0,132,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.027976608551100835
5,5,-7.8817197761041635,0.0005554814683934595,0.0010420726417388337,239,65.0,165,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.027987618645395815
6,6,-7.882133592810326,0.0004138167061622511,0.0006282559355765827,275,78.0,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.03134268321712165
7,7,-7.882337609896609,0.00020401708628359216,0.0004242388492929905,478,81.0,205,69,70,s_q_exc_2_4,"[2, 4]",0.038573243788788826
8,8,-7.882520162260955,0.0001825523643459448,0.0002416864849470457,882,84.0,212,69,70,s_q_exc_3_5,"[3, 5]",-0.03896854990999215
9,9,-7.8825973023578735,7.714009691817125e-05,0.00016454638802887445,331,97.0,245,69,70,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.00380337043184219
10,10,-7.882619077994769,2.1775636895426942e-05,0.0001427707511334475,924,110.0,278,75,80,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0031004992407301945
11,11,-7.882640586017903,2.1508023134053644e-05,0.00012126272799939386,1156,123.0,311,75,80,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0031030171798596454
12,12,-7.882661824999269,2.1238981365634402e-05,0.00010002374663375946,2126,136.0,344,81,90,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0031007870706843146
13,13,-7.8826828026583025,2.097765903386062e-05,7.904608759989884e-05,571,149.0,377,81,90,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0031031648972220357
14,14,-7.8827008946324,1.8091974097522723e-05,6.095411350237612e-05,1668,162.0,410,81,90,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0018173513413512015
15,15,-7.882718852479319,1.7957846918825737e-05,4.299626658355038e-05,885,175.0,443,81,90,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0018174429998406045
16,16,-7.882734125276655,1.5272797336152166e-05,2.7723469247398214e-05,2046,178.0,450,84,94,s_q_exc_2_10,"[2, 10]",-0.005737503295026776
17,17,-7.882739815976854,5.690700199068033e-06,2.203276904833018e-05,4234,191.0,483,84,94,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0009627429753278811
18,18,-7.882742117310871,2.30133401668553e-06,1.973143503164465e-05,1101,204.0,516,90,104,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0009569837280292094
19,19,-7.882744420222808,2.3029119375905793e-06,1.742852309405407e-05,2259,217.0,549,90,104,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0009580418929984678
20,20,-7.882746221381061,1.8011582527677206e-06,1.562736484128635e-05,1915,230.0,582,90,104,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008260678175802892
21,21,-7.8827480137835755,1.792402514411151e-06,1.38349623268752e-05,1703,243.0,615,96,114,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0008270184297784695
22,22,-7.882749631027894,1.6172443189077512e-06,1.2217718007967449e-05,2508,246.0,622,96,114,s_q_exc_3_11,"[3, 11]",0.0017954555649508156
23,23,-7.882750471626085,8.405981910541982e-07,1.137711981691325e-05,3192,249.0,629,96,114,s_q_exc_1_11,"[1, 11]",0.0005551716546707557
24,24,-7.882751183604797,7.119787115428267e-07,1.0665141105370424e-05,2689,252.0,636,96,114,s_q_exc_0_10,"[0, 10]",-0.0005113494976988768
25,25,-7.88275149659797,3.129931727130497e-07,1.0352147932657374e-05,919,265.0,669,102,124,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0003167252082225586
26,26,-7.882751772544965,2.759469950319726e-07,1.0076200937625401e-05,1354,278.0,702,102,124,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.00029733592780074235
27,27,-7.8827519406475774,1.681026127187124e-07,9.908098324906689e-06,1984,281.0,709,102,124,s_q_exc_1_5,"[1, 5]",0.0002970116791389552
28,28,-7.882752063439736,1.227921586632874e-07,9.785306166243402e-06,2232,294.0,742,108,134,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.00023185180485894976
29,29,-7.882752170109125,1.0666938887737842e-07,9.678636777366023e-06,2864,297.0,749,108,134,s_q_exc_0_4,"[0, 4]",-0.0002208774605029788
30,30,-7.882752264513992,9.44048670348252e-08,9.584231910331198e-06,2892,310.0,782,116,134,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",0.00020486700901597207
31,31,-7.8827523188685085,5.435451644331124e-08,9.529877393887887e-06,2520,323.0,815,127,134,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-9.72637937912046e-05
32,32,-7.882752367781563,4.8913054939703215e-08,9.480964338948183e-06,817,336.0,848,138,140,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",9.305555745711032e-05
