,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.744257957956815,0.03342805800859239,0.05458520149835433,5,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1693443896045529
1,2,-7.762722542129697,0.018464584172881437,0.03612061732547289,5,34.0,68,24,22,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.23040535317592173
2,3,-7.775440896154046,0.012718354024348955,0.023402263301123938,7,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.24244916258038468
3,4,-7.793054039678706,0.01761314352466048,0.005789119776463458,9,72.0,136,48,44,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.3437605484281978
4,5,-7.795661168122747,0.0026071284440405407,0.0031819913324229177,11,77.0,147,53,52,eff_s_f_exc_4_2,"[[2], [4]]",-0.14694938477974495
5,6,-7.798158827285108,0.00249765916236111,0.0006843321700618077,14,94.0,158,53,52,eff_s_f_exc_11_3,"[[3], [11]]",0.07385558643177215
6,7,-7.798185743145636,2.6915860527942925e-05,0.0006574163095338648,13,107.0,191,53,52,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0038233101516319838
7,8,-7.7982031417947395,1.7398649103661512e-05,0.0006400176604302033,12,120.0,224,53,52,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0019293407309209007
8,9,-7.7982204334175655,1.729162282604335e-05,0.0006227260376041599,14,133.0,257,53,52,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0019289801707928756
9,10,-7.798253002177049,3.256875948309812e-05,0.0005901572781210618,18,146.0,290,59,62,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.004234219302272957
10,11,-7.7982851152990404,3.2113121991805826e-05,0.000558044156129256,21,159.0,323,65,72,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.004236132957411791
11,12,-7.798294129058658,9.013759617815253e-06,0.0005490303965114407,70,172.0,356,65,72,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0026843447493858745
12,13,-7.798315374050203,2.1244991544655534e-05,0.0005277854049667852,65,197.0,391,71,82,"eff_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.003822279338555534
13,14,-7.798333443412327,1.806936212389587e-05,0.0005097160428428893,22,214.0,426,75,84,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.004263811253355232
14,15,-7.798351260757571,1.7817345244530713e-05,0.0004918986975983586,23,231.0,461,79,86,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.004261913768650116
15,16,-7.798415654467826,6.439371025468432e-05,0.00042750498734367426,61,244.0,494,90,97,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.012071215839857426
16,17,-7.7984782860548805,6.263158705444027e-05,0.000364873400289234,28,257.0,527,101,108,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.012072098645340971
17,18,-7.79848869558937,1.0409534489497219e-05,0.00035446386579973677,24,278.0,538,105,108,eff_s_f_exc_10_0,"[[0], [10]]",0.0020174037325098064
18,19,-7.798499620879728,1.092529035773282e-05,0.00034353857544200395,24,291.0,571,111,118,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.001643059829161741
19,20,-7.798509101410574,9.480530846595059e-06,0.0003340580445954089,71,312.0,606,117,128,"eff_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.0024054307520678503
20,21,-7.79851713243281,8.031022235677199e-06,0.0003260270223597317,28,333.0,617,119,128,eff_s_f_exc_11_1,"[[1], [11]]",0.0016061645281941945
21,22,-7.7985263228208,9.190387990187787e-06,0.0003168366343695439,78,362.0,652,123,128,"eff_d_f_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.0023597488100935
22,23,-7.79853267730441,6.354483609527506e-06,0.0003104821507600164,80,387.0,687,127,128,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.0036065116684402066
23,24,-7.7985378212734835,5.1439690738064314e-06,0.00030533818168620996,29,404.0,722,131,130,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0017160663301072883
24,25,-7.798553115178171,1.529390468757441e-05,0.00029004427699863555,131,421.0,757,133,130,"eff_d_f_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",0.0015472382447148558
25,26,-7.7986596396849155,0.00010652450674442093,0.00018351977025421462,95,426.0,768,133,130,eff_s_f_exc_5_3,"[[3], [5]]",-0.14738274498328038
26,27,-7.798674610430513,1.4970745597864266e-05,0.00016854902465635035,74,443.0,803,135,130,"eff_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.0015393632697405441
27,28,-7.798688244995455,1.3634564941966687e-05,0.00015491445971438367,74,464.0,838,139,130,"eff_d_f_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.0009527620116076403
28,29,-7.798701696068132,1.345107267702872e-05,0.00014146338703735495,93,485.0,873,143,130,"eff_d_f_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.0009441399558329798
29,30,-7.798811191742027,0.00010949567389495485,3.19677131424001e-05,81,502.0,884,148,138,eff_s_f_exc_10_2,"[[2], [10]]",0.0746790450583803
30,31,-7.798811642207754,4.504657269421841e-07,3.1517247415457916e-05,39,523.0,919,153,140,"eff_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.00094021771730517
31,32,-7.798811928033781,2.858260268467916e-07,3.1231421388611125e-05,123,548.0,954,166,151,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",0.0009433516341496341
32,33,-7.798823512016094,1.1583982312934893e-05,1.9647439075676232e-05,66,565.0,989,166,156,"eff_d_f_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",-0.010704761994302942
33,34,-7.7988245111114,9.990953060423635e-07,1.8648343769633868e-05,88,590.0,1024,168,167,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008639711861550435
34,35,-7.798825424506855,9.133954552709156e-07,1.7734948314362953e-05,59,603.0,1057,179,178,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.0007411249874059588
35,36,-7.798834337070094,8.91256323853895e-06,8.822385075824002e-06,45,624.0,1092,181,178,"eff_d_f_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",-0.009257010708880476
36,37,-7.798835316579085,9.795089912500998e-07,7.842876084573902e-06,139,649.0,1127,192,178,"eff_d_f_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0008287520145516587
37,38,-7.798836164655599,8.480765139040614e-07,6.994799570669841e-06,83,666.0,1162,205,184,"eff_d_f_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",0.0006856226650535087
38,39,-7.798840083172816,3.9185172173716865e-06,3.0762823532981542e-06,97,683.0,1197,205,189,"eff_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.004010374867488039
39,40,-7.798842997433695,2.914260878839059e-06,1.6202147445909532e-07,113,704.0,1232,218,195,"eff_d_f_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-0.0035266214653404955
40,41,-7.798843039377064,4.1943368778163403e-08,1.200781056809319e-07,87,713.0,1243,223,203,eff_s_f_exc_4_0,"[[0], [4]]",0.0001550917822332106
41,42,-7.7988430486826825,9.305618497990054e-09,1.1077248718294186e-07,132,742.0,1278,236,214,"eff_d_f_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.0018040504286530622
