,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.856936482538762,0.012031166868976761,0.004924958106860444,6,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.5396149094831295
1,2,-7.859617295887107,0.0026808133483449126,0.0022441447585155316,9,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.05424809148041578
2,2,-7.859617295887107,0.0026808133483449126,0.0022441447585155316,9,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.05432805244862507
3,3,-7.8603540285478415,0.0007367326607345959,0.0015074120977809358,76,72.0,136,48,44,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.03690086602983979
4,4,-7.861055626275736,0.0007015977278941321,0.0008058143698868037,12,85.0,169,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.03692533405057456
5,5,-7.861306445823023,0.00025081954728722877,0.0005549948225995749,43,98.0,202,70,66,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.008837545460115608
6,6,-7.86160059203448,0.0002941462114574023,0.0002608486111421726,76,108.0,224,75,74,eff_s_f_exc_5_3,"[[3], [5]]",-0.036775577164863016
7,6,-7.86160059203448,0.0002941462114574023,0.0002608486111421726,76,108.0,224,75,74,eff_s_f_exc_4_2,"[[2], [4]]",-0.036775561582680596
8,7,-7.861673062103399,7.247006891830665e-05,0.00018837854222386596,58,121.0,257,75,74,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0037014987668676762
9,8,-7.861715719296283,4.2657192884654194e-05,0.00014572134933921177,47,151.0,325,85,86,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.004793531450868196
10,8,-7.861715719296283,4.2657192884654194e-05,0.00014572134933921177,47,151.0,325,85,86,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.004793458480477787
11,9,-7.861757779527472,4.206023118857871e-05,0.00010366111815063306,20,181.0,393,95,98,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.003575465435397677
12,9,-7.861757779527472,4.206023118857871e-05,0.00010366111815063306,20,181.0,393,95,98,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003575480244128894
13,10,-7.861775266821365,1.748729389294823e-05,8.617382425768483e-05,78,194.0,426,95,98,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0019188195255259223
14,11,-7.861792616752757,1.7349931392018902e-05,6.882389286566593e-05,22,207.0,459,95,98,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0019191764658496246
15,12,-7.861811461106114,1.8844353356861632e-05,4.9979539508804294e-05,114,257.0,529,105,108,"eff_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.0016384876296337443
16,12,-7.861811461106114,1.8844353356861632e-05,4.9979539508804294e-05,114,257.0,529,105,108,"eff_d_f_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",-0.001638521191844189
17,13,-7.861822480455399,1.101934928549042e-05,3.896019022331387e-05,120,291.0,551,110,116,eff_s_f_exc_11_3,"[[3], [11]]",0.002243241106686023
18,13,-7.861822480455399,1.101934928549042e-05,3.896019022331387e-05,120,291.0,551,110,116,eff_s_f_exc_10_2,"[[2], [10]]",0.00224314055601336
19,14,-7.861837496382294,1.5015926894790255e-05,2.394426332852362e-05,78,341.0,621,118,126,"eff_d_f_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.00201166183688477
20,14,-7.861837496382294,1.5015926894790255e-05,2.394426332852362e-05,78,341.0,621,118,126,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0020116693197833983
21,15,-7.861847035742809,9.539360514843054e-06,1.4404902813680565e-05,24,371.0,689,128,138,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0013275131403813732
22,15,-7.861847035742809,9.539360514843054e-06,1.4404902813680565e-05,24,371.0,689,128,138,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0013275362883024748
23,16,-7.861851993948341,4.958205532368254e-06,9.44669728131231e-06,70,417.0,759,128,138,"eff_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.0018598391271747378
24,16,-7.861851993948341,4.958205532368254e-06,9.44669728131231e-06,70,417.0,759,128,138,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",0.0018593857420704225
25,17,-7.861854096214376,2.102266035031164e-06,7.344431246281147e-06,35,471.0,829,137,138,"eff_d_f_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",-0.0012389703097661355
26,17,-7.861854096214376,2.102266035031164e-06,7.344431246281147e-06,35,471.0,829,137,138,"eff_d_f_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.0012389695701106494
27,18,-7.861856180381507,2.0841671304339116e-06,5.260264115847235e-06,82,525.0,899,150,138,"eff_d_f_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.0012634639006727573
28,18,-7.861856180381507,2.0841671304339116e-06,5.260264115847235e-06,82,525.0,899,150,138,"eff_d_f_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",-0.0012634738993930056
29,19,-7.861857642945861,1.4625643540711053e-06,3.79769976177613e-06,81,579.0,969,163,150,"eff_d_f_exc_[0, 11]_[2, 3]","[[0, 11], [2, 3]]",0.0008578136314398091
30,19,-7.861857642945861,1.4625643540711053e-06,3.79769976177613e-06,81,579.0,969,163,150,"eff_d_f_exc_[1, 10]_[2, 3]","[[1, 10], [2, 3]]",-0.0008578132380006256
31,20,-7.861858183101767,5.401559066697814e-07,3.2575438551063485e-06,100,592.0,1002,174,156,"eff_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.0008568799647342096
32,21,-7.861858891242518,7.081407504827553e-07,2.549403104623593e-06,99,646.0,1072,187,165,"eff_d_f_exc_[1, 10]_[4, 5]","[[1, 10], [4, 5]]",0.0007230898444924043
33,21,-7.861858891242518,7.081407504827553e-07,2.549403104623593e-06,99,646.0,1072,187,165,"eff_d_f_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",-0.0007230898678805664
34,22,-7.861859878464089,9.87221571158159e-07,1.5621815334654343e-06,98,700.0,1142,200,176,"eff_d_f_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",-0.010069407742809008
35,22,-7.861859878464089,9.87221571158159e-07,1.5621815334654343e-06,98,700.0,1142,200,176,"eff_d_f_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-0.010069534137737576
36,23,-7.861860438820367,5.603562778233595e-07,1.0018252556420748e-06,157,730.0,1210,213,187,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.00042054334369957255
37,23,-7.861860438820367,5.603562778233595e-07,1.0018252556420748e-06,157,730.0,1210,213,187,"eff_d_f_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.0004205509243352899
38,24,-7.861860577128653,1.3830828660132966e-07,8.635169690407452e-07,54,760.0,1278,237,209,"eff_d_f_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",0.0005979951179738257
39,24,-7.861860577128653,1.3830828660132966e-07,8.635169690407452e-07,54,760.0,1278,237,209,"eff_d_f_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",-0.0005903392648530054
40,25,-7.861860614785532,3.765687850432187e-08,8.258600905364233e-07,101,778.0,1300,242,217,eff_s_f_exc_4_0,"[[0], [4]]",0.0005382755815239468
41,25,-7.861860614785532,3.765687850432187e-08,8.258600905364233e-07,101,778.0,1300,242,217,eff_s_f_exc_5_1,"[[1], [5]]",0.0005382618738346218
42,26,-7.861861324594627,7.098090950563574e-07,1.1605099548006592e-07,103,791.0,1333,242,217,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.44498710877842096
43,27,-7.861861402966348,7.83717206687129e-08,3.7679274811353025e-08,75,845.0,1403,268,239,"eff_d_f_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.0020286270655920182
44,27,-7.861861402966348,7.83717206687129e-08,3.7679274811353025e-08,75,845.0,1403,268,239,"eff_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.0020287614266591885
45,28,-7.861861423900389,2.093404116720876e-08,1.6745233644144264e-08,107,858.0,1436,279,250,"eff_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.0077621295841642105
46,29,-7.861861428960103,5.059714425215134e-09,1.168551921892913e-08,95,871.0,1469,290,261,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0002749510250105452
47,30,-7.861861434319469,5.359365395918303e-09,6.326153823010827e-09,136,901.0,1537,314,283,"eff_d_f_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.0008886321360204061
48,30,-7.861861434319469,5.359365395918303e-09,6.326153823010827e-09,136,901.0,1537,314,283,"eff_d_f_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.0008810993430507902
49,31,-7.861861435620588,1.3011192123713045e-09,5.025034610639523e-09,78,911.0,1559,319,291,eff_s_f_exc_2_0,"[[0], [2]]",-0.00035370482492708507
50,31,-7.861861435620588,1.3011192123713045e-09,5.025034610639523e-09,78,911.0,1559,319,291,eff_s_f_exc_3_1,"[[1], [3]]",-0.00035388304882794027
51,32,-7.861861439923616,4.303028156016353e-09,7.220064546231697e-10,88,924.0,1592,319,291,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.01828871216575139
52,33,-7.861861440062142,1.3852563540694973e-10,5.8348081921622e-10,32,978.0,1662,332,302,"eff_d_f_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.00012943913560460154
53,33,-7.861861440062142,1.3852563540694973e-10,5.8348081921622e-10,32,978.0,1662,332,302,"eff_d_f_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",-0.0001293912090289675
54,34,-7.861861440276269,2.141273824918244e-10,3.693534367243956e-10,60,1008.0,1730,345,313,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0010486314391605653
55,34,-7.861861440276269,2.141273824918244e-10,3.693534367243956e-10,60,1008.0,1730,345,313,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0010485530304277643
56,35,-7.861861440316217,3.994760078285253e-11,3.2940583594154305e-10,139,1054.0,1800,371,335,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.002032205831550414
