,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.74425795795682,0.03342805800860038,0.05458520149836055,6,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.4996358265895884
1,2,-7.793046091675936,0.048788133719115834,0.005797067779244713,13,39.0,55,12,11,eff_s_f_exc_10_4,"[[4], [10]]",0.9489106391146764
2,2,-7.793046091675936,0.048788133719115834,0.005797067779244713,13,39.0,55,12,11,eff_s_f_exc_11_5,"[[5], [11]]",0.9489872738380597
3,3,-7.796094923230521,0.0030488315545849076,0.0027482362246598058,12,49.0,77,16,19,eff_s_f_exc_4_2,"[[2], [4]]",-0.14699311916889662
4,3,-7.796094923230521,0.0030488315545849076,0.0027482362246598058,12,49.0,77,16,19,eff_s_f_exc_5_3,"[[3], [5]]",-0.1469150815236107
5,4,-7.798303647359489,0.0022087241289687753,0.0005395120956910304,14,83.0,99,21,27,eff_s_f_exc_11_3,"[[3], [11]]",0.07487757347755453
6,4,-7.798303647359489,0.0022087241289687753,0.0005395120956910304,14,83.0,99,21,27,eff_s_f_exc_10_2,"[[2], [10]]",0.0749332172182868
7,5,-7.798376928081594,7.328072210466274e-05,0.0004662313735863677,14,96.0,132,32,38,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.01232016144796769
8,6,-7.798448308338888,7.138025729425124e-05,0.00039485111629211644,14,109.0,165,43,49,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.012321125094710285
9,7,-7.7984755223515085,2.7214012620291328e-05,0.0003676371036718251,14,122.0,198,43,49,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0028713332659446368
10,8,-7.798521401449493,4.5879097984702355e-05,0.00032175800568712276,15,152.0,266,53,61,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0030458241386859698
11,8,-7.798521401449493,4.5879097984702355e-05,0.00032175800568712276,15,152.0,266,53,61,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.002996414555539142
12,9,-7.798566630827011,4.5229377517941316e-05,0.00027652862816918145,57,182.0,334,63,73,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.002999460056906974
13,9,-7.798566630827011,4.5229377517941316e-05,0.00027652862816918145,57,182.0,334,63,73,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.003049461582679298
14,10,-7.798585774817431,1.9143990419578927e-05,0.0002573846377496025,20,195.0,367,63,73,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0019326210789183365
15,11,-7.798604798592997,1.9023775566395784e-05,0.00023836086218320673,57,208.0,400,63,73,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0019325973184828513
16,12,-7.798661002410282,5.6203817284661284e-05,0.00018215704489854545,68,221.0,433,74,84,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.017042974083191605
17,13,-7.798690669480186,2.9667069903815957e-05,0.0001524899749947295,28,259.0,503,80,84,"eff_d_f_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.006214857556049701
18,13,-7.798690669480186,2.9667069903815957e-05,0.0001524899749947295,28,259.0,503,80,84,"eff_d_f_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",0.006385624575843128
19,14,-7.7987199500250135,2.9280544827869903e-05,0.0001232094301668596,29,297.0,573,86,84,"eff_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.006373879634097258
20,14,-7.7987199500250135,2.9280544827869903e-05,0.0001232094301668596,29,297.0,573,86,84,"eff_d_f_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.006200877576704782
21,15,-7.7987466353109625,2.668528594895747e-05,9.652414421790212e-05,26,347.0,643,98,94,"eff_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.005124534476803059
22,15,-7.7987466353109625,2.668528594895747e-05,9.652414421790212e-05,26,347.0,643,98,94,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.004984878087585208
