,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.744257957956822,0.033428058008593275,0.05458520149838364,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.17060048528934565
1,2,-7.775440896154055,0.031182938197233057,0.023402263301150583,9,39.0,99,28,32,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.2515767796236133
2,2,-7.775440896154055,0.031182938197233057,0.023402263301150583,9,39.0,99,28,32,"d_q_exc_[3, 2]_[5, 10]","[[3, 2], [5, 10]]",0.23748172222247665
3,3,-7.793054039678714,0.01761314352465959,0.005789119776490992,10,52.0,132,39,43,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.2655200270541029
4,4,-7.793112902385605,5.886270689092754e-05,0.005730257069600064,9,65.0,165,39,43,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0001585705661293606
5,5,-7.797703610728272,0.004590708342666616,0.001139548726933448,18,71.0,179,42,47,s_q_exc_3_5,"[[3], [5]]",0.2864388493804937
6,5,-7.797703610728272,0.004590708342666616,0.001139548726933448,18,71.0,179,42,47,s_q_exc_2_4,"[[2], [4]]",-0.26110134878565894
7,6,-7.797720989971828,1.7379243556270296e-05,0.0011221694833771778,20,84.0,212,42,47,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0019231173483777275
8,7,-7.797738262367814,1.7272395986367428e-05,0.0011048970873908104,75,97.0,245,42,47,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0019230037458157544
9,8,-7.7977990178011005,6.0755433286097116e-05,0.0010441416541047133,76,123.0,311,48,57,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.005508324238510061
10,8,-7.7977990178011005,6.0755433286097116e-05,0.0010441416541047133,76,123.0,311,48,57,"d_q_exc_[0, 3]_[9, 8]","[[0, 3], [9, 8]]",0.0050866226250421195
11,9,-7.797858911278658,5.989347755708252e-05,0.0009842481765476307,24,149.0,377,55,67,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.005508461765819394
12,9,-7.797858911278658,5.989347755708252e-05,0.0009842481765476307,24,149.0,377,55,67,"d_q_exc_[0, 3]_[7, 6]","[[0, 3], [7, 6]]",0.005086571947386649
13,10,-7.79789799588359,3.908460493207144e-05,0.0009451635716155593,78,175.0,443,66,77,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0032935759530495286
14,10,-7.79789799588359,3.908460493207144e-05,0.0009451635716155593,78,175.0,443,66,77,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0035250514053460653
15,11,-7.797906055673943,8.059790353343033e-06,0.0009371037812622163,27,188.0,476,77,77,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0022313306586744593
16,12,-7.797979894465641,7.383879169786667e-05,0.0008632649895643496,76,201.0,509,77,88,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.01236668226513761
17,13,-7.798051781095862,7.188663022095199e-05,0.0007913783593433976,59,214.0,542,82,99,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.012367630365568968
18,14,-7.798725713351194,0.0006739322553324101,0.00011744610401098754,88,220.0,556,85,103,s_q_exc_2_10,"[[2], [10]]",0.12560110834709326
19,14,-7.798725713351194,0.0006739322553324101,0.00011744610401098754,88,220.0,556,85,103,s_q_exc_3_11,"[[3], [11]]",-0.0015349188242705682
20,15,-7.798747117504366,2.140415317164468e-05,9.604195083934286e-05,38,246.0,622,91,113,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.001955735939016592
21,15,-7.798747117504366,2.140415317164468e-05,9.604195083934286e-05,38,246.0,622,91,113,"d_q_exc_[1, 2]_[11, 10]","[[1, 2], [11, 10]]",-2.0028996221897055e-05
22,16,-7.798764341163562,1.7223659195764185e-05,7.881829164357868e-05,39,272.0,688,99,123,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.002202897501972428
23,16,-7.798764341163562,1.7223659195764185e-05,7.881829164357868e-05,39,272.0,688,99,123,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",-0.0022072359578889393
24,17,-7.798777113552125,1.2772388563675463e-05,6.604590307990321e-05,37,278.0,702,102,123,s_q_exc_0_10,"[[0], [10]]",0.0014903598925690275
25,17,-7.798777113552125,1.2772388563675463e-05,6.604590307990321e-05,37,278.0,702,102,123,s_q_exc_1_11,"[[1], [11]]",-0.0015048933198699424
26,18,-7.798793407186379,1.6293634253372602e-05,4.975226882653061e-05,88,304.0,768,113,123,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.0066940493572121285
27,18,-7.798793407186379,1.6293634253372602e-05,4.975226882653061e-05,88,304.0,768,113,123,"d_q_exc_[0, 5]_[9, 8]","[[0, 5], [9, 8]]",-0.0031922939279582533
28,19,-7.798809483389951,1.6076203571913084e-05,3.3676065254617527e-05,103,330.0,834,124,125,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.006694151319773382
29,19,-7.798809483389951,1.6076203571913084e-05,3.3676065254617527e-05,103,330.0,834,124,125,"d_q_exc_[0, 5]_[7, 6]","[[0, 5], [7, 6]]",-0.0031921620171090127
30,20,-7.798812838635545,3.3552455942498227e-06,3.0320819660367704e-05,40,356.0,900,135,136,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.01947844487713886
31,20,-7.798812838635545,3.3552455942498227e-06,3.0320819660367704e-05,40,356.0,900,135,136,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.00969357677197658
32,21,-7.798814035578911,1.1969433657554873e-06,2.9123876294612216e-05,40,382.0,966,152,157,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.000610240203346154
33,21,-7.798814035578911,1.1969433657554873e-06,2.9123876294612216e-05,40,382.0,966,152,157,"d_q_exc_[1, 0]_[5, 10]","[[1, 0], [5, 10]]",0.0008133729924856661
34,22,-7.798815349611934,1.3140330237249032e-06,2.7809843270887313e-05,112,388.0,980,155,161,s_q_exc_1_5,"[[1], [5]]",-8.274103129988667e-05
35,22,-7.798815349611934,1.3140330237249032e-06,2.7809843270887313e-05,112,388.0,980,155,161,s_q_exc_0_4,"[[0], [4]]",0.00018073813927527
36,23,-7.79882428642981,8.936817875948577e-06,1.8873025394938736e-05,94,414.0,1046,166,172,"d_q_exc_[0, 11]_[7, 6]","[[0, 11], [7, 6]]",0.006246115511132151
37,23,-7.79882428642981,8.936817875948577e-06,1.8873025394938736e-05,94,414.0,1046,166,172,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.0016276019929405627
38,24,-7.7988331548988,8.868468989398082e-06,1.0004556405540654e-05,71,440.0,1112,177,183,"d_q_exc_[0, 11]_[9, 8]","[[0, 11], [9, 8]]",0.006236340241251233
39,24,-7.7988331548988,8.868468989398082e-06,1.0004556405540654e-05,71,440.0,1112,177,183,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.0016300539720487043
40,25,-7.7988348977196775,1.742820877836948e-06,8.261735527703706e-06,132,466.0,1178,188,194,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.0008135731120060981
41,25,-7.7988348977196775,1.742820877836948e-06,8.261735527703706e-06,132,466.0,1178,188,194,"d_q_exc_[1, 2]_[5, 4]","[[1, 2], [5, 4]]",0.0009760398528612999
42,26,-7.798838286641947,3.38892226903198e-06,4.8728132586717265e-06,94,492.0,1244,199,205,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.004425526695612144
43,26,-7.798838286641947,3.38892226903198e-06,4.8728132586717265e-06,94,492.0,1244,199,205,"d_q_exc_[0, 5]_[11, 10]","[[0, 5], [11, 10]]",-0.0010616777782854394
44,27,-7.798842749100086,4.462458139009584e-06,4.1035511966214244e-07,72,518.0,1310,210,216,"d_q_exc_[0, 11]_[10, 5]","[[0, 11], [10, 5]]",0.004124962983174758
45,27,-7.798842749100086,4.462458139009584e-06,4.1035511966214244e-07,72,518.0,1310,210,216,"d_q_exc_[1, 10]_[11, 4]","[[1, 10], [11, 4]]",0.0005045866978513697
46,28,-7.798843004516926,2.554168405666246e-07,1.5493827909551783e-07,156,544.0,1376,227,237,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.00017073001665147684
47,28,-7.798843004516926,2.554168405666246e-07,1.5493827909551783e-07,156,544.0,1376,227,237,"d_q_exc_[1, 0]_[2, 11]","[[1, 0], [2, 11]]",0.00026720697076460084
48,29,-7.798843066402325,6.1885399027517e-08,9.305288006800083e-08,45,557.0,1409,238,248,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.00407063802460563
