,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.744257957956822,0.033428058008593275,0.05458520149838364,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.6227523471804677
1,2,-7.764039538653802,0.019781580696980328,0.03480362080140331,12,19.0,47,11,11,s_q_exc_4_10,"[[4], [10]]",-0.4854297572165618
2,2,-7.764039538653802,0.019781580696980328,0.03480362080140331,12,19.0,47,11,11,s_q_exc_5_11,"[[5], [11]]",0.4849991695024389
3,3,-7.793054039678715,0.02901450102491321,0.005789119776490104,18,32.0,80,14,15,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.8392120442192456
4,4,-7.797297265221209,0.004243225542493789,0.0015458942339963144,34,58.0,146,22,27,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",0.11061144187341503
5,4,-7.797297265221209,0.004243225542493789,0.0015458942339963144,34,58.0,146,22,27,"d_q_exc_[2, 5]_[11, 10]","[[2, 5], [11, 10]]",1.1102105227276067
6,5,-7.798363430922755,0.0010661657015464954,0.00047972853244981906,61,64.0,160,25,28,s_q_exc_2_4,"[[2], [4]]",-0.17897417629098245
7,5,-7.798363430922755,0.0010661657015464954,0.00047972853244981906,61,64.0,160,25,28,s_q_exc_3_5,"[[3], [5]]",-0.17932617153171437
8,6,-7.798434735533899,7.130461114357445e-05,0.0004084239213062446,43,77.0,193,34,39,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.03616974106346461
9,7,-7.798504222549546,6.948701564724047e-05,0.00033893690565900414,45,90.0,226,36,39,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.012401119213789752
10,8,-7.798565732933417,6.151038387081087e-05,0.00027742652178819327,43,116.0,292,41,49,"d_q_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.00438055371369061
11,8,-7.798565732933417,6.151038387081087e-05,0.00027742652178819327,43,116.0,292,41,49,"d_q_exc_[0, 4]_[2, 10]","[[0, 4], [2, 10]]",-0.008663885409288474
12,9,-7.798616805751568,5.1072818150643684e-05,0.00022635370363754959,100,142.0,358,47,53,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.005070936346125896
13,9,-7.798616805751568,5.1072818150643684e-05,0.00022635370363754959,100,142.0,358,47,53,"d_q_exc_[1, 2]_[9, 8]","[[1, 2], [9, 8]]",-0.0053276039187972
14,10,-7.798667182930078,5.037717851053003e-05,0.00017597652512701956,129,168.0,424,53,63,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.005070593206339727
15,10,-7.798667182930078,5.037717851053003e-05,0.00017597652512701956,129,168.0,424,53,63,"d_q_exc_[1, 2]_[7, 6]","[[1, 2], [7, 6]]",-0.005327472062093089
16,11,-7.798694152815305,2.6969885226435508e-05,0.00014900663990058405,47,181.0,457,53,63,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.002705625777472985
17,12,-7.798713567525692,1.9414710386911338e-05,0.0001295919295136727,49,194.0,490,55,63,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0019348394331234172
18,13,-7.79873286046414,1.9292938448600694e-05,0.00011029899106507202,54,207.0,523,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0019350033210116006
19,14,-7.7987491887523035,1.6328288163336424e-05,9.397070290173559e-05,75,233.0,589,77,77,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.0065915185372929196
20,14,-7.7987491887523035,1.6328288163336424e-05,9.397070290173559e-05,75,233.0,589,77,77,"d_q_exc_[0, 5]_[7, 6]","[[0, 5], [7, 6]]",-0.0031636281093675236
21,15,-7.798765299318417,1.6110566113169966e-05,7.786013678856563e-05,112,259.0,655,88,88,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.006591496504803699
22,15,-7.798765299318417,1.6110566113169966e-05,7.786013678856563e-05,112,259.0,655,88,88,"d_q_exc_[0, 5]_[9, 8]","[[0, 5], [9, 8]]",-0.0031638755310954866
23,16,-7.798786923569214,2.1624250797103173e-05,5.623588599146245e-05,59,285.0,721,99,99,"d_q_exc_[0, 11]_[5, 4]","[[0, 11], [5, 4]]",0.006321140155535933
24,16,-7.798786923569214,2.1624250797103173e-05,5.623588599146245e-05,59,285.0,721,99,99,"d_q_exc_[1, 10]_[4, 5]","[[1, 10], [4, 5]]",-0.005877206166004876
25,17,-7.798797341455528,1.0417886314506575e-05,4.581799967695588e-05,125,298.0,754,110,110,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0017297723635484525
26,18,-7.798816359232562,1.901777703405827e-05,2.680022264289761e-05,60,324.0,820,121,121,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.005513498573883723
27,18,-7.798816359232562,1.901777703405827e-05,2.680022264289761e-05,60,324.0,820,121,121,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",-0.0035720170771803062
28,19,-7.798824945805732,8.586573169822032e-06,1.8213649473075577e-05,106,350.0,886,132,132,"d_q_exc_[0, 11]_[7, 6]","[[0, 11], [7, 6]]",0.006302916259013713
29,19,-7.798824945805732,8.586573169822032e-06,1.8213649473075577e-05,106,350.0,886,132,132,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",0.0009012935487135236
30,20,-7.798833466229244,8.520423511626518e-06,9.693225961449059e-06,62,376.0,952,143,143,"d_q_exc_[0, 11]_[9, 8]","[[0, 11], [9, 8]]",0.006302928979319337
31,20,-7.798833466229244,8.520423511626518e-06,9.693225961449059e-06,62,376.0,952,143,143,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",0.0009014477178063437
32,21,-7.798836138988427,2.6727591828645814e-06,7.020466778584478e-06,62,402.0,1018,154,154,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.008387312861009862
33,21,-7.798836138988427,2.6727591828645814e-06,7.020466778584478e-06,62,402.0,1018,154,154,"d_q_exc_[0, 3]_[5, 4]","[[0, 3], [5, 4]]",0.0022463406532302276
34,22,-7.798840450888326,4.3118998993563196e-06,2.708566879228158e-06,117,428.0,1084,165,165,"d_q_exc_[0, 11]_[10, 3]","[[0, 11], [10, 3]]",0.03151406139450336
35,22,-7.798840450888326,4.3118998993563196e-06,2.708566879228158e-06,117,428.0,1084,165,165,"d_q_exc_[1, 10]_[11, 2]","[[1, 10], [11, 2]]",-0.0008351458792992643
36,23,-7.798841416066125,9.651777990171695e-07,1.7433890802109886e-06,59,441.0,1117,176,176,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.0012304115613591103
37,24,-7.798841955067105,5.390009798489359e-07,1.2043881003620527e-06,65,447.0,1131,179,180,s_q_exc_1_11,"[[1], [11]]",-0.0019301125794291241
38,24,-7.798841955067105,5.390009798489359e-07,1.2043881003620527e-06,65,447.0,1131,179,180,s_q_exc_0_10,"[[0], [10]]",0.0027022111745202498
