,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.8771196234358944,0.013985934751628903,0.005642225309986593,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11033596833422743
1,2,-7.880581566203079,0.0034619427671849223,0.0021802825428016703,9,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.056988064505594085
2,2,-7.880581566203079,0.0034619427671849223,0.0021802825428016703,9,39.0,99,33,33,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057335202676549825
3,3,-7.880668708374642,8.71421715622489e-05,0.0020931403712394214,9,52.0,132,33,33,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003882490453128639
4,4,-7.881251449985466,0.0005827416108239447,0.0015103987604154767,13,65.0,165,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.02801118211858633
5,5,-7.881806943859655,0.0005554938741898496,0.0009549048862256271,13,78.0,198,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.02802230164991301
6,6,-7.8822179157597905,0.0004109719001350598,0.0005439329860905673,13,91.0,231,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.03139318372108689
7,7,-7.882233950748908,1.6034989117841292e-05,0.000527897996972726,48,104.0,264,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0020976386012731365
8,8,-7.882249868462793,1.5917713884761042e-05,0.000511980283087965,15,117.0,297,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0020979536266926883
9,9,-7.882291154029414,4.128556662053029e-05,0.00047069471646743466,18,143.0,363,72,76,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0035520956785716775
10,9,-7.882291154029414,4.128556662053029e-05,0.00047069471646743466,18,143.0,363,72,76,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.003420895632273979
11,10,-7.8823318395465645,4.068551715086244e-05,0.0004300091993165722,98,169.0,429,78,86,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0035516491287009735
12,10,-7.8823318395465645,4.068551715086244e-05,0.0004300091993165722,98,169.0,429,78,86,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.003420799500486252
13,11,-7.882337633396678,5.79385011345579e-06,0.00042421534920311643,16,182.0,462,78,86,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0011551562652141502
14,12,-7.8827243746728675,0.00038674127618953946,3.747407301357697e-05,86,188.0,476,81,90,s_q_exc_2_4,"[[2], [4]]",-0.038595749670930005
15,12,-7.8827243746728675,0.00038674127618953946,3.747407301357697e-05,86,188.0,476,81,90,s_q_exc_3_5,"[[3], [5]]",0.03888520185853993
16,13,-7.8827413069742605,1.6932301392991178e-05,2.054177162058579e-05,105,194.0,490,84,94,s_q_exc_2_10,"[[2], [10]]",0.005403119180182459
