,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.8771196234358944,0.013985934751628903,0.005642225310004356,5,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11031583431535538
1,2,-7.8789150016501734,0.0017953782142789976,0.0038468470957253587,7,26.0,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.05686732882293088
2,3,-7.8805815662030785,0.0016665645529050366,0.002180282542820322,9,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05703093596314312
3,4,-7.881164294635845,0.0005827284327661886,0.0015975541100541335,10,52.0,132,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028013812524358632
4,5,-7.881719776104262,0.0005554814684174403,0.0010420726416366932,58,65.0,165,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.028024698138072294
5,6,-7.882133592810421,0.00041381670615869837,0.0006282559354779949,11,78.0,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.03154743079874129
6,7,-7.882337609897084,0.00020401708666284435,0.0004242388488151505,12,81.0,205,69,70,s_q_exc_2_4,"[[2], [4]]",-0.03853024222905206
7,8,-7.882520162261168,0.00018255236408393216,0.00024168648473121834,13,84.0,212,69,70,s_q_exc_3_5,"[[3], [5]]",0.03900859460518431
8,9,-7.882597302358427,7.714009725923177e-05,0.00016454638747198658,14,97.0,245,69,70,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.004076993321595883
9,10,-7.8826190779953444,2.1775636917631402e-05,0.00014277075055435517,15,110.0,278,75,80,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.003545861871258725
10,11,-7.8826405860185265,2.150802318201528e-05,0.0001212627273723399,16,123.0,311,75,80,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.003341632805259923
11,12,-7.882661824999681,2.1238981154247938e-05,0.00010002374621809196,21,136.0,344,81,90,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.003545538734712693
12,13,-7.882682802659584,2.097765990338729e-05,7.904608631470467e-05,57,149.0,377,81,90,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.003341632886968334
13,14,-7.882700894633453,1.809197386926087e-05,6.09541124454438e-05,63,162.0,410,81,90,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0020141320007755438
14,15,-7.882718852479863,1.7957846409899503e-05,4.2996266035544295e-05,72,175.0,443,81,90,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002013965354899383
15,16,-7.882734125277457,1.5272797593723908e-05,2.7723468441820387e-05,25,178.0,450,84,94,s_q_exc_2_10,"[[2], [10]]",0.005809687455043252
16,17,-7.882739815977571,5.6907001138029045e-06,2.2032768328017482e-05,82,191.0,483,84,94,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0012252765202562992
17,18,-7.8827421173114365,2.3013338656951987e-06,1.9731434462322284e-05,62,204.0,516,90,104,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0009560408668052992
18,19,-7.882744420223482,2.3029120459483465e-06,1.7428522416373937e-05,84,217.0,549,90,104,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0011272550655344268
19,20,-7.8827462213816055,1.8011581230936713e-06,1.5627364293280266e-05,65,230.0,582,90,104,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.00897372461904064
20,21,-7.8827480137852755,1.792403669931275e-06,1.383496062334899e-05,25,243.0,615,96,114,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.0017615844655725394
21,22,-7.882749631028335,1.617243059470752e-06,1.2217717563878239e-05,127,246.0,622,96,114,s_q_exc_3_11,"[[3], [11]]",-0.0017784173249588604
22,23,-7.882750471626932,8.40598596951736e-07,1.1377118966926503e-05,78,249.0,629,96,114,s_q_exc_1_11,"[[1], [11]]",-0.0005264899915797794
23,24,-7.882751183606638,7.119797063026567e-07,1.0665139260623846e-05,25,252.0,636,96,114,s_q_exc_0_10,"[[0], [10]]",9.626710014705604e-05
24,25,-7.882751496598936,3.129922978573063e-07,1.035214696276654e-05,102,265.0,669,102,124,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.006843253418500285
25,26,-7.882753095865342,1.599266405527544e-06,8.752880557238996e-06,33,278.0,702,102,124,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",0.004015658603896899
26,27,-7.882754678813234,1.5829478927642526e-06,7.169932664474743e-06,122,291.0,735,113,124,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.004015213720442732
27,28,-7.8827557405281174,1.0617148831215673e-06,6.108217781353176e-06,107,304.0,768,113,124,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",-0.0016699115895730699
28,29,-7.882756791610509,1.0510823917897483e-06,5.0571353895634275e-06,86,317.0,801,113,124,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",-0.0016697505090128109
29,30,-7.882757124868533,3.332580238435412e-07,4.723877365719886e-06,90,320.0,808,116,127,s_q_exc_0_2,"[[0], [2]]",-0.002667272768493209
30,31,-7.882757435761362,3.108928288142465e-07,4.41298453690564e-06,32,333.0,841,116,132,"d_q_exc_[1, 10]_[4, 5]","[[1, 10], [4, 5]]",-0.0030127195140011854
