,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.85693648253878,0.012031166868990084,0.0049249581069066295,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.09995740128548346
1,2,-7.859617295887125,0.0026808133483449126,0.002244144758561717,9,39.0,99,28,32,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.04725402420879817
2,2,-7.859617295887125,0.0026808133483449126,0.002244144758561717,9,39.0,99,28,32,"d_q_exc_[3, 2]_[5, 10]","[[3, 2], [5, 10]]",0.04774650011791589
3,3,-7.860354028547859,0.0007367326607345959,0.001507412097827121,101,52.0,132,39,43,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.031785672716037806
4,4,-7.861055626275755,0.0007015977278959085,0.0008058143699312126,12,65.0,165,50,54,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.03180186598388315
5,5,-7.861306445823041,0.0002508195472854524,0.0005549948226457602,31,78.0,198,61,65,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.02370235363693693
6,6,-7.861607119834159,0.00030067401111821823,0.00025432081152754193,14,84.0,212,64,69,s_q_exc_2_4,"[[2], [4]]",-0.03288289515124917
7,6,-7.861607119834159,0.00030067401111821823,0.00025432081152754193,14,84.0,212,64,69,s_q_exc_3_5,"[[3], [5]]",0.03228620851966084
8,7,-7.861679447000538,7.232716637872727e-05,0.00018199364514881466,17,97.0,245,64,69,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0022691812659060297
9,8,-7.861722112295568,4.2665295030275274e-05,0.0001393283501185394,89,123.0,311,70,79,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.003410916561436633
