,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.8771196234358865,0.013985934751620022,0.0056422253100159026,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.110370580905269
1,2,-7.88058156620307,0.003461942767183146,0.0021802825428327566,9,39.0,99,33,33,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057052917977983855
2,2,-7.88058156620307,0.003461942767183146,0.0021802825428327566,9,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05643409322237088
3,3,-7.881164294635832,0.0005827284327626359,0.0015975541100701207,39,52.0,132,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.02816349767009068
4,4,-7.881719776104255,0.0005554814684227694,0.0010420726416473514,53,65.0,165,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.028385057361241087
5,5,-7.882133592810409,0.0004138167061542575,0.0006282559354930939,12,78.0,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.031030305147642493
6,6,-7.882520162261164,0.0003865694507547701,0.00024168648473832377,14,84.0,212,69,70,s_q_exc_2_4,"[[2], [4]]",-0.03896763538956499
7,6,-7.882520162261164,0.0003865694507547701,0.00024168648473832377,14,84.0,212,69,70,s_q_exc_3_5,"[[3], [5]]",0.035670121957146576
8,7,-7.8825973023584215,7.714009725745541e-05,0.00016454638748086836,14,97.0,245,69,70,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.0038289590609817104
9,8,-7.882640357219935,4.3054861513347475e-05,0.00012149152596752089,17,123.0,311,75,80,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0030504127386641326
10,8,-7.882640357219935,4.3054861513347475e-05,0.00012149152596752089,17,123.0,311,75,80,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0030354566730611708
