,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435893,0.013985934751627127,0.0056422253100008035,6,13.0,33,11,11,"spin_d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11034778521411957
2,2,-7.8805815651666435,0.0034619417307508726,0.002180283579249931,8,39.0,99,28,32,"spin_d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.0014356307132710002
3,3,-7.880668707338972,8.714217232874688e-05,0.002093141406921184,11,52.0,132,28,32,"spin_d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003967447518819872
4,4,-7.8812514490247105,0.0005827416857382417,0.0015103997211829423,14,65.0,165,39,43,"spin_d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.027920619873598562
5,5,-7.8818069429658015,0.0005554939410910009,0.0009549057800919414,15,78.0,198,50,54,"spin_d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.027931607677408918
6,6,-7.882217914401923,0.00041097143612134346,0.0005439343439705979,98,91.0,231,61,65,"spin_d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.03129624346918445
7,7,-7.882257200653845,3.9286251921843984e-05,0.0005046480920487539,36,117.0,297,67,75,"spin_d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0031407921447319785
8,8,-7.882295915910815,3.8715256970078826e-05,0.0004659328350786751,17,143.0,363,73,85,"spin_d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.003141083507912602
9,9,-7.882681652789045,0.00038573687823006964,8.019595684860548e-05,71,149.0,377,76,89,spin_s_q_exc_5_3,"[3, 5]",0.03856217148467425
10,10,-7.882699810027014,1.815723796916302e-05,6.203871887944246e-05,91,162.0,410,76,89,"spin_d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0019151186099070768
11,11,-7.882717832167558,1.8022140544360354e-05,4.40165783350821e-05,71,175.0,443,76,89,"spin_d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0019154472791961797
12,12,-7.882723604900365,5.772732806441638e-06,3.824384552864046e-05,179,188.0,476,76,89,"spin_d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.001346927946756305
13,13,-7.882728054743706,4.449843340914583e-06,3.379400218772588e-05,77,214.0,542,82,99,"spin_d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.007576794314218344
14,14,-7.882731555947629,3.501203923228502e-06,3.0292798264497378e-05,24,240.0,608,88,109,"spin_d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008266614083097929
15,15,-7.882745777588982,1.4221641353451275e-05,1.6071156911046103e-05,58,246.0,622,91,113,spin_s_q_exc_11_3,"[3, 11]",0.0001251828358028759
16,16,-7.8827473165252115,1.5389362291173825e-06,1.453222068192872e-05,25,252.0,636,91,113,spin_s_q_exc_11_1,"[1, 11]",-0.0003020659308256297
17,17,-7.882747904109245,5.875840338731564e-07,1.3944636648055564e-05,88,278.0,702,102,123,"spin_d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0002148950494443125
18,18,-7.8827480050501055,1.0094086011491754e-07,1.3843695787940646e-05,130,304.0,768,119,124,"spin_d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.0005518406279552345
19,19,-7.882748280116795,2.750666894257847e-07,1.3568629098514862e-05,122,310.0,782,122,128,spin_s_q_exc_5_1,"[1, 5]",-0.00017034182278546678
20,20,-7.882748490338226,2.1022143137372495e-07,1.3358407667141137e-05,132,336.0,848,133,139,"spin_d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.0028925868021887563
21,21,-7.882748565921026,7.55827995746472e-08,1.328282486756649e-05,71,362.0,914,144,150,"spin_d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-5.4152206226612155e-05
22,22,-7.882751120430815,2.5545097894763558e-06,1.0728315078090134e-05,108,388.0,980,155,161,"spin_d_q_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",0.009191513860564526
23,23,-7.882753650343753,2.5299129378097973e-06,8.198402140280336e-06,85,414.0,1046,166,172,"spin_d_q_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",0.009207271370557251
24,24,-7.882754287502974,6.371592204956755e-07,7.561242919784661e-06,147,440.0,1112,177,183,"spin_d_q_exc_[1, 10]_[5, 4]","[[1, 10], [5, 4]]",0.0032811167299459966
25,25,-7.88275435778289,7.027991610897288e-08,7.490963003675688e-06,101,466.0,1178,194,204,"spin_d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.0007516175403347094
26,26,-7.882754858946352,5.011634618412586e-07,6.989799541834429e-06,115,492.0,1244,205,215,"spin_d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-0.01463658784540462
