,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-14.746498735734693,29.464697869334522,7,0.5850933384637216,10,13.0,33,11,11,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",4.711677066419066
1,2,-14.963481110055385,0.21698237432069156,0,0.36811096414303,13,26.0,66,17,21,"d_q_exc_[3, 10]_[8, 9]","[[3, 10], [8, 9]]",-1.5711730534512809
2,3,-15.030524724642175,0.06704361458679031,3,0.3010673495562397,13,39.0,99,22,27,"d_q_exc_[2, 11]_[3, 10]","[[2, 11], [3, 10]]",-0.7824974531633443
3,4,-15.050524579064078,0.01999985442190244,6,0.28106749513433726,15,52.0,132,33,38,"d_q_exc_[3, 13]_[5, 11]","[[3, 13], [5, 11]]",-0.2885421512753011
4,5,-15.075551808915405,0.025027229851326993,8,0.25604026528301027,42,65.0,165,33,38,"d_q_exc_[2, 12]_[4, 10]","[[2, 12], [4, 10]]",-0.29142048792816533
5,6,-15.080279703184374,0.004727894268969024,9,0.25131237101404125,9,78.0,198,33,38,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.052850741443914176
6,7,-15.08539322958803,0.0051135264036563655,1,0.24619884461038488,13,91.0,231,44,48,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.12531311600707348
7,8,-15.088314648631556,0.0029214190435258303,9,0.24327742556685905,19,104.0,264,44,48,"d_q_exc_[5, 10]_[11, 12]","[[5, 10], [11, 12]]",0.08874136480527815
8,9,-15.092209659484306,0.0038950108527497918,9,0.23938241471410926,50,117.0,297,55,55,"d_q_exc_[2, 13]_[3, 4]","[[2, 13], [3, 4]]",0.08851979555593828
9,10,-15.092444536547058,0.000234877062752048,6,0.2391475376513572,51,130.0,330,55,55,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.017379569195195205
10,11,-15.09266448770937,0.00021995116231288137,6,0.23892758648904433,38,143.0,363,55,55,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.017386175282463737
11,12,-15.092700271856112,3.5784146740880374e-05,9,0.23889180234230345,14,156.0,396,55,55,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0018017829228136643
12,13,-15.092732421842275,3.214998616307696e-05,6,0.23885965235614037,17,169.0,429,60,61,"d_q_exc_[0, 4]_[2, 12]","[[0, 4], [2, 12]]",-0.0447783637797574
13,14,-15.092765182448455,3.2760606179849106e-05,7,0.23882689174996052,57,182.0,462,60,61,"d_q_exc_[0, 5]_[3, 12]","[[0, 5], [3, 12]]",0.0017266224650235064
14,15,-15.092797035510186,3.185306173136837e-05,6,0.23879503868822916,58,195.0,495,60,67,"d_q_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",-0.006281699631180908
15,16,-15.092829716421956,3.26809117705551e-05,7,0.2387623577764586,25,208.0,528,65,67,"d_q_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",-0.002948532810058115
16,17,-15.092859359903567,2.964348161071939e-05,5,0.23873271429484788,71,221.0,561,65,67,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",-0.0030155400012556147
17,18,-15.092973465855435,0.00011410595186767125,0,0.2386186083429802,30,224.0,568,65,70,s_q_exc_3_11,"[[3], [11]]",0.08703096114552557
18,19,-15.093918234052044,0.0009447681966090471,7,0.23767384014637116,59,227.0,575,68,71,s_q_exc_2_10,"[[2], [10]]",-0.055240557621516674
19,20,-15.093949196304358,3.096225231402627e-05,7,0.23764287789405714,112,240.0,608,74,81,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.00041621689949665014
20,21,-15.093979210254426,3.0013950068408235e-05,6,0.23761286394398873,95,253.0,641,74,81,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",-0.0033181797349532698
21,22,-15.094009034354846,2.9824100419517663e-05,6,0.2375830398435692,106,266.0,674,74,81,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",0.004373358473693854
22,23,-15.094038195488682,2.9161133836552722e-05,6,0.23755387870973266,69,279.0,707,74,81,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.004370960252586278
23,24,-15.094065531105988,2.733561730572376e-05,9,0.23752654309242693,88,292.0,740,74,81,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0017607589551321286
24,25,-15.094091793716123,2.626261013460862e-05,9,0.23750028048229233,28,305.0,773,77,85,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001760962339241028
25,26,-15.094117096685972,2.530296984915026e-05,9,0.23747497751244317,67,318.0,806,84,96,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.00046565652041874353
26,27,-15.094131776783833,1.4680097860875208e-05,9,0.2374602974145823,51,331.0,839,88,96,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0017308308706222434
27,28,-15.094146306990101,1.4530206268403845e-05,9,0.2374457672083139,32,344.0,872,99,99,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.001872638621805956
28,29,-15.094155791617972,9.48462787064841e-06,1,0.23743628258044325,53,347.0,879,99,99,s_q_exc_4_12,"[[4], [12]]",0.0026359168454054547
29,30,-15.09416377108638,7.979468408692014e-06,9,0.23742830311203456,71,360.0,912,110,110,"d_q_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",9.087500275967831e-05
