,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.181415461283837,16.481297800405446,0.15243557451369938,3,3.0,7,3,4,eff_s_f_exc_6_5,"[[5], [6]]",1.5707963367987614
1,2,-15.223910349116169,0.042494887832331685,0.1099406866813677,78,28.0,42,13,13,"eff_d_f_exc_[3, 6]_[5, 12]","[[3, 6], [5, 12]]",0.5175873498138492
2,3,-15.25895886336453,0.035048514248360974,0.07489217243300672,11,41.0,75,14,20,"eff_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",1.3117321556546833
3,4,-15.279300501321648,0.020341637957118408,0.05455053447588831,16,66.0,110,18,20,"eff_d_f_exc_[2, 7]_[4, 13]","[[2, 7], [4, 13]]",1.1310552571530565
4,5,-15.288070490444149,0.008769989122500377,0.045780545353387936,22,87.0,145,26,26,"eff_d_f_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.9043035226885721
5,6,-15.302651462290163,0.014580971846013924,0.031199573507374012,25,116.0,180,39,33,"eff_d_f_exc_[2, 3]_[4, 13]","[[2, 3], [4, 13]]",-1.5724118854294171
6,7,-15.308383925313624,0.0057324630234614204,0.02546711048391259,23,129.0,213,50,44,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.25105168964328367
7,8,-15.31780505588959,0.00942113057596572,0.016045979907946872,128,146.0,248,50,44,"eff_d_f_exc_[3, 6]_[8, 9]","[[3, 6], [8, 9]]",-0.24342959746650142
8,9,-15.331090300560401,0.01328524467081138,0.002760735237135492,25,159.0,281,50,44,"eff_d_f_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.6300437561164846
9,10,-15.331925406484704,0.0008351059243025816,0.0019256293128329105,33,172.0,314,50,44,"eff_d_f_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",-0.7569536008177944
10,11,-15.333302142936164,0.001376736451460303,0.0005488928613726074,38,189.0,325,50,44,eff_s_f_exc_13_5,"[[5], [13]]",0.4151046264284394
11,12,-15.33345228368948,0.00015014075331620802,0.0003987521080563994,98,194.0,336,53,47,eff_s_f_exc_2_0,"[[0], [2]]",-0.024891056030917045
12,13,-15.333578731616356,0.00012644792687588335,0.000272304181180516,43,219.0,371,53,47,"eff_d_f_exc_[4, 13]_[11, 10]","[[4, 13], [11, 10]]",0.11331697605605559
13,14,-15.333664496758992,8.576514263580748e-05,0.00018653903854470855,53,232.0,404,57,53,"eff_d_f_exc_[0, 3]_[2, 1]","[[0, 3], [2, 1]]",0.23948480124463778
14,15,-15.333721743059598,5.724630060655045e-05,0.0001292927379381581,121,249.0,439,62,59,"eff_d_f_exc_[1, 6]_[3, 2]","[[1, 6], [3, 2]]",0.006782966092052479
15,16,-15.333755528153068,3.37850934695183e-05,9.55076444686398e-05,59,274.0,474,75,70,"eff_d_f_exc_[2, 4]_[6, 12]","[[2, 4], [6, 12]]",0.024655268268043172
16,17,-15.3337771475466,2.1619393532290587e-05,7.388825093634921e-05,51,287.0,507,80,76,"eff_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.005999232554003194
17,18,-15.333794936080388,1.7788533787310712e-05,5.60997171490385e-05,63,300.0,540,80,76,"eff_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.04941667750338032
18,19,-15.33381041730297,1.548122258299145e-05,4.061849456604705e-05,77,321.0,575,84,82,"eff_d_f_exc_[0, 7]_[2, 1]","[[0, 7], [2, 1]]",0.06609252569065592
