,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.18967064796745,9.566154769122793,0.1461980902175366,4,3.0,7,3,4,eff_s_f_exc_6_5,"[[5], [6]]",1.5707963196213706
1,2,-15.232624490565112,0.04295384259766166,0.10324424761987494,4,12.0,18,7,8,eff_s_f_exc_7_3,"[[3], [7]]",-0.45601707055059404
2,3,-15.284151124875661,0.051526634310549824,0.05171761330932512,69,29.0,29,11,8,eff_s_f_exc_12_4,"[[4], [12]]",0.30245312508053496
3,4,-15.296027097157733,0.0118759722820716,0.039841641027253516,10,50.0,64,15,13,"eff_d_f_exc_[2, 7]_[8, 9]","[[2, 7], [8, 9]]",0.6018470135689354
4,5,-15.306292754001937,0.01026565684420433,0.029575984183049187,11,63.0,97,24,22,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.26203056901576216
5,6,-15.321787800595438,0.015495046593500206,0.01408093758954898,17,72.0,108,29,30,eff_s_f_exc_6_2,"[[2], [6]]",-0.5621500968402988
6,7,-15.330363772150289,0.008575971554851236,0.005504966034697745,23,85.0,141,29,30,"eff_d_f_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",-0.7283043017218953
7,8,-15.334948207013335,0.004584434863046383,0.000920531171651362,27,106.0,176,30,30,"eff_d_f_exc_[5, 12]_[11, 10]","[[5, 12], [11, 10]]",0.6433935351928676
8,9,-15.335267471972038,0.0003192649587031582,0.0006012662129482038,33,119.0,209,36,30,"eff_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.10565068495624345
9,10,-15.335423876696256,0.00015640472421729612,0.0004448614887309077,31,124.0,220,36,33,eff_s_f_exc_2_0,"[[0], [2]]",-0.026832213104264813
10,11,-15.335523952083634,0.0001000753873778848,0.0003447861013530229,46,137.0,253,36,39,"eff_d_f_exc_[0, 3]_[2, 1]","[[0, 3], [2, 1]]",0.5279796082267191
11,12,-15.335639375120287,0.0001154230366537945,0.0002293630646992284,51,154.0,288,49,50,"eff_d_f_exc_[2, 7]_[5, 4]","[[2, 7], [5, 4]]",0.37728235933788606
12,13,-15.335705997448802,6.662232851439853e-05,0.00016274073618482987,58,179.0,323,49,50,"eff_d_f_exc_[4, 13]_[11, 10]","[[4, 13], [11, 10]]",-0.059045622549482694
13,14,-15.335769497873835,6.350042503378006e-05,9.924031115104981e-05,62,204.0,358,49,50,"eff_d_f_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",0.05364506258793808
14,15,-15.335803586405824,3.408853198827444e-05,6.515177916277537e-05,58,221.0,393,54,56,"eff_d_f_exc_[1, 6]_[3, 2]","[[1, 6], [3, 2]]",0.007444181247100384
15,16,-15.335821323846739,1.773744091515539e-05,4.741433824761998e-05,59,234.0,426,59,62,"eff_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.004462829886282577
16,17,-15.335838552096664,1.7228249925338446e-05,3.0186088322281535e-05,77,255.0,461,64,68,"eff_d_f_exc_[0, 7]_[3, 2]","[[0, 7], [3, 2]]",-2.329591140264273
17,18,-15.335844212291509,5.660194844381294e-06,2.452589347790024e-05,79,288.0,496,68,68,"eff_d_f_exc_[0, 13]_[6, 5]","[[0, 13], [6, 5]]",0.018576228958499398
18,19,-15.335849333682367,5.121390858064956e-06,1.9404502619835284e-05,79,301.0,529,73,74,"eff_d_f_exc_[1, 6]_[2, 7]","[[1, 6], [2, 7]]",-0.002459486430806919
19,20,-15.335851788603467,2.4549211001811955e-06,1.694958151965409e-05,83,326.0,564,75,74,"eff_d_f_exc_[1, 4]_[7, 12]","[[1, 4], [7, 12]]",0.0016506019149082228
20,21,-15.335854447278003,2.6586745356382835e-06,1.4290906984015805e-05,84,355.0,599,77,74,"eff_d_f_exc_[1, 13]_[5, 3]","[[1, 13], [5, 3]]",-0.036691774140655324
21,22,-15.335856545518272,2.0982402695324254e-06,1.219266671448338e-05,138,384.0,634,77,74,"eff_d_f_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",0.004380816670438594
22,23,-15.335858667175163,2.1216568910631395e-06,1.007100982342024e-05,87,397.0,667,79,80,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0014698096566317328
23,24,-15.33586337105432,4.70387915640913e-06,5.367130667011111e-06,126,410.0,700,88,90,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.001469809899767105
24,25,-15.335864675310777,1.3042564575016513e-06,4.0628742095094594e-06,145,439.0,735,90,90,"eff_d_f_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",-0.014002580351984732
25,26,-15.335865533329658,8.580188808338107e-07,3.2048553286756487e-06,94,464.0,770,101,100,"eff_d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.00033326155608825656
26,27,-15.33586726244933,1.7291196723334679e-06,1.4757356563421808e-06,109,485.0,805,114,107,"eff_d_f_exc_[0, 3]_[2, 7]","[[0, 3], [2, 7]]",0.0710789461352714
27,28,-15.335867754112153,4.916628224549413e-07,9.840728338872395e-07,113,490.0,816,114,108,eff_s_f_exc_3_1,"[[1], [3]]",-0.00646693670152691
28,29,-15.335867944873105,1.9076095192360754e-07,7.93311881963632e-07,198,519.0,851,127,118,"eff_d_f_exc_[0, 12]_[6, 4]","[[0, 12], [6, 4]]",-0.008411198860480298
29,30,-15.335868094945262,1.5007215736773105e-07,6.43239724595901e-07,121,548.0,886,127,119,"eff_d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.006032345764252501
30,31,-15.335868128684211,3.373894941205435e-08,6.095007751838466e-07,94,569.0,921,127,130,"eff_d_f_exc_[1, 6]_[8, 9]","[[1, 6], [8, 9]]",-0.00015407877545792765
31,32,-15.33586821453491,8.58506989942498e-08,5.236500761895968e-07,99,590.0,956,139,141,"eff_d_f_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",-0.00015407744642657374
32,33,-15.335868240752784,2.6217874093958926e-08,4.974322020956379e-07,80,619.0,991,141,141,"eff_d_f_exc_[0, 2]_[4, 12]","[[0, 2], [4, 12]]",0.07630799928702203
