,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.155607336063902,30.058685732251035,0,0.037944544457401364,3,3.0,7,3,4,s_q_exc_4_7,"[[4], [7]]",1.5707963251719623
1,2,-15.169763993994408,0.014156657930506356,0,0.023787886526895008,1,16.0,40,11,11,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",0.18222017214451863
2,3,-15.174630168867278,0.004866174872869777,1,0.01892171165402523,90,29.0,73,14,20,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.466137823503102
3,4,-15.178877064746032,0.004246895878754486,0,0.014674815775270744,13,32.0,80,14,20,s_q_exc_5_13,"[[5], [13]]",0.08130565351617072
4,5,-15.182372264653198,0.0034951999071655138,1,0.01117961586810523,109,45.0,113,25,31,"d_q_exc_[4, 7]_[6, 5]","[[4, 7], [6, 5]]",-0.5214869121045987
5,6,-15.185392396173022,0.003020131519823721,4,0.00815948434828151,27,58.0,146,25,31,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.7734768841488304
6,7,-15.187884346097556,0.002491949924534609,4,0.0056675344237469005,34,71.0,179,25,31,"d_q_exc_[2, 13]_[12, 11]","[[2, 13], [12, 11]]",-0.8855965480019121
7,8,-15.190081796436985,0.0021974503394286415,0,0.003470084084318259,37,84.0,212,25,32,"d_q_exc_[3, 11]_[5, 13]","[[3, 11], [5, 13]]",0.25835327933805413
8,9,-15.191458829220107,0.0013770327831217344,2,0.0020930513011965246,46,97.0,245,25,34,"d_q_exc_[10, 13]_[12, 11]","[[10, 13], [12, 11]]",0.43766284102273395
9,10,-15.192736594480747,0.0012777652606406065,5,0.0008152860405559181,53,110.0,278,33,42,"d_q_exc_[2, 5]_[3, 12]","[[2, 5], [3, 12]]",-0.8692689246401858
10,11,-15.192883290629567,0.00014669614881945847,1,0.0006685898917364597,60,123.0,311,33,42,"d_q_exc_[6, 13]_[12, 7]","[[6, 13], [12, 7]]",0.2405930974788224
11,12,-15.193027272248864,0.00014398161929740638,4,0.0005246082724390533,70,136.0,344,40,53,"d_q_exc_[5, 10]_[11, 12]","[[5, 10], [11, 12]]",-0.4731647629857412
12,13,-15.193102894575818,7.56223269533507e-05,0,0.0004489859454857026,69,139.0,351,40,53,s_q_exc_0_2,"[[0], [2]]",-0.060668876203644855
13,14,-15.193175682551587,7.278797576937279e-05,0,0.0003761979697163298,67,152.0,384,42,53,"d_q_exc_[0, 2]_[4, 12]","[[0, 2], [4, 12]]",0.0028212224330329237
14,15,-15.193242603571763,6.692102017602508e-05,0,0.0003092769495403047,71,165.0,417,48,59,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.14324048036625045
15,16,-15.193300942961988,5.833939022537038e-05,0,0.00025093755931493433,154,168.0,424,48,59,s_q_exc_1_3,"[[1], [3]]",0.11700007158906825
16,17,-15.193348748286406,4.780532441728269e-05,1,0.00020313223489765164,89,181.0,457,50,69,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.054075645934146405
17,18,-15.193390454192128,4.1705905722722036e-05,0,0.0001614263291749296,68,194.0,490,50,69,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.001901626456709393
18,19,-15.193417849544806,2.739535267792803e-05,0,0.00013403097649700157,94,207.0,523,59,75,"d_q_exc_[2, 11]_[5, 4]","[[2, 11], [5, 4]]",0.07963718811857479
19,20,-15.193440103969179,2.2254424372647463e-05,0,0.00011177655212435411,76,220.0,556,59,75,"d_q_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",-0.0009923019805388638
20,21,-15.193464013445725,2.390947654618003e-05,1,8.786707557817408e-05,116,233.0,589,64,75,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.002608859879342733
21,22,-15.193484248720445,2.0235274719837548e-05,1,6.763180085833653e-05,102,246.0,622,64,81,"d_q_exc_[1, 12]_[10, 5]","[[1, 12], [10, 5]]",-0.11307507401507212
22,23,-15.193502355333635,1.810661319012752e-05,0,4.9525187668209014e-05,170,259.0,655,64,81,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.00019409582053992583
23,24,-15.193519762631059,1.7407297423943646e-05,0,3.211789024426537e-05,139,272.0,688,69,81,"d_q_exc_[0, 7]_[6, 11]","[[0, 7], [6, 11]]",0.0009749725204845873
24,25,-15.193525946839845,6.18420878595316e-06,0,2.5933681458312208e-05,83,285.0,721,80,87,"d_q_exc_[0, 13]_[10, 5]","[[0, 13], [10, 5]]",0.038228623454554425
25,26,-15.193530113831413,4.1669915677999825e-06,6,2.1766689890512225e-05,154,298.0,754,91,92,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001592531729397673
26,27,-15.193533659243586,3.5454121736222532e-06,0,1.8221277716889972e-05,86,311.0,787,91,92,"d_q_exc_[3, 6]_[4, 11]","[[3, 6], [4, 11]]",3.141592650687657
27,28,-15.19353619903546,2.539791873701347e-06,3,1.5681485843188625e-05,187,324.0,820,102,103,"d_q_exc_[0, 3]_[2, 1]","[[0, 3], [2, 1]]",-0.5726358225939141
28,29,-15.193538626889037,2.427853576847383e-06,1,1.3253632266341242e-05,126,337.0,853,113,114,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.021928962837047785
29,30,-15.193540308618612,1.6817295751536676e-06,0,1.1571902691187574e-05,133,350.0,886,113,114,"d_q_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.014459385929650754
30,31,-15.193541401963751,1.0933451388694948e-06,0,1.047855755231808e-05,140,363.0,919,124,125,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.000459061289063018
31,32,-15.193542317883802,9.159200509145649e-07,1,9.562637501403515e-06,209,376.0,952,124,125,"d_q_exc_[1, 10]_[2, 11]","[[1, 10], [2, 11]]",-0.030807838348658887
32,33,-15.193543270193214,9.523094117724895e-07,0,8.610328089631025e-06,195,389.0,985,124,125,"d_q_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",-0.002922141541371255
33,34,-15.19354406601772,7.958245067385405e-07,0,7.814503582892485e-06,120,402.0,1018,135,136,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",-0.00031994713352174
34,35,-15.193544797531995,7.315142749320103e-07,0,7.0829893079604744e-06,158,415.0,1051,146,147,"d_q_exc_[0, 5]_[3, 12]","[[0, 5], [3, 12]]",-0.006859289214784397
35,36,-15.193545644449522,8.46917526331481e-07,0,6.2360717816289934e-06,94,428.0,1084,157,158,"d_q_exc_[0, 11]_[9, 8]","[[0, 11], [9, 8]]",0.001383266677940556
36,37,-15.193546207980198,5.635306763451808e-07,0,5.672541105283813e-06,196,441.0,1117,168,169,"d_q_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",0.00151315374598006
37,38,-15.193546609753424,4.017732262440177e-07,3,5.270767879039795e-06,207,454.0,1150,179,180,"d_q_exc_[0, 13]_[4, 1]","[[0, 13], [4, 1]]",0.6355039334384002
38,39,-15.193546953292032,3.4353860733915553e-07,0,4.927229271700639e-06,130,467.0,1183,190,191,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",-0.0019104536567991243
39,40,-15.193547266863945,3.1357191332404e-07,7,4.613657358376599e-06,198,480.0,1216,190,191,"d_q_exc_[3, 10]_[5, 12]","[[3, 10], [5, 12]]",-0.024454974210309493
40,41,-15.193547489918233,2.2305428792890325e-07,0,4.390603070447696e-06,148,493.0,1249,201,202,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",0.0009645862624513236
41,42,-15.193548366215431,8.76297198360021e-07,9,3.514305872087675e-06,155,506.0,1282,212,213,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0007629489453177282
42,43,-15.193548563611147,1.9739571577304105e-07,4,3.316910156314634e-06,196,519.0,1315,223,224,"d_q_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",0.00041063830850870167
43,44,-15.193548748638344,1.8502719711932514e-07,1,3.131882959195309e-06,191,532.0,1348,234,235,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0018971575646183488
44,45,-15.193548930540144,1.8190180028909708e-07,8,2.949981158906212e-06,255,545.0,1381,245,246,"d_q_exc_[0, 13]_[11, 4]","[[0, 13], [11, 4]]",-0.01514505057486047
45,46,-15.193549466670765,5.361306207873895e-07,3,2.4138505381188224e-06,267,558.0,1414,256,257,"d_q_exc_[0, 5]_[4, 3]","[[0, 5], [4, 3]]",-0.001168147883469699
46,47,-15.19354971190497,2.452342044989564e-07,3,2.168616333619866e-06,244,571.0,1447,256,257,"d_q_exc_[1, 4]_[2, 5]","[[1, 4], [2, 5]]",0.00903822854903241
47,48,-15.193549846347693,1.3444272362050924e-07,0,2.034173609999357e-06,167,584.0,1480,256,257,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.007277089300568576
48,49,-15.193550606548195,7.602005016593694e-07,8,1.2739731083399874e-06,224,597.0,1513,267,268,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",0.003851157992078401
49,50,-15.193550693913156,8.73649614874239e-08,2,1.1866081468525636e-06,245,610.0,1546,278,279,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.0010116738001467733
50,51,-15.193550775580926,8.166776943596687e-08,5,1.1049403774165967e-06,314,623.0,1579,289,290,"d_q_exc_[0, 11]_[2, 1]","[[0, 11], [2, 1]]",0.025947649486616417
51,52,-15.19355083469468,5.9113753891892884e-08,3,1.0458266235247038e-06,259,636.0,1612,300,301,"d_q_exc_[0, 12]_[10, 4]","[[0, 12], [10, 4]]",-0.015790763457513582
52,53,-15.193550876247203,4.1552523200039104e-08,0,1.0042741003246647e-06,231,649.0,1645,311,312,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.003287916232912554
53,54,-15.193550946845729,7.059852613622297e-08,8,9.336755741884417e-07,309,662.0,1678,322,323,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0017719549304765726
54,55,-15.193551073367308,1.2652157899140093e-07,8,8.071539951970408e-07,286,675.0,1711,333,334,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.019227577123648053
55,56,-15.193551299439049,2.2607174088307147e-07,9,5.810822543139693e-07,307,688.0,1744,344,345,"d_q_exc_[0, 13]_[4, 1]","[[0, 13], [4, 1]]",-0.6136584506331124
