,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.18141546128384,16.481297800405436,0.15243557451374734,3,3.0,7,3,4,s_q_exc_5_6,"[[5], [6]]",1.570796316516836
1,2,-15.223910349116172,0.042494887832331685,0.10994068668141566,65,16.0,40,11,13,"d_q_exc_[3, 6]_[5, 12]","[[3, 6], [5, 12]]",0.3524407025470241
2,3,-15.258958863364537,0.035048514248364526,0.07489217243305113,11,29.0,73,14,20,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-1.0470402489372304
3,4,-15.282278078141106,0.023319214776568842,0.05157295765648229,15,32.0,80,14,20,s_q_exc_3_7,"[[3], [7]]",0.37115635349004583
4,5,-15.297920544426464,0.01564246628535848,0.03593049137112381,83,45.0,113,14,20,"d_q_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.33836316498156116
5,6,-15.302769917527115,0.004849373100650922,0.031081118270472885,17,58.0,146,22,25,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.24597929555272094
6,7,-15.309149880826723,0.006379963299607994,0.02470115497086489,18,71.0,179,25,30,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.369221545431457
7,8,-15.320908210187051,0.011758329360327835,0.012942825610537056,23,84.0,212,25,30,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",0.785397113286618
8,9,-15.32966478910924,0.008756578922188396,0.00418624668834866,22,87.0,219,25,30,s_q_exc_4_12,"[[4], [12]]",0.1752991325640765
9,10,-15.33308705968099,0.0034222705717503743,0.0007639761165982861,26,90.0,226,28,33,s_q_exc_2_6,"[[2], [6]]",-0.1834275492006435
10,11,-15.333424035650296,0.0003369759693061525,0.00042700014729213365,29,93.0,233,28,33,s_q_exc_5_13,"[[5], [13]]",-0.16813804164714788
11,12,-15.33357509483181,0.0001510591815137019,0.00027594096577843175,95,96.0,240,28,33,s_q_exc_0_2,"[[0], [2]]",-0.028288235619047714
12,13,-15.33366056883667,8.54740048605862e-05,0.00019046696091784554,42,109.0,273,33,35,"d_q_exc_[0, 3]_[2, 1]","[[0, 3], [2, 1]]",0.5769643076576886
13,14,-15.333722196095438,6.162725876812658e-05,0.00012883970214971896,48,122.0,306,44,46,"d_q_exc_[2, 4]_[6, 12]","[[2, 4], [6, 12]]",-0.048237263312343355
14,15,-15.333753230949064,3.10348536256555e-05,9.780484852406346e-05,45,135.0,339,48,52,"d_q_exc_[1, 6]_[3, 2]","[[1, 6], [3, 2]]",-0.017098068079736375
15,16,-15.333781497379727,2.8266430662782227e-05,6.953841786128123e-05,64,148.0,372,48,55,"d_q_exc_[3, 12]_[6, 13]","[[3, 12], [6, 13]]",-2.6580766729676286
16,17,-15.333803109503963,2.161212423601455e-05,4.792629362526668e-05,46,161.0,405,53,58,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.0032485057343643376
17,18,-15.33381834474953,1.5235245566458389e-05,3.269104805880829e-05,80,174.0,438,64,69,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.5295740374372765
18,19,-15.333827062666899,8.71791736933858e-06,2.3973130689469713e-05,100,187.0,471,75,80,"d_q_exc_[2, 7]_[6, 3]","[[2, 7], [6, 3]]",-0.3566834881521827
19,20,-15.33383003874049,2.976073592009243e-06,2.099705709746047e-05,68,200.0,504,75,80,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.001342775816162014
20,21,-15.33383197810247,1.9393619794527694e-06,1.90576951180077e-05,99,213.0,537,81,90,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.005420832640402405
21,22,-15.333833870407496,1.8923050255637008e-06,1.7165390092444e-05,165,226.0,570,81,90,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0014774115790036676
22,23,-15.333838370536895,4.500129399787056e-06,1.2665260692656943e-05,72,239.0,603,81,90,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0014774076135150888
23,24,-15.33384023448129,1.8639443943868628e-06,1.080131629827008e-05,59,252.0,636,81,90,"d_q_exc_[0, 13]_[6, 5]","[[0, 13], [6, 5]]",-0.015837141085158105
24,25,-15.333841887706257,1.6532249667022825e-06,9.148091331567798e-06,120,265.0,669,92,101,"d_q_exc_[2, 13]_[6, 5]","[[2, 13], [6, 5]]",0.02559442428612786
25,26,-15.33384334990004,1.4621937829417675e-06,7.68589754862603e-06,120,268.0,676,92,101,s_q_exc_1_7,"[[1], [7]]",-0.0006097468059018229
26,27,-15.333844710930801,1.361030761870552e-06,6.324866786755479e-06,105,281.0,709,92,101,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.2682637691761858
27,28,-15.33384588768406,1.1767532583917273e-06,5.148113528363751e-06,110,294.0,742,92,101,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.002139326794719239
28,29,-15.333846428738237,5.410541774608646e-07,4.607059350902887e-06,120,307.0,775,92,101,"d_q_exc_[3, 13]_[7, 5]","[[3, 13], [7, 5]]",0.37770837741712115
29,30,-15.333847402127924,9.733896870756098e-07,3.633669663827277e-06,212,320.0,808,98,111,"d_q_exc_[1, 2]_[3, 6]","[[1, 2], [3, 6]]",0.003057532496760087
30,31,-15.333848143123786,7.409958620030466e-07,2.8926738018242304e-06,146,333.0,841,98,111,"d_q_exc_[1, 13]_[7, 5]","[[1, 13], [7, 5]]",0.00844824395140775
31,32,-15.333848655542358,5.124185715743579e-07,2.3802552302498725e-06,171,346.0,874,103,117,"d_q_exc_[0, 5]_[2, 13]","[[0, 5], [2, 13]]",-0.0067531213800530706
32,33,-15.333849000240171,3.4469781340362715e-07,2.0355574168462454e-06,194,359.0,907,109,127,"d_q_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.0015607720684301153
33,34,-15.333849323080596,3.228404246158334e-07,1.712716992230412e-06,162,372.0,940,109,127,"d_q_exc_[1, 13]_[5, 3]","[[1, 13], [5, 3]]",0.01332314057967284
34,35,-15.333849692137893,3.690572967229855e-07,1.3436596955074265e-06,281,385.0,973,114,137,"d_q_exc_[1, 6]_[3, 2]","[[1, 6], [3, 2]]",-0.0015450867589800073
35,36,-15.333849963190087,2.710521940230137e-07,1.0726075014844128e-06,200,398.0,1006,114,137,"d_q_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",0.22976970239161423
36,37,-15.33385030552082,3.42330732649998e-07,7.302767688344147e-07,199,411.0,1039,118,143,"d_q_exc_[0, 7]_[2, 1]","[[0, 7], [2, 1]]",-0.09327902159674148
37,38,-15.333850433277366,1.2775654667507297e-07,6.025202221593418e-07,183,424.0,1072,129,154,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-8.012126663529211e-05
