,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.18967064796745,9.566154769122793,0.1461980902175366,4,3.0,7,3,4,s_q_exc_5_6,"[[5], [6]]",1.5707963238153633
1,2,-15.232624490565112,0.04295384259766166,0.10324424761987494,51,6.0,14,3,4,s_q_exc_3_7,"[[3], [7]]",0.47876246399156625
2,3,-15.275354396585138,0.042729906020026576,0.060514341599848365,81,19.0,47,14,15,"d_q_exc_[3, 12]_[7, 4]","[[3, 12], [7, 4]]",-0.6694281007117404
3,4,-15.287161245560464,0.011806848975325579,0.048707492624522786,60,32.0,80,20,25,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.31161120286582694
4,5,-15.297340074544096,0.01017882898363176,0.038528663640891025,12,45.0,113,20,25,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.6723057704204387
5,6,-15.306439545678739,0.009099471134643267,0.02942919250624776,17,58.0,146,22,25,"d_q_exc_[2, 4]_[6, 12]","[[2, 4], [6, 12]]",-0.6890897956329051
6,7,-15.314371390984931,0.007931845306192287,0.021497347200055472,17,71.0,179,31,36,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",-0.20099834149655077
7,8,-15.323266728715343,0.008895337730411512,0.01260200946964396,27,84.0,212,31,36,"d_q_exc_[10, 11]_[12, 13]","[[10, 11], [12, 13]]",0.8040475458404417
8,9,-15.327483465099004,0.004216736383661157,0.008385273085982803,31,97.0,245,37,46,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.265505036101743
9,10,-15.329412024568658,0.0019285594696540898,0.006456713616328713,32,110.0,278,37,46,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.19195712319410846
10,11,-15.33172294421967,0.0023109196510127106,0.0041457939653160025,38,123.0,311,37,46,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.1859835636925204
11,12,-15.334479135146918,0.002756190927247104,0.0013896030380688984,45,136.0,344,44,46,"d_q_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",0.5050482775837959
12,13,-15.335363470115515,0.0008843349685978552,0.0005052680694710432,48,149.0,377,44,46,"d_q_exc_[4, 13]_[7, 6]","[[4, 13], [7, 6]]",-0.286346773239539
13,14,-15.335519463029541,0.00015599291402601523,0.00034927515544502796,49,152.0,384,47,47,s_q_exc_0_2,"[[0], [2]]",-0.026503500450554645
14,15,-15.335654559743396,0.00013509671385492084,0.00021417844159010713,56,165.0,417,58,58,"d_q_exc_[2, 7]_[8, 9]","[[2, 7], [8, 9]]",0.06368783065299749
15,16,-15.335755356022531,0.00010079627913484046,0.00011338216245526667,65,178.0,450,63,64,"d_q_exc_[0, 3]_[2, 1]","[[0, 3], [2, 1]]",0.5790361828894938
