,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.282755347212726,30.000957735170466,0.04883672698571573,3,3.0,7,3,4,s_q_exc_5_8,"[[5], [8]]",1.570796322370299
1,2,-15.29792214444615,0.015166797233424845,0.033669929752290884,58,16.0,40,11,11,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.20396588157846948
2,3,-15.305372521242772,0.007450376796620972,0.02621955295566991,10,19.0,47,11,14,s_q_exc_4_12,"[[4], [12]]",0.11724742021237491
3,4,-15.31290183719427,0.00752931595149775,0.01869023700417216,14,32.0,80,17,21,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.09483731123161385
4,5,-15.317726355630189,0.004824518435919245,0.013865718568252916,17,45.0,113,20,25,"d_q_exc_[4, 9]_[8, 5]","[[4, 9], [8, 5]]",0.5757493788236396
5,6,-15.32194432149572,0.00421796586553036,0.009647752702722556,81,58.0,146,28,32,"d_q_exc_[3, 12]_[10, 13]","[[3, 12], [10, 13]]",0.800466465031296
6,7,-15.324110090422888,0.0021657689271687985,0.007481983775553758,25,71.0,179,28,32,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.52885717805627
7,8,-15.32604128708099,0.0019311966581021522,0.0055507871174516055,33,84.0,212,28,34,"d_q_exc_[2, 10]_[4, 12]","[[2, 10], [4, 12]]",-0.2856040813218997
8,9,-15.328197372813982,0.0021560857329916416,0.003394701384459964,38,97.0,245,33,38,"d_q_exc_[2, 13]_[4, 3]","[[2, 13], [4, 3]]",0.8614163831206259
9,10,-15.330476129965543,0.00227875715156145,0.0011159442328985136,40,110.0,278,43,49,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.039066733485007187
10,11,-15.33089702295209,0.0004208929865470168,0.0006950512463514968,50,123.0,311,43,49,"d_q_exc_[8, 13]_[12, 9]","[[8, 13], [12, 9]]",-0.3371434804139411
11,12,-15.330981867176906,8.48442248155834e-05,0.0006102070215359134,42,136.0,344,49,59,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.004673036541933538
12,13,-15.331059920672072,7.805349516587512e-05,0.0005321535263700383,49,139.0,351,49,59,s_q_exc_0_10,"[[0], [10]]",0.008851379468607038
13,14,-15.331121509334753,6.158866268179963e-05,0.0004705648636882387,86,152.0,384,49,59,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.15408928485195597
14,15,-15.331182765437985,6.125610323159947e-05,0.0004093087604566392,66,165.0,417,60,70,"d_q_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",-0.15166292389980213
15,16,-15.331239481588192,5.6716150206526095e-05,0.0003525926102501131,90,178.0,450,66,80,"d_q_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",-0.000966989667153181
16,17,-15.33129038504989,5.090346169822624e-05,0.0003016891485518869,55,191.0,483,66,80,"d_q_exc_[1, 8]_[9, 10]","[[1, 8], [9, 10]]",-0.0009808184748684
17,18,-15.33133930766907,4.892261918065799e-05,0.0002527665293712289,136,204.0,516,66,80,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0026025663134860077
18,19,-15.33138037343973,4.106577065954298e-05,0.00021170075871168592,47,217.0,549,66,80,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.002128268576874513
19,20,-15.331419983122428,3.960968269822729e-05,0.00017209107601345863,106,230.0,582,66,80,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.002787400156464273
20,21,-15.331456897506184,3.691438375597045e-05,0.00013517669225748818,57,243.0,615,72,90,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.008306958884195047
21,22,-15.331480989884497,2.4092378312801088e-05,0.0001110843139446871,107,256.0,648,72,90,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0019058967920997979
22,23,-15.33150132271085,2.03328263523872e-05,9.07514875922999e-05,84,269.0,681,72,90,"d_q_exc_[2, 11]_[5, 12]","[[2, 11], [5, 12]]",-0.0836052212983408
23,24,-15.331521038920416,1.9716209566311704e-05,7.103527802598819e-05,159,282.0,714,72,90,"d_q_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",0.04035902193765754
