,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.282755347212731,30.00095773517028,0.04883672698563757,4,3.0,7,3,4,s_q_exc_4_7,"[[4], [7]]",1.5707963240831793
2,2,-15.297922144446156,0.015166797233424845,0.033669929752212724,36,16.0,40,11,11,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",0.21575101331442845
3,3,-15.305372521242779,0.0074503767966227485,0.026219552955589975,11,19.0,47,11,14,s_q_exc_5_13,"[[5], [13]]",0.08223361563032387
4,4,-15.312901837194275,0.007529315951495974,0.018690237004094,14,32.0,80,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.08179761401508756
5,5,-15.317726355630196,0.004824518435921021,0.01386571856817298,18,45.0,113,22,22,"d_q_exc_[4, 7]_[5, 6]","[[4, 7], [5, 6]]",-0.5413381786784598
6,6,-15.321919185889103,0.00419283025890671,0.00967288830926627,21,58.0,146,33,33,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.05368936114605234
7,7,-15.324083528929675,0.0021643430405724473,0.0075085452686938225,18,71.0,179,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.049287582445527146
8,8,-15.325993356333313,0.001909827403638431,0.0055987178650553915,22,84.0,212,44,44,"d_q_exc_[3, 11]_[5, 13]","[[3, 11], [5, 13]]",0.25443490804725516
9,9,-15.327930729642063,0.0019373733087491019,0.0036613445563062896,93,97.0,245,44,44,"d_q_exc_[4, 11]_[10, 13]","[[4, 11], [10, 13]]",0.21234332934642916
10,10,-15.330001459430221,0.0020707297881585873,0.0015906147681477023,30,110.0,278,55,55,"d_q_exc_[2, 5]_[3, 4]","[[2, 5], [3, 4]]",0.34786876434677094
11,11,-15.330439326750145,0.0004378673199241234,0.0011527474482235789,76,123.0,311,55,55,"d_q_exc_[6, 13]_[7, 12]","[[6, 13], [7, 12]]",0.33924451916529186
12,12,-15.33070054958213,0.0002612228319840426,0.0008915246162395363,46,136.0,344,55,56,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.24031135793724273
13,13,-15.33096256463438,0.0002620150522503195,0.0006295095639892168,48,149.0,377,66,66,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.013618462909174199
14,14,-15.331045977016645,8.341238226527992e-05,0.0005460971817239368,43,162.0,410,72,76,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.057714385078897916
15,15,-15.331123406450052,7.742943340716124e-05,0.0004686677483167756,42,165.0,417,72,76,s_q_exc_1_11,"[[1], [11]]",-0.0029542295712810373
16,16,-15.331185053886148,6.164743609637924e-05,0.00040702031222039636,54,178.0,450,83,87,"d_q_exc_[2, 13]_[3, 4]","[[2, 13], [3, 4]]",0.04084446766987012
17,17,-15.331239598576891,5.4544690742730495e-05,0.00035247562147766587,76,191.0,483,89,97,"d_q_exc_[0, 2]_[4, 12]","[[0, 2], [4, 12]]",0.005580162825879888
18,18,-15.331289932927952,5.0334351060499216e-05,0.00030214127041716665,111,204.0,516,89,97,"d_q_exc_[0, 7]_[6, 11]","[[0, 7], [6, 11]]",0.0028160961813733887
19,19,-15.331338832344613,4.889941666164077e-05,0.0002532418537555259,46,217.0,549,89,97,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.002420154189423367
20,20,-15.331379739522735,4.0907178121329935e-05,0.00021233467563419595,99,230.0,582,89,97,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0020935069907860844
21,21,-15.331419317828592,3.957830585754607e-05,0.00017275636977664988,77,243.0,615,95,107,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0027802049830399763
22,22,-15.331451006407285,3.168857869262354e-05,0.00014106779108402634,93,256.0,648,95,107,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0016299549484929776
