,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.282755347212742,30.000954480812577,0,0.04883672698574948,1,3.0,7,3,4,s_q_exc_5_8,"[[5], [8]]",-1.5707963311718085
1,2,-15.297922144446167,0.015166797233424845,0,0.033669929752324634,29,16.0,40,11,11,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.20793271212370495
2,3,-15.305372521242788,0.007450376796620972,0,0.026219552955703662,11,19.0,47,11,14,s_q_exc_4_12,"[[4], [12]]",0.11698604016236372
3,4,-15.312901837194286,0.00752931595149775,0,0.018690237004205912,12,32.0,80,17,21,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.09424147719742629
4,5,-15.31772635563021,0.004824518435924574,0,0.013865718568281338,16,45.0,113,20,25,"d_q_exc_[4, 9]_[5, 8]","[[4, 9], [5, 8]]",0.5640717708467732
5,6,-15.321944321495737,0.004217965865526807,3,0.00964775270275453,26,58.0,146,28,32,"d_q_exc_[3, 12]_[10, 13]","[[3, 12], [10, 13]]",0.8004981325055076
6,7,-15.324110090422902,0.002165768927165246,1,0.007481983775589285,28,71.0,179,28,32,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.5171397296264528
7,8,-15.326041287081008,0.001931196658105705,0,0.00555078711748358,32,84.0,212,28,34,"d_q_exc_[2, 10]_[4, 12]","[[2, 10], [4, 12]]",-0.3485404445369952
8,9,-15.32815268334057,0.00211139625956136,4,0.00343939085792222,40,97.0,245,33,37,"d_q_exc_[2, 11]_[4, 5]","[[2, 11], [4, 5]]",0.6845049608847588
9,10,-15.330430954437142,0.0022782710965731923,4,0.0011611197613490276,46,110.0,278,44,44,"d_q_exc_[2, 13]_[3, 4]","[[2, 13], [3, 4]]",0.8947656296767235
10,11,-15.330838920777099,0.00040796633995654474,0,0.0007531534213924829,52,123.0,311,44,44,"d_q_exc_[5, 8]_[9, 12]","[[5, 8], [9, 12]]",0.10291535390063024
11,12,-15.330968180989322,0.00012926021222270379,2,0.0006238932091697791,59,136.0,344,45,54,"d_q_exc_[4, 13]_[10, 11]","[[4, 13], [10, 11]]",0.3407091643372247
12,13,-15.331052529901685,8.434891236319686e-05,0,0.0005395442968065822,54,149.0,377,45,54,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.006408435539627725
13,14,-15.331130414296354,7.788439466871466e-05,0,0.00046165990213786756,52,152.0,384,45,54,s_q_exc_0_10,"[[0], [10]]",0.009802882579026622
14,15,-15.331191309595948,6.0895299593966e-05,1,0.00040076460254390156,68,165.0,417,55,55,"d_q_exc_[2, 13]_[3, 12]","[[2, 13], [3, 12]]",0.13183721030139306
15,16,-15.331248309367393,5.6999771445021e-05,2,0.00034376483109888056,85,178.0,450,55,55,"d_q_exc_[0, 13]_[1, 12]","[[0, 13], [1, 12]]",0.5473784889934913
16,17,-15.331299202936208,5.0893568815268964e-05,0,0.0002928712622836116,79,191.0,483,55,55,"d_q_exc_[1, 8]_[9, 10]","[[1, 8], [9, 10]]",0.000972218054074663
17,18,-15.331348255679767,4.9052743559485634e-05,0,0.00024381851872412597,111,204.0,516,55,55,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.002676716964805524
18,19,-15.331389192918127,4.093723836007257e-05,0,0.0002028812803640534,59,217.0,549,55,55,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0020566921662769425
19,20,-15.331428875156424,3.968223829708961e-05,0,0.00016319904206696378,106,230.0,582,61,65,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0036244399311050313
20,21,-15.331465837476834,3.696232040972802e-05,0,0.00012623672165723576,90,243.0,615,61,65,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.006181577002655805
21,22,-15.331489938550773,2.4101073938354034e-05,0,0.00010213564771888173,82,256.0,648,69,70,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.001717825874245851
22,23,-15.331509331494972,1.9392944199836393e-05,3,8.274270351904534e-05,102,269.0,681,72,76,"d_q_exc_[2, 11]_[5, 12]","[[2, 11], [5, 12]]",0.2222727956390269
23,24,-15.33152767628357,1.8344788598412265e-05,0,6.439791492063307e-05,101,282.0,714,80,81,"d_q_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.0003745997390623399
