,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.282755347212735,30.000957735170477,0.0488367269858081,3,7.0,11,5,8,eff_s_f_exc_8_5,"[[5], [8]]",1.5707963268103988
1,2,-15.29792214444616,0.015166797233424845,0.033669929752383254,52,28.0,46,13,14,"eff_d_f_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.20589771358974152
2,3,-15.305372521242782,0.0074503767966227485,0.026219552955760506,11,45.0,81,26,22,"eff_d_f_exc_[3, 12]_[10, 5]","[[3, 12], [10, 5]]",0.5881594612074791
3,4,-15.31290183719428,0.00752931595149775,0.018690237004262755,12,58.0,114,32,32,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.14821666662615027
4,5,-15.318024597688309,0.005122760494028711,0.013567476510234044,20,83.0,149,34,32,"eff_d_f_exc_[2, 9]_[8, 11]","[[2, 9], [8, 11]]",-0.8681430567917691
5,6,-15.322263035037896,0.004238437349586732,0.009329039160647312,25,108.0,184,47,43,"eff_d_f_exc_[3, 12]_[10, 13]","[[3, 12], [10, 13]]",0.7804891664132426
6,7,-15.324423768770396,0.002160733732500475,0.007168305428146837,31,121.0,217,47,43,"eff_d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.5414660877913533
7,8,-15.32633910712188,0.0019153383514840527,0.0052529670766627845,35,138.0,252,49,43,"eff_d_f_exc_[2, 10]_[4, 12]","[[2, 10], [4, 12]]",0.2807296770274155
8,9,-15.328541270338452,0.0022021632165714067,0.003050803860091378,42,167.0,287,54,49,"eff_d_f_exc_[2, 13]_[4, 3]","[[2, 13], [4, 3]]",0.8860974689805801
9,10,-15.330870913372069,0.002329643033617046,0.0007211608264743319,45,180.0,320,65,60,"eff_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.03896683191737469
10,11,-15.330955893492801,8.49801207323253e-05,0.0006361807057420066,90,209.0,355,71,70,"eff_d_f_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.004592569054578389
11,12,-15.331031260162927,7.536667012608689e-05,0.0005608140356159197,50,242.0,390,76,76,"eff_d_f_exc_[0, 13]_[4, 3]","[[0, 13], [4, 3]]",0.09222754438762162
12,13,-15.331093823738968,6.25635760407306e-05,0.0004982504595751891,56,255.0,423,76,76,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.12595044988383464
13,14,-15.331158962263519,6.513852455114488e-05,0.0004331119350240442,69,276.0,458,89,87,"eff_d_f_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",0.1291601943043556
14,15,-15.331217196312487,5.823404896787565e-05,0.00037487788605616856,56,297.0,493,93,87,"eff_d_f_exc_[1, 10]_[4, 13]","[[1, 10], [4, 13]]",0.025116662644007876
15,16,-15.331270915865407,5.371955291977315e-05,0.0003211583331363954,131,322.0,528,97,87,"eff_d_f_exc_[1, 8]_[9, 10]","[[1, 8], [9, 10]]",-0.003577374238521363
16,17,-15.331320009094892,4.909322948520867e-05,0.00027206510365118675,59,335.0,561,97,87,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.002457479090371977
17,18,-15.331361653137105,4.164404221285167e-05,0.00023042106143833507,139,348.0,594,97,87,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0018590853920901432
18,19,-15.331401679485868,4.002634876343336e-05,0.0001903947126749017,64,365.0,629,103,97,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0033132675740712284
19,20,-15.331440779263565,3.909977769644968e-05,0.00015129493497845203,145,378.0,662,103,97,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003166125050427614
20,21,-15.331474174901167,3.3395637602851025e-05,0.00011789929737560101,78,391.0,695,103,97,"eff_d_f_exc_[8, 11]_[10, 9]","[[8, 11], [10, 9]]",-0.0018242293794455352
21,22,-15.331498425893892,2.425099272507225e-05,9.364830465052876e-05,57,404.0,728,103,97,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0018304851672877116
22,23,-15.33152453935555,2.6113461657928383e-05,6.753484299260037e-05,181,417.0,761,103,97,"eff_d_f_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",-0.04854929155582611
23,24,-15.33154392804394,1.9388688389909703e-05,4.814615460269067e-05,58,442.0,796,103,97,"eff_d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.0010863738527784198
24,25,-15.33155230859171,8.380547770414637e-06,3.9765606832276035e-05,155,463.0,831,107,97,"eff_d_f_exc_[0, 11]_[4, 13]","[[0, 11], [4, 13]]",-0.0004533047531005427
25,26,-15.331560076097796,7.767506085443188e-06,3.199810074683285e-05,80,476.0,864,107,97,"eff_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.00114106862609889
26,27,-15.331567506343697,7.430245901218768e-06,2.456785484561408e-05,175,493.0,899,111,99,"eff_d_f_exc_[1, 12]_[11, 4]","[[1, 12], [11, 4]]",-0.016940361741520256
27,28,-15.331571834891793,4.328548095955398e-06,2.023930674965868e-05,130,506.0,932,111,106,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.001989814987055757
28,29,-15.331575825796795,3.990905002027034e-06,1.6248401747631647e-05,167,531.0,967,117,117,"eff_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.01844190608255938
29,30,-15.331579278193006,3.4523962106902673e-06,1.279600553694138e-05,155,548.0,1002,117,117,"eff_d_f_exc_[2, 11]_[5, 12]","[[2, 11], [5, 12]]",0.033054947750888554
30,31,-15.331581982953892,2.704760886373947e-06,1.0091244650567432e-05,95,577.0,1037,121,117,"eff_d_f_exc_[0, 11]_[7, 6]","[[0, 11], [7, 6]]",0.008962966768596193
31,32,-15.331583681281224,1.6983273312121128e-06,8.39291731935532e-06,132,606.0,1072,124,123,"eff_d_f_exc_[0, 11]_[2, 1]","[[0, 11], [2, 1]]",0.0038562967549861564
32,33,-15.331585267871606,1.586590382629538e-06,6.806326936725782e-06,146,635.0,1107,137,123,"eff_d_f_exc_[0, 12]_[4, 2]","[[0, 12], [4, 2]]",0.034945035246107085
33,34,-15.331586682463971,1.4145923650232817e-06,5.3917345717025e-06,210,648.0,1140,148,133,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0017072645281688466
