,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.282755347212753,30.00095773517046,0.0488367269857406,3,3.0,7,3,4,s_q_exc_4_7,"[[4], [7]]",1.570796326831029
1,2,-15.297922144446177,0.015166797233424845,0.03366992975231575,1,16.0,40,11,11,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",0.20378613986277633
2,3,-15.3053725212428,0.0074503767966227485,0.026219552955693004,10,19.0,47,11,14,s_q_exc_5_13,"[[5], [13]]",0.11834661590131006
3,4,-15.312901837194294,0.007529315951494198,0.018690237004198806,13,32.0,80,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.09356554269916341
4,5,-15.317726355630215,0.004824518435921021,0.013865718568277785,17,45.0,113,22,22,"d_q_exc_[4, 7]_[6, 5]","[[4, 7], [6, 5]]",-0.5764423097544806
5,6,-15.32194432149574,0.004217965865525031,0.009647752702752754,25,58.0,146,33,33,"d_q_exc_[2, 13]_[12, 11]","[[2, 13], [12, 11]]",-0.8046135660087426
6,7,-15.324110090422913,0.0021657689271723513,0.007481983775580403,29,71.0,179,33,33,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.4920120916191627
7,8,-15.326041287081022,0.0019311966581092577,0.005550787117471145,110,84.0,212,33,34,"d_q_exc_[3, 11]_[5, 13]","[[3, 11], [5, 13]]",0.2827354588640441
8,9,-15.328197372814012,0.0021560857329898653,0.00339470138448128,40,97.0,245,44,44,"d_q_exc_[2, 5]_[3, 12]","[[2, 5], [3, 12]]",-0.8887874020497917
9,10,-15.33047612996557,0.0022787571515578975,0.0011159442329233826,38,110.0,278,55,55,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.039370618105052185
10,11,-15.33089702295212,0.0004208929865505695,0.0006950512463728131,50,123.0,311,55,55,"d_q_exc_[6, 13]_[12, 7]","[[6, 13], [12, 7]]",0.3356663429605099
11,12,-15.330981330717803,8.430776568246756e-05,0.0006107434806903456,45,136.0,344,61,65,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.031656785987924874
12,13,-15.33105914374561,7.781302780784927e-05,0.0005329304528824963,43,139.0,351,61,65,s_q_exc_1_11,"[[1], [11]]",-0.010345554323960797
13,14,-15.331122523506611,6.337976100034837e-05,0.00046955069188214793,63,152.0,384,61,65,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.11348325462005282
14,15,-15.331183749145437,6.122563882549059e-05,0.00040832505305665734,69,165.0,417,72,76,"d_q_exc_[2, 13]_[12, 3]","[[2, 13], [12, 3]]",-0.07906387852438097
15,16,-15.33123993967063,5.6190525192789664e-05,0.0003521345278638677,75,178.0,450,72,76,"d_q_exc_[0, 13]_[12, 1]","[[0, 13], [12, 1]]",-0.9724244278225638
16,17,-15.331290445580553,5.050590992361492e-05,0.00030162861794025275,79,191.0,483,72,76,"d_q_exc_[0, 7]_[6, 11]","[[0, 7], [6, 11]]",0.005536190204847739
17,18,-15.331339559041872,4.9113461319194585e-05,0.00025251515662105817,116,204.0,516,72,76,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.003512370960450173
18,19,-15.3313805898407,4.103079882789018e-05,0.000211484357793168,49,217.0,549,72,76,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0019724584665888143
19,20,-15.331420270157123,3.9680316422874284e-05,0.0001718040413702937,80,230.0,582,78,86,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.008734841095548366
20,21,-15.331451859645588,3.1589488465044724e-05,0.00014021455290524898,55,243.0,615,78,86,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.000912291988133142
21,22,-15.33147591782858,2.4058182992447996e-05,0.00011615636991280098,110,256.0,648,78,86,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0018395008502008054
22,23,-15.331496525366317,2.0607537736694326e-05,9.554883217610666e-05,98,269.0,681,89,97,"d_q_exc_[2, 11]_[10, 3]","[[2, 11], [10, 3]]",0.09703102778352131
23,24,-15.331517080177887,2.0554811570150378e-05,7.499402060595628e-05,111,282.0,714,89,97,"d_q_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",0.048185827130977174
24,25,-15.3315358208329,1.8740655011839635e-05,5.6253365594116644e-05,109,295.0,747,89,97,"d_q_exc_[0, 1]_[4, 13]","[[0, 1], [4, 13]]",2.349945907793757e-05
25,26,-15.331544138228898,8.317395998602706e-06,4.793596959551394e-05,107,308.0,780,89,97,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",1.802180401268817e-05
26,27,-15.331552248054502,8.109825603952459e-06,3.982614399156148e-05,112,321.0,813,95,107,"d_q_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",-0.03606945988962826
27,28,-15.331558617483914,6.3694294123450845e-06,3.3456714579216396e-05,196,334.0,846,100,113,"d_q_exc_[0, 3]_[2, 1]","[[0, 3], [2, 1]]",-0.502497390068445
28,29,-15.331564194187106,5.576703191678689e-06,2.7880011387537706e-05,133,347.0,879,110,119,"d_q_exc_[0, 13]_[5, 2]","[[0, 13], [5, 2]]",-0.0435954414676186
29,30,-15.331566476036878,2.2818497722454367e-06,2.559816161529227e-05,117,360.0,912,121,121,"d_q_exc_[0, 11]_[9, 8]","[[0, 11], [9, 8]]",-0.0007709080919719447
30,31,-15.331568897555439,2.4215185607801004e-06,2.317664305451217e-05,140,373.0,945,121,121,"d_q_exc_[4, 6]_[8, 12]","[[4, 6], [8, 12]]",3.141592653624734
31,32,-15.33157071662478,1.8190693413799863e-06,2.1357573713132183e-05,140,376.0,952,121,121,s_q_exc_1_3,"[[1], [3]]",-0.1234162334642755
32,33,-15.331572215647641,1.4990228613953605e-06,1.9858550851736823e-05,198,389.0,985,132,132,"d_q_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",-0.00186922836576083
33,34,-15.331573708150852,1.4925032107981906e-06,1.8366047640938632e-05,148,402.0,1018,143,143,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.006020697680232787
34,35,-15.331575165861109,1.4577102565027644e-06,1.6908337384435868e-05,144,415.0,1051,154,154,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.0002714177007215596
35,36,-15.33157706862133,1.9027602213839145e-06,1.5005577163051953e-05,209,428.0,1084,165,165,"d_q_exc_[0, 3]_[4, 13]","[[0, 3], [4, 13]]",6.259117185986546e-05
