,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.282755347212742,30.00095773517046,0.04883672698570507,4,7.0,11,5,8,eff_s_f_exc_8_5,"[[5], [8]]",1.5707963244126522
2,2,-15.29792214444617,0.015166797233428397,0.03366992975227667,70,28.0,46,13,14,"eff_d_f_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.1856284971793216
3,3,-15.305372521242786,0.007450376796615643,0.02621955295566103,11,45.0,57,13,18,eff_s_f_exc_12_4,"[[4], [12]]",0.08547794732126011
4,4,-15.312901837194287,0.007529315951501303,0.018690237004159727,84,58.0,90,19,21,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.08130151483803456
5,5,-15.318024597688284,0.005122760493996736,0.01356747651016299,13,79.0,125,32,32,"eff_d_f_exc_[3, 8]_[9, 10]","[[3, 8], [9, 10]]",0.1132730191607131
6,6,-15.322213753341938,0.004189155653653742,0.009378320856509248,15,96.0,160,45,43,"eff_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.05062791727895302
7,7,-15.324373726204781,0.002159972862843418,0.00721834799366583,48,109.0,193,51,53,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.04750053682010012
8,8,-15.326261957130766,0.0018882309259851127,0.0053301170676807175,18,126.0,228,53,53,"eff_d_f_exc_[2, 10]_[4, 12]","[[2, 10], [4, 12]]",0.2493141896760305
9,9,-15.328223363393265,0.001961406262498855,0.0033687108051818626,19,147.0,263,53,53,"eff_d_f_exc_[5, 10]_[11, 12]","[[5, 10], [11, 12]]",0.21277578445661202
10,10,-15.330321984484847,0.002098621091581876,0.0012700897135999867,26,160.0,296,58,59,"eff_d_f_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",-0.34494035114107874
11,11,-15.330664788083107,0.0003428035982597777,0.000927286115340209,77,189.0,331,64,69,"eff_d_f_exc_[2, 3]_[4, 13]","[[2, 3], [4, 13]]",0.17158060869692535
12,12,-15.330881357900623,0.0002165698175158326,0.0007107162978243764,36,206.0,366,72,69,"eff_d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.06422384421098157
13,13,-15.330965464004997,8.410610437437072e-05,0.0006266101934500057,34,235.0,401,76,79,"eff_d_f_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.004538801791764783
14,14,-15.331047909455421,8.244545042401796e-05,0.0005441647430259877,34,256.0,436,76,79,"eff_d_f_exc_[5, 8]_[9, 12]","[[5, 8], [9, 12]]",0.04476179998782221
15,15,-15.33112233408668,7.442463125961751e-05,0.0004697401117663702,110,273.0,471,80,85,"eff_d_f_exc_[0, 5]_[4, 3]","[[0, 5], [4, 3]]",-0.025451654403417904
16,16,-15.331185332563585,6.299847690449667e-05,0.00040674163486187354,48,294.0,506,90,96,"eff_d_f_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",0.14915553471731535
17,17,-15.331243603511632,5.8270948047223214e-05,0.0003484706868146503,126,315.0,541,94,96,"eff_d_f_exc_[1, 10]_[4, 13]","[[1, 10], [4, 13]]",0.016477935560040687
18,18,-15.331297157789745,5.355427811259972e-05,0.0002949164087020506,105,340.0,576,98,96,"eff_d_f_exc_[1, 8]_[9, 10]","[[1, 8], [9, 10]]",-0.003421375626433446
19,19,-15.33134601105095,4.8853261205294984e-05,0.0002460631474967556,123,353.0,609,98,96,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0024228790295198217
20,20,-15.331387498151605,4.148710065443595e-05,0.00020457604684231967,86,366.0,642,98,96,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.002001824731601906
21,21,-15.331427388399298,3.989024769346372e-05,0.00016468579914885595,126,383.0,677,104,106,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0030352130134279516
22,22,-15.331466734830512,3.934643121361603e-05,0.00012533936793523992,170,396.0,710,104,106,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0033225858771563054
23,23,-15.331490992315702,2.425748519030435e-05,0.00010108188274493557,33,409.0,743,104,106,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0017002762695652173
24,24,-15.33151541449216,2.4422176457150613e-05,7.665970628778496e-05,69,434.0,778,107,106,"eff_d_f_exc_[2, 11]_[7, 6]","[[2, 11], [7, 6]]",-0.06303006014729276
25,25,-15.331534858283076,1.944379091689541e-05,5.721591537088955e-05,102,459.0,813,107,106,"eff_d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.0011948996243513418
26,26,-15.33154757448821,1.2716205134211123e-05,4.4499710236678425e-05,111,480.0,848,111,106,"eff_d_f_exc_[0, 11]_[4, 13]","[[0, 11], [4, 13]]",-0.03955517551725638
27,27,-15.33155921729313,1.1642804919276273e-05,3.285690531740215e-05,138,493.0,881,117,106,"eff_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0014037595864939759
28,28,-15.331566725208573,7.507915443127899e-06,2.5348989874274253e-05,167,510.0,916,119,108,"eff_d_f_exc_[1, 12]_[11, 4]","[[1, 12], [11, 4]]",-0.017878384837040562
29,29,-15.331571014437671,4.289229098120018e-06,2.1059760776154235e-05,106,523.0,949,125,111,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.00832375953230676
30,30,-15.331574752897623,3.7384599522738426e-06,1.7321300823880392e-05,123,548.0,984,127,117,"eff_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.005391412526828744
31,31,-15.331579731969454,4.979071830391035e-06,1.2342228993489357e-05,75,561.0,1017,127,117,"eff_d_f_exc_[4, 11]_[10, 5]","[[4, 11], [10, 5]]",-0.01711238463143255
32,32,-15.331582353603341,2.6216338877560474e-06,9.72059510573331e-06,105,590.0,1052,131,117,"eff_d_f_exc_[0, 11]_[7, 6]","[[0, 11], [7, 6]]",0.0030792896922342706
33,33,-15.331584248878126,1.895274785113088e-06,7.825320320620222e-06,113,619.0,1087,135,123,"eff_d_f_exc_[0, 11]_[2, 1]","[[0, 11], [2, 1]]",0.008087149126291653
