,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.282755347212731,30.000957735170463,0.04883672698573527,4,7.0,11,5,8,eff_s_f_exc_7_4,"[[4], [7]]",1.5707963269085976
2,2,-15.297922144446156,0.015166797233424845,0.033669929752310424,48,32.0,46,13,14,"eff_d_f_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",-0.1856471335953875
3,3,-15.305372521242779,0.0074503767966227485,0.026219552955687675,74,49.0,57,13,18,eff_s_f_exc_13_5,"[[5], [13]]",0.08542251581545748
4,4,-15.312901837194277,0.00752931595149775,0.018690237004189925,13,62.0,90,24,22,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.08130180851684794
5,5,-15.3180245976883,0.005122760494023382,0.013567476510166543,12,87.0,125,37,33,"eff_d_f_exc_[2, 7]_[6, 11]","[[2, 7], [6, 11]]",0.11326881446532319
6,6,-15.32221375334197,0.004189155653669729,0.009378320856496813,71,104.0,160,50,44,"eff_d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.05064881384560228
7,7,-15.324373726204794,0.002159972862823878,0.0072183479936729356,15,117.0,193,61,55,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.047496114296176235
8,8,-15.326261957130827,0.0018882309260330743,0.005330117067639861,112,134.0,228,61,55,"eff_d_f_exc_[3, 11]_[5, 13]","[[3, 11], [5, 13]]",0.2492276305556447
9,9,-15.328223363393267,0.001961406262440235,0.003368710805199626,76,159.0,263,61,55,"eff_d_f_exc_[4, 11]_[10, 13]","[[4, 11], [10, 13]]",0.21265633897791372
10,10,-15.330321984484858,0.0020986210915907577,0.0012700897136088685,63,172.0,296,72,66,"eff_d_f_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",0.344934879361789
11,11,-15.330664788083142,0.0003428035982846467,0.0009272861153242218,31,197.0,331,85,77,"eff_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",-0.1695451568508244
12,12,-15.330881357900637,0.00021656981749451631,0.0007107162978297055,35,214.0,366,85,77,"eff_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.06435963616312776
13,13,-15.330965464005024,8.410610438680521e-05,0.0006266101934429003,97,243.0,401,91,87,"eff_d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.004489055676139809
14,14,-15.331047909455771,8.244545074731491e-05,0.0005441647426955853,38,268.0,436,91,87,"eff_d_f_exc_[4, 7]_[6, 13]","[[4, 7], [6, 13]]",0.044800865279895234
15,15,-15.331122334086746,7.442463097540042e-05,0.00046974011172018493,41,281.0,469,96,93,"eff_d_f_exc_[1, 4]_[2, 5]","[[1, 4], [2, 5]]",0.025147604382104383
16,16,-15.331185332563603,6.299847685653504e-05,0.0004067416348636499,89,306.0,504,109,104,"eff_d_f_exc_[2, 11]_[5, 4]","[[2, 11], [5, 4]]",-0.14700190394939586
17,17,-15.331243603511712,5.8270948109395704e-05,0.0003484706867542542,107,327.0,539,113,104,"eff_d_f_exc_[0, 11]_[5, 12]","[[0, 11], [5, 12]]",0.014585866733847317
18,18,-15.331297157789763,5.355427805042723e-05,0.00029491640870382696,40,356.0,574,117,104,"eff_d_f_exc_[0, 7]_[6, 11]","[[0, 7], [6, 11]]",-0.003648491159096304
19,19,-15.331346011051004,4.885326124082212e-05,0.00024606314746300484,49,369.0,607,117,104,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0024138181938830232
20,20,-15.331387498151768,4.148710076457007e-05,0.00020457604669843477,141,382.0,640,117,104,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.001980221385860242
