,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.282755347212735,30.000957735170477,0.0488367269858081,4,3.0,7,3,4,s_q_exc_5_8,"[[5], [8]]",1.570796316000072
2,2,-15.29792214444617,0.015166797233435503,0.033669929752372596,106,16.0,40,11,11,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",-0.21641879967533434
3,3,-15.305372521242775,0.007450376796604985,0.02621955295576761,12,19.0,47,11,14,s_q_exc_4_12,"[[4], [12]]",0.0822715276200772
4,4,-15.312901837194287,0.007529315951511961,0.01869023700425565,12,32.0,80,17,21,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.08174436008918837
5,5,-15.317726355630203,0.004824518435915692,0.013865718568339958,18,45.0,113,20,25,"d_q_exc_[4, 9]_[8, 5]","[[4, 9], [8, 5]]",0.5394510561619305
6,6,-15.32191918588911,0.00419283025890671,0.009672888309433247,72,58.0,146,28,35,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.053963778315220604
7,7,-15.324083528929668,0.0021643430405582365,0.007508545268875011,19,71.0,179,34,42,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.047446267083225975
8,8,-15.325993356333324,0.0019098274036561946,0.005598717865218816,23,84.0,212,34,42,"d_q_exc_[2, 10]_[4, 12]","[[2, 10], [4, 12]]",-0.26835211765854783
9,9,-15.327930729642079,0.001937373308754431,0.0036613445564643854,115,97.0,245,34,42,"d_q_exc_[5, 10]_[11, 12]","[[5, 10], [11, 12]]",0.21234145408100255
10,10,-15.330001459430221,0.0020707297881426,0.0015906147683217853,85,110.0,278,44,48,"d_q_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",-0.34768200208556654
11,11,-15.330439326750149,0.00043786731992767614,0.0011527474483941091,111,123.0,311,44,48,"d_q_exc_[8, 13]_[12, 9]","[[8, 13], [12, 9]]",-0.33798823319423527
12,12,-15.330700549582119,0.00026122283196983176,0.0008915246164242774,47,136.0,344,47,58,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.26962736840441404
13,13,-15.33096256463437,0.00026201505225209587,0.0006295095641721815,49,149.0,377,55,58,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.010699205099018564
14,14,-15.331046614343178,8.404970880704354e-05,0.000545459855365138,39,162.0,410,55,68,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.004143942880170815
