,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.282755347212735,30.000957735170463,0.048836726985678425,4,3.0,7,3,4,s_q_exc_4_7,"[[4], [7]]",1.570796326804951
2,2,-15.29792214444616,0.015166797233424845,0.03366992975225358,7,16.0,40,11,11,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",0.21587775545715215
3,3,-15.30537252124278,0.007450376796620972,0.026219552955632608,12,19.0,47,11,14,s_q_exc_5_13,"[[5], [13]]",0.08226863975053438
4,4,-15.312901837194278,0.00752931595149775,0.018690237004134858,14,32.0,80,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.08173699336916998
5,5,-15.317726355630201,0.004824518435922798,0.01386571856821206,19,45.0,113,22,22,"d_q_exc_[4, 7]_[6, 5]","[[4, 7], [6, 5]]",-0.5410350825524853
6,6,-15.321919185889103,0.004192830258901381,0.009672888309310679,19,58.0,146,33,33,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.05354213655172463
7,7,-15.324083528929675,0.0021643430405724473,0.0075085452687382315,19,71.0,179,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.04734603535163573
8,8,-15.325993356333326,0.0019098274036508656,0.005598717865087366,24,84.0,212,44,44,"d_q_exc_[3, 11]_[5, 13]","[[3, 11], [5, 13]]",0.2569823659665504
9,9,-15.327930729642064,0.0019373733087384437,0.003661344556348922,25,97.0,245,44,44,"d_q_exc_[4, 11]_[10, 13]","[[4, 11], [10, 13]]",0.21340044753300505
10,10,-15.33000145943022,0.0020707297881550346,0.0015906147681938876,28,110.0,278,55,55,"d_q_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",0.34668205499186666
11,11,-15.330439326750147,0.00043786731992767614,0.0011527474482662114,39,123.0,311,55,55,"d_q_exc_[6, 13]_[12, 7]","[[6, 13], [12, 7]]",0.3447522072034871
