,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.7074563346962055,15.28581072193875,4,0.056229777519918756,84,3.0,7,3,4,s_q_exc_2_4,"[[2], [4]]",4.7103292695093835
1,2,-7.740039686620105,0.032583351923899606,9,0.02364642559601915,37,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.11917345368888081
2,3,-7.750406569046677,0.010366882426572133,9,0.013279543169447017,9,9.0,21,6,8,s_q_exc_3_5,"[[3], [5]]",0.010292960791583122
3,4,-7.752677904685243,0.0022713356385661854,9,0.011008207530880831,52,22.0,54,14,15,"d_q_exc_[2, 11]_[3, 4]","[[2, 11], [3, 4]]",-0.0978816088589408
4,5,-7.7536098298303004,0.0009319251450570221,9,0.01007628238582381,9,35.0,87,22,25,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",-0.45960279902039686
5,6,-7.754427188282943,0.0008173584526423028,8,0.009258923933181507,11,38.0,94,22,25,s_q_exc_4_10,"[[4], [10]]",0.11060271728650721
6,7,-7.757181225162279,0.0027540368793363967,2,0.00650488705384511,62,51.0,127,27,31,"d_q_exc_[2, 5]_[3, 4]","[[2, 5], [3, 4]]",-0.6446002635562793
7,8,-7.763033778736971,0.005852553574691832,9,0.0006523334791532776,56,64.0,160,38,42,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",0.23808464564000797
8,9,-7.763165916633584,0.0001321378966130382,9,0.0005201955825402393,17,67.0,167,38,42,s_q_exc_1_11,"[[1], [11]]",-0.009578292991557229
9,10,-7.763282504076749,0.00011658744316456193,9,0.0004036081393756774,19,70.0,174,38,42,s_q_exc_0_10,"[[0], [10]]",-0.05364983839766453
10,11,-7.763325694534635,4.319045788658826e-05,6,0.00036041768148908915,20,83.0,207,44,52,"d_q_exc_[0, 3]_[2, 5]","[[0, 3], [2, 5]]",-0.020360082494057435
11,12,-7.763366040157148,4.0345622513093815e-05,6,0.00032007205897599533,23,96.0,240,49,58,"d_q_exc_[1, 2]_[3, 4]","[[1, 2], [3, 4]]",0.015294430315094332
12,13,-7.763390833233247,2.479307609881687e-05,3,0.00029527898287717846,81,109.0,273,49,58,"d_q_exc_[1, 4]_[2, 5]","[[1, 4], [2, 5]]",0.005054633525857036
13,14,-7.763411497161927,2.0663928680164645e-05,4,0.0002746150541970138,23,122.0,306,55,68,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.044297877970834613
14,15,-7.763434340114772,2.284295284482596e-05,0,0.00025177210135218786,21,135.0,339,60,74,"d_q_exc_[0, 5]_[3, 4]","[[0, 5], [3, 4]]",-0.010705132729930594
15,16,-7.763453717631935,1.9377517163299274e-05,3,0.0002323945841888886,74,148.0,372,60,74,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",0.004637741809125563
16,17,-7.763473272706769,1.9555074833199626e-05,4,0.00021283950935568896,21,161.0,405,60,74,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.009014056117569754
17,18,-7.763493659757061,2.038705029239196e-05,9,0.000192452459063297,62,174.0,438,60,74,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0020333382683064495
18,19,-7.763512765694223,1.9105937162144926e-05,4,0.00017334652190115207,25,187.0,471,60,81,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.004638029593577774
19,20,-7.763532071608011,1.930591378762614e-05,5,0.00015404060811352593,29,200.0,504,69,81,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",0.009016251344032925
20,21,-7.763552315410378,2.024380236687051e-05,9,0.00013379680574665542,52,213.0,537,80,81,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0020341578997994645
21,22,-7.76356692772499,1.4612314612527655e-05,9,0.00011918449113412777,66,226.0,570,91,92,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0024882004670562638
22,23,-7.763577685591873,1.0757866882649125e-05,9,0.00010842662425147864,29,239.0,603,102,103,"d_q_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.002164293877858624
23,24,-7.7635881028043725,1.0417212499724826e-05,9,9.800941175175382e-05,27,252.0,636,113,114,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.00017353855335890358
24,25,-7.763597487571614,9.384767241549241e-06,9,8.862464451020458e-05,84,265.0,669,113,114,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.004332461255338248
25,26,-7.763606970483961,9.482912346925332e-06,9,7.914173216327924e-05,86,278.0,702,124,125,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0018914324390735288
26,27,-7.763616246797248,9.276313287287508e-06,9,6.986541887599174e-05,91,291.0,735,124,125,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0043312606282885175
27,28,-7.763625616829654,9.370032405975337e-06,9,6.04953864700164e-05,32,304.0,768,135,136,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.001891887564604512
28,29,-7.763631323953134,5.707123479581355e-06,9,5.4788262990435044e-05,81,317.0,801,135,136,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.02049528879063556
