,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.719855003700528,15.205527546405573,0,0.04383110851559646,3,7.0,11,5,8,eff_s_f_exc_5_2,"[[2], [5]]",1.5707963264338567
1,2,-7.757371535421097,0.03751653172056901,0,0.006314576795027449,1,24.0,22,7,8,eff_s_f_exc_11_3,"[[3], [11]]",0.23357405029607858
2,3,-7.763033778736967,0.005662243315870619,0,0.0006523334791568303,10,37.0,33,12,11,eff_s_f_exc_11_5,"[[5], [11]]",-0.14158987057795558
3,4,-7.763204264335493,0.00017048559852561596,0,0.0004818478806312143,10,58.0,44,16,11,eff_s_f_exc_10_0,"[[0], [10]]",0.01235310296291363
4,5,-7.76329899126987,9.472693437739821e-05,1,0.0003871209462538161,15,63.0,55,16,11,eff_s_f_exc_3_1,"[[1], [3]]",0.03523970230945074
5,6,-7.763385841116323,8.684984645235261e-05,2,0.0003002710998014635,27,76.0,66,18,11,eff_s_f_exc_10_4,"[[4], [10]]",-0.5597772851696755
6,7,-7.763438751068977,5.290995265383458e-05,0,0.0002473611471476289,37,93.0,101,31,22,"eff_d_f_exc_[5, 10]_[6, 7]","[[5, 10], [6, 7]]",5.7480041200671135
7,8,-7.763493160449547,5.44093805707746e-05,0,0.0001929517665768543,40,114.0,136,37,32,"eff_d_f_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.006761668172135233
8,9,-7.763541542739388,4.838228984027637e-05,0,0.00014456947673657794,43,143.0,171,41,32,"eff_d_f_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",0.6474905361249674
9,10,-7.76357201244919,3.0469709802360967e-05,0,0.00011409976693421697,76,164.0,206,45,38,"eff_d_f_exc_[1, 10]_[2, 5]","[[1, 10], [2, 5]]",5.138635269734508
10,11,-7.763599975073472,2.796262428184093e-05,0,8.613714265237604e-05,95,189.0,241,49,44,"eff_d_f_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",5.8139621984530665
11,12,-7.763625176803323,2.5201729851431764e-05,0,6.093541280094428e-05,97,214.0,276,54,50,"eff_d_f_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-3.210521602699403
12,13,-7.763641532170697,1.6355367373321883e-05,0,4.4580045427622395e-05,146,231.0,311,55,50,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.00260837593678863
13,14,-7.76365861783533,1.708566463332062e-05,1,2.7494380794301776e-05,107,260.0,346,58,52,"eff_d_f_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",0.011436925076080138
14,15,-7.763665509282484,6.8914471542669276e-06,2,2.060293364003485e-05,132,277.0,381,70,58,"eff_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",5.932510101385803
15,16,-7.763670287294994,4.778012510087137e-06,3,1.582492112994771e-05,106,290.0,414,76,68,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0019091435233194204
16,17,-7.7636762946565,6.00736150602188e-06,0,9.817559623925831e-06,127,315.0,449,76,68,"eff_d_f_exc_[2, 11]_[6, 7]","[[2, 11], [6, 7]]",0.2805313639970607
17,18,-7.76368082276009,4.528103589862553e-06,0,5.289456034063278e-06,140,340.0,484,89,79,"eff_d_f_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",-6.071568146907447
18,19,-7.763683352828898,2.530068807793384e-06,2,2.7593872262698937e-06,179,361.0,519,89,79,"eff_d_f_exc_[2, 5]_[3, 10]","[[2, 5], [3, 10]]",-2.502963991869429
19,20,-7.763684525013292,1.1721843939938026e-06,4,1.5872028322760912e-06,102,386.0,554,102,90,"eff_d_f_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-0.3806457652049651
20,21,-7.763684998672945,4.7365965283319156e-07,0,1.1135431794428996e-06,118,399.0,587,102,90,"eff_d_f_exc_[3, 10]_[4, 11]","[[3, 10], [4, 11]]",0.048854241956136524
21,22,-7.763685402839229,4.041662844400662e-07,0,7.093768950028334e-07,204,424.0,622,115,101,"eff_d_f_exc_[1, 10]_[4, 5]","[[1, 10], [4, 5]]",0.28935137285992746
22,23,-7.763685798977161,3.9613793134662956e-07,8,3.1323896365620385e-07,249,437.0,655,126,112,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.10764036129794477
23,24,-7.763685995111211,1.9613405033425124e-07,0,1.1710491332195261e-07,196,454.0,690,128,112,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0002758745116100138
24,25,-7.763686065228422,7.011721070426802e-08,0,4.698770261768459e-08,222,479.0,725,141,123,"eff_d_f_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.029566411458747433
25,26,-7.76368609010631,2.4877888193941544e-08,3,2.2109814423743046e-08,255,504.0,760,154,134,"eff_d_f_exc_[1, 4]_[2, 11]","[[1, 4], [2, 11]]",-0.013033684267978919
26,27,-7.763686109652728,1.9546417817650763e-08,2,2.563396606092283e-09,287,517.0,793,154,134,"eff_d_f_exc_[3, 4]_[8, 9]","[[3, 4], [8, 9]]",-0.038511125039494984
27,28,-7.7636861116549865,2.0022588032020394e-09,0,5.611378028902436e-10,240,542.0,828,167,145,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0045254423478648595
28,29,-7.763686112170103,5.151168380734816e-10,4,4.602096481676199e-11,222,559.0,863,180,156,"eff_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.007192904877946435
29,30,-7.7636861121971705,2.7067237340361316e-11,0,1.8953727476400672e-11,58,584.0,898,193,167,"eff_d_f_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",6.282117972239986
